nSta,DataRate,AC,MAC_Throughput_Mbps,Loss_Pct,Retransmissions,E2E_Delay_us,Queue_Delay_us,Access_Delay_us
2,0.5Mbps,BE,1.00053,0.00000,0.00000,600.71020,354.71080,246.00000
2,0.5Mbps,BK,0.99989,0.00000,0.00000,567.12720,321.12720,246.00000
2,0.5Mbps,VI,0.99968,0.00000,0.00000,370.62240,124.62240,246.00000
2,0.5Mbps,VO,1.00032,0.00000,0.00000,388.90020,142.90020,246.00000
4,0.5Mbps,BE,1.99915,0.00000,0.00000,595.47900,349.47900,246.00000
4,0.5Mbps,BK,2.00000,0.00000,0.00000,851.98960,605.98880,246.00000
4,0.5Mbps,VI,2.00043,0.00000,0.00000,703.21360,457.21360,246.00000
4,0.5Mbps,VO,2.00021,0.00000,0.00000,594.61040,348.61040,246.00000
6,0.5Mbps,BE,2.99989,0.00000,0.00000,985.29180,739.29160,246.00000
6,0.5Mbps,BK,2.99989,0.00000,0.00000,1785.60000,1539.60000,246.00000
6,0.5Mbps,VI,2.99925,0.00000,0.00000,804.21540,558.21540,246.00000
6,0.5Mbps,VO,2.99989,0.00000,0.00000,562.91560,316.91560,246.00000
8,0.5Mbps,BE,3.99893,0.00000,0.00000,4721.65000,4464.16400,257.48640
8,0.5Mbps,BK,3.57867,8.46270,0.00000,175171.80000,174925.80000,246.00000
8,0.5Mbps,VI,4.00021,0.01067,0.00000,1616.27000,1370.26920,246.00000
8,0.5Mbps,VO,4.00021,0.01067,0.00000,1200.20320,954.20340,246.00000
10,0.5Mbps,BE,4.60608,6.67789,0.00000,42322.32000,41529.48000,792.83300
10,0.5Mbps,BK,0.44181,90.79116,0.00000,484114.40000,483868.40000,246.00000
10,0.5Mbps,VI,4.98432,0.33270,0.00000,3899.02000,3651.65400,247.36700
10,0.5Mbps,VO,4.97621,0.50749,0.00000,2387.18000,2141.18000,246.00000
12,0.5Mbps,BE,3.19360,45.01256,0.00000,137106.00000,134811.40000,2294.28600
12,0.5Mbps,BK,0.03179,99.45474,0.00000,487209.60000,486963.60000,246.00000
12,0.5Mbps,VI,5.64608,5.95885,0.00000,8115.50200,7841.26000,274.24460
12,0.5Mbps,VO,5.66997,5.52054,0.00000,4576.01400,4330.01400,246.00000
14,0.5Mbps,BE,2.07744,68.43878,0.00000,149533.40000,146824.20000,2709.08800
14,0.5Mbps,BK,0.00939,99.86216,0.00000,484525.00000,484279.00000,246.00000
14,0.5Mbps,VI,5.79861,17.12554,0.00000,10879.98000,10578.28000,301.71120
14,0.5Mbps,VO,5.93749,15.06528,0.00000,6037.92600,5791.92600,246.00000
16,0.5Mbps,BE,1.65632,77.05264,0.00000,177250.80000,168949.00000,8301.84400
16,0.5Mbps,BK,0.00427,99.94292,0.00000,490747.20000,490501.20000,246.00000
16,0.5Mbps,VI,5.78837,25.08486,0.00000,11516.48000,11206.28000,310.21320
16,0.5Mbps,VO,5.94517,23.07592,0.00000,6406.95600,6160.95600,246.00000
18,0.5Mbps,BE,1.21045,84.23058,0.00000,184220.40000,167263.40000,16956.89800
18,0.5Mbps,BK,0.00363,99.95448,0.00000,484618.60000,484372.60000,246.00000
18,0.5Mbps,VI,5.75488,30.04686,0.00000,11827.28000,11517.16000,310.11680
18,0.5Mbps,VO,5.95371,27.64962,0.00000,6474.28400,6228.28400,246.00000
20,0.5Mbps,BE,1.82272,73.43208,0.00000,178621.20000,157253.60000,21367.48000
20,0.5Mbps,BK,0.00853,99.87210,0.00000,490047.40000,489801.40000,246.00000
20,0.5Mbps,VI,5.69173,25.82592,0.00000,11183.15000,10879.61400,303.51360
20,0.5Mbps,VO,5.84320,23.94830,0.00000,6024.61000,5778.61000,246.00000
22,0.5Mbps,BE,1.51253,81.59624,0.00000,172206.20000,145925.00000,26281.12000
22,0.5Mbps,BK,0.00619,99.92570,0.00000,420892.40000,420646.40000,246.00000
22,0.5Mbps,VI,5.59467,35.51460,0.00000,12159.00000,11847.88000,311.08640
