nSta,DataRate,AC,MAC_Throughput_Mbps,Loss_Pct,Retransmissions,E2E_Delay_us,Queue_Delay_us,Access_Delay_us
2,1Mbps,BE,2.00021,0.00000,0.00000,623.42660,377.42640,246.00000
2,1Mbps,BK,2.00043,0.00000,0.00000,765.09100,519.09060,246.00000
2,1Mbps,VI,1.99957,0.00000,0.00000,500.10260,254.10260,246.00000
2,1Mbps,VO,2.00021,0.00000,0.00000,517.83980,271.83980,246.00000
4,1Mbps,BE,3.99957,0.00000,0.00000,3630.82800,3356.53200,274.29680
4,1Mbps,BK,3.69792,4.28702,0.00000,237366.00000,237120.00000,246.00000
4,1Mbps,VI,4.00043,0.00000,0.00000,1428.88800,1182.87200,246.01700
4,1Mbps,VO,3.99979,0.00000,0.00000,1009.40100,763.40080,246.00000
6,1Mbps,BE,4.54315,23.26300,0.00000,116268.40000,113555.00000,2713.30000
6,1Mbps,BK,0.06699,98.84994,0.00000,490801.80000,490555.80000,246.00000
6,1Mbps,VI,5.93685,1.06653,0.00000,5677.43200,5365.78000,311.65220
6,1Mbps,VO,5.95072,0.80722,0.00000,3038.89400,2792.89400,246.00000
8,1Mbps,BE,3.18165,56.26034,0.00000,153307.00000,149821.60000,3485.47800
8,1Mbps,BK,0.00811,99.89630,0.00000,457802.60000,457556.60000,246.00000
8,1Mbps,VI,7.23029,9.60923,0.00000,11534.20000,11060.04000,474.15220
8,1Mbps,VO,7.52128,5.99395,0.00000,6317.88400,6071.88400,246.00000
10,1Mbps,BE,2.22229,75.00636,0.00000,185055.00000,181150.80000,3904.18800
10,1Mbps,BK,0.00427,99.95708,0.00000,390626.40000,390429.60000,196.80000
10,1Mbps,VI,7.93365,20.75046,0.00000,15230.20000,14648.52000,581.69540
10,1Mbps,VO,8.78571,12.15038,0.00000,8711.71000,8465.71000,246.00000
12,1Mbps,BE,1.77387,82.05184,0.00000,212912.20000,207274.80000,5637.20600
12,1Mbps,BK,0.00213,99.98176,0.00000,384688.80000,384492.00000,196.80000
12,1Mbps,VI,8.20203,30.18812,0.00000,17647.06000,17001.66000,645.39260
12,1Mbps,VO,9.77216,16.79860,0.00000,11421.72800,11175.72800,246.00000
14,1Mbps,BE,1.42592,86.70974,0.00000,232219.00000,220522.40000,11696.83400
14,1Mbps,BK,0.00661,99.95018,0.00000,495000.20000,494754.20000,246.00000
14,1Mbps,VI,8.22251,39.00412,0.00000,19469.06000,18790.30000,678.76600
14,1Mbps,VO,10.60842,21.36938,0.00000,14599.48000,14353.48000,246.00000
16,1Mbps,BE,0.62869,93.86312,0.00000,265204.80000,228383.80000,36821.28000
16,1Mbps,BK,0.00405,99.96990,0.00000,495833.00000,495587.00000,246.00000
16,1Mbps,VI,8.27093,38.94834,0.00000,20416.88000,19759.28000,657.60840
16,1Mbps,VO,10.62081,21.94966,0.00000,13806.38000,13560.38000,246.00000
18,1Mbps,BE,0.91627,91.56798,0.00000,248421.20000,216479.80000,31941.56000
18,1Mbps,BK,0.00491,99.96564,0.00000,484927.60000,484681.60000,246.00000
18,1Mbps,VI,7.91829,43.81958,0.00000,18604.98000,17945.48000,659.53160
18,1Mbps,VO,10.74477,24.93648,0.00000,14962.80000,14716.80000,246.00000
20,1Mbps,BE,0.91648,91.64362,0.00000,256349.80000,224196.20000,32153.74000
20,1Mbps,BK,0.00619,99.96008,0.00000,495159.40000,494913.40000,246.00000
