nSta,DataRate,AC,Throughput_Mbps,Loss_Pct,Retransmissions,E2E_Delay_us,AirDelay_us
2,0.5Mbps,BE,1.05500,0.00202,0.00049,235.04880,202.00000
2,0.5Mbps,BK,1.05495,0.00000,0.00000,227.29300,202.00000
2,0.5Mbps,VI,1.05502,0.00000,0.00028,246.80480,202.00000
2,0.5Mbps,VO,1.05502,0.00000,0.00000,220.57400,202.00000
4,0.5Mbps,BE,2.10991,0.00303,0.03336,588.68060,202.00000
4,0.5Mbps,BK,2.11000,0.00000,0.01935,500.02440,202.00000
4,0.5Mbps,VI,2.11000,0.00101,0.01859,371.38320,202.00000
4,0.5Mbps,VO,2.11004,0.00000,0.08334,476.40500,202.00000
6,0.5Mbps,BE,3.16503,0.00067,0.09045,1035.30620,202.00000
6,0.5Mbps,BK,3.16503,0.00000,0.04717,1026.10540,202.00000
6,0.5Mbps,VI,3.16499,0.00000,0.06489,516.35000,202.00000
6,0.5Mbps,VO,3.16505,0.00000,0.05536,418.71760,202.00000
8,0.5Mbps,BE,4.21805,0.04800,0.13486,1546.57400,202.00000
8,0.5Mbps,BK,4.22001,0.00202,0.18870,2957.61400,202.00000
8,0.5Mbps,VI,4.21985,0.00051,0.15613,882.43860,202.00000
8,0.5Mbps,VO,4.22003,0.00051,0.12864,564.09660,202.00000
10,0.5Mbps,BE,4.26796,19.09082,0.47626,4599.67200,202.00000
10,0.5Mbps,BK,1.88489,64.26696,0.23733,460061.40000,202.00000
10,0.5Mbps,VI,5.26515,0.18715,0.52092,2299.10000,202.00000
10,0.5Mbps,VO,5.26873,0.11722,0.51591,1436.75200,202.00000
12,0.5Mbps,BE,0.11849,98.12818,0.34395,10017.93600,202.00000
12,0.5Mbps,BK,0.01810,99.71402,0.00681,489353.80000,202.00000
12,0.5Mbps,VI,3.91555,38.14272,1.51800,7265.96400,202.00000
12,0.5Mbps,VO,5.73036,9.47422,2.12444,5578.83800,202.00000
14,0.5Mbps,BE,0.02461,99.66684,0.14575,15661.48000,202.00000
14,0.5Mbps,BK,0.00132,99.98210,0.00000,489973.40000,202.00000
14,0.5Mbps,VI,2.07852,71.85498,1.54235,12289.00000,202.00000
14,0.5Mbps,VO,5.35208,27.52700,3.22148,8225.52600,202.00000
16,0.5Mbps,BE,0.00309,99.96336,0.08790,19359.07200,202.00000
16,0.5Mbps,BK,0.00085,99.98988,0.00000,489957.60000,202.00000
16,0.5Mbps,VI,1.47943,82.47102,1.35621,17151.84000,202.00000
16,0.5Mbps,VO,4.94541,41.40540,3.77633,9359.74600,202.00000
18,0.5Mbps,BE,0.00177,99.98138,0.07477,19568.48600,202.00000
18,0.5Mbps,BK,0.00079,99.99168,0.00000,491351.00000,202.00000
18,0.5Mbps,VI,1.32073,86.09022,1.25447,17842.06000,202.00000
18,0.5Mbps,VO,4.79396,49.51068,3.93927,9809.99800,202.00000
20,0.5Mbps,BE,0.00041,99.99556,0.03157,24638.56000,184.61600
20,0.5Mbps,BK,0.00083,99.99212,0.00000,491029.80000,202.00000
20,0.5Mbps,VI,1.11924,89.39092,1.15419,23515.76000,202.00000
20,0.5Mbps,VO,4.47641,57.56992,4.20335,10232.99600,202.00000
