nSta,DataRate,AC,Throughput_Mbps,Loss_Pct,Retransmissions,E2E_Delay_us,AirDelay_us
2,0.5Mbps,BE,1.05500,0.00202,0.00000,350.75000,202.00000
2,0.5Mbps,BK,1.05495,0.00000,0.00000,343.86260,202.00000
2,0.5Mbps,VI,1.05502,0.00000,0.00000,356.26240,202.00000
2,0.5Mbps,VO,1.05502,0.00000,0.00000,320.93100,202.00000
4,0.5Mbps,BE,2.10995,0.00101,0.00000,865.89280,202.00000
4,0.5Mbps,BK,2.11000,0.00000,0.00000,758.63360,202.00000
4,0.5Mbps,VI,2.11000,0.00101,0.00000,530.61080,202.00000
4,0.5Mbps,VO,2.11000,0.00202,0.00000,604.33960,202.00000
6,0.5Mbps,BE,3.16503,0.00067,0.00000,1778.27280,202.00000
6,0.5Mbps,BK,3.16499,0.00135,0.00000,2341.81400,202.00000
6,0.5Mbps,VI,3.16499,0.00000,0.00000,742.20760,202.00000
6,0.5Mbps,VO,3.16505,0.00000,0.00000,618.92500,202.00000
8,0.5Mbps,BE,4.10469,2.73394,0.00000,3323.39400,202.00000
8,0.5Mbps,BK,3.84679,8.84363,0.00000,169808.60000,202.00000
8,0.5Mbps,VI,4.21964,0.00505,0.00000,1533.13200,202.00000
8,0.5Mbps,VO,4.21973,0.00657,0.00000,968.05980,202.00000
10,0.5Mbps,BE,2.50840,52.44748,0.00000,6396.06200,202.00000
10,0.5Mbps,BK,0.47732,90.95124,0.00000,488216.40000,202.00000
10,0.5Mbps,VI,5.22810,0.88966,0.00000,3420.70400,202.00000
10,0.5Mbps,VO,5.26002,0.28255,0.00000,2095.05600,202.00000
