nSta,DataRate,AC,Throughput_Mbps,Loss_Pct,Retransmissions,E2E_Delay_us,AirDelay_us
2,1Mbps,BE,2.11000,0.00000,0.00000,552.76140,202.00000
2,1Mbps,BK,2.10997,0.00000,0.00000,474.65820,202.00000
2,1Mbps,VI,2.11000,0.00101,0.00000,506.41340,202.00000
2,1Mbps,VO,2.11002,0.00101,0.00000,354.98260,202.00000
4,1Mbps,BE,4.05468,3.91535,0.06298,2391.19000,202.00000
4,1Mbps,BK,3.99645,5.29721,0.03550,225277.06800,202.00000
4,1Mbps,VI,4.21971,0.00758,0.04846,1181.92060,202.00000
4,1Mbps,VO,4.21975,0.00606,0.15791,1109.29380,202.00000
6,1Mbps,BE,0.31642,95.00126,0.00000,4979.76200,202.00000
6,1Mbps,BK,0.05151,99.18620,0.00000,495112.60000,202.00000
6,1Mbps,VI,4.36839,30.98870,0.00000,3324.78600,202.00000
6,1Mbps,VO,6.28454,0.71815,0.00000,2981.25000,202.00000
8,1Mbps,BE,0.08870,98.94906,0.00000,4875.24000,202.00000
8,1Mbps,BK,0.00510,99.93962,0.00000,495546.00000,202.00000
8,1Mbps,VI,2.36944,71.92564,0.00000,3892.66800,202.00000
8,1Mbps,VO,7.93496,5.98336,0.00000,6120.54200,202.00000
10,1Mbps,BE,0.01401,99.86722,0.00000,5219.45400,202.00000
10,1Mbps,BK,0.00211,99.97998,0.00000,495866.20000,202.00000
10,1Mbps,VI,1.58242,85.00074,0.00000,3873.29600,202.00000
10,1Mbps,VO,9.16283,13.14804,0.00000,8391.50400,202.00000
12,1Mbps,BE,0.00514,99.95940,0.00000,5552.38200,202.00000
12,1Mbps,BK,0.00205,99.98384,0.00000,494583.20000,202.00000
12,1Mbps,VI,1.10706,91.25536,0.00000,3805.53800,202.00000
12,1Mbps,VO,10.34515,18.28530,0.00000,11331.03400,202.00000
14,1Mbps,BE,0.00478,99.96764,0.00000,5264.78600,202.00000
14,1Mbps,BK,0.00463,99.96864,0.00000,495289.40000,202.00000
14,1Mbps,VI,0.97214,93.41820,0.00000,3747.22600,202.00000
14,1Mbps,VO,10.96792,25.74186,0.00000,13362.60000,202.00000
16,1Mbps,BE,0.00104,99.99382,0.00000,5047.36400,202.00000
16,1Mbps,BK,0.00397,99.97650,0.00000,495295.20000,202.00000
16,1Mbps,VI,0.85670,94.92470,0.00000,3723.65000,202.00000
16,1Mbps,VO,11.25156,33.34420,0.00000,13860.80000,202.00000
18,1Mbps,BE,0.00009,99.99954,0.00000,2157.30000,121.20000
18,1Mbps,BK,0.00388,99.97958,0.00000,495366.40000,202.00000
18,1Mbps,VI,0.78141,95.88510,0.00000,3667.08200,202.00000
18,1Mbps,VO,11.38792,40.03186,0.00000,13788.62000,202.00000
20,1Mbps,BE,0.00216,99.98930,0.00000,23171.42200,181.52660
20,1Mbps,BK,0.00301,99.98576,0.00000,495582.80000,202.00000
20,1Mbps,VI,0.96881,95.40844,0.00000,3927.45800,202.00000
20,1Mbps,VO,10.78555,48.88368,0.00000,12227.18000,202.00000
