nSta,DataRate,AC,MAC_Throughput_Mbps,Loss_Pct,Retransmissions,MAC_Access_Delay_us,Queue_Delay_us,Access_Delay_us
2,0.5Mbps,BE,0.99980,0.00000,0.00000,235.51678,23.51678,212.00000
2,0.5Mbps,BK,0.99951,0.00000,0.00069,240.19500,27.72216,212.47278
2,0.5Mbps,VI,1.00000,0.00000,0.00020,252.28200,40.18184,212.10011
2,0.5Mbps,VO,1.00010,0.00000,0.00069,244.03167,31.81434,212.21733
4,0.5Mbps,BE,2.00010,0.00000,0.00000,266.89511,54.89510,212.00000
4,0.5Mbps,BK,1.99970,0.00000,0.00020,289.95889,77.80185,212.15711
4,0.5Mbps,VI,1.99970,0.00000,0.01680,249.09044,29.29682,219.79356
4,0.5Mbps,VO,1.99951,0.00000,0.00089,257.33944,45.00971,212.32967
6,0.5Mbps,BE,3.00020,0.00000,0.03387,471.69344,221.77771,249.91567
6,0.5Mbps,BK,3.00049,0.00000,0.05949,459.15511,203.49639,255.65856
6,0.5Mbps,VI,2.99990,0.00000,0.05909,381.16333,130.27366,250.88967
6,0.5Mbps,VO,3.00010,0.00000,0.05487,299.88233,62.69987,237.18256
8,0.5Mbps,BE,4.00049,0.00000,0.07897,573.20633,271.47322,301.73300
8,0.5Mbps,BK,3.99862,0.00000,0.06363,666.75433,376.32578,290.42867
8,0.5Mbps,VI,3.99951,0.00000,0.06040,353.74267,103.53251,250.20989
8,0.5Mbps,VO,4.00000,0.00000,0.04313,330.79244,98.90864,231.88378
10,0.5Mbps,BE,4.99970,0.00000,0.14800,910.29478,440.00333,470.29167
10,0.5Mbps,BK,4.99970,0.00000,0.16952,1689.34878,1049.43689,639.91400
10,0.5Mbps,VI,5.00049,0.00000,0.14201,548.76900,218.05556,330.71333
10,0.5Mbps,VO,5.00000,0.00395,0.13147,429.91467,147.59367,282.32133
12,0.5Mbps,BE,5.97669,0.34086,0.35666,2807.40667,1259.98867,1547.41889
12,0.5Mbps,BK,4.58667,20.67778,0.60582,261571.55556,252748.44444,8823.05556
12,0.5Mbps,VI,5.99783,0.03292,0.33800,960.30144,354.48244,605.81811
12,0.5Mbps,VO,5.99585,0.07244,0.36465,727.20500,233.82422,493.38067
14,0.5Mbps,BE,6.58479,4.88309,0.67744,61795.17778,38028.10556,23767.10000
14,0.5Mbps,BK,0.60810,90.87561,0.18142,468722.11111,463109.22222,5613.17667
14,0.5Mbps,VI,6.87793,1.69801,0.97671,3591.31333,1012.03744,2579.27556
14,0.5Mbps,VO,6.78904,2.99180,1.05411,2077.14111,530.17522,1546.96556
16,0.5Mbps,BE,2.50322,65.90396,0.36031,146112.37500,113487.62500,32624.67500
16,0.5Mbps,BK,0.02300,99.70205,0.02618,488486.12500,487055.25000,1430.75800
16,0.5Mbps,VI,7.53022,5.92192,1.65204,12053.45000,3333.58625,8719.87750
16,0.5Mbps,VO,6.38900,20.14035,2.08499,4557.22125,907.02662,3650.19500
18,0.5Mbps,BE,1.04533,87.24114,0.13068,167162.33333,148727.55556,18434.86778
18,0.5Mbps,BK,0.00365,99.95812,0.10847,487799.55556,468392.44444,19407.06667
18,0.5Mbps,VI,8.41709,6.47064,1.51238,24431.07778,10042.33778,14388.73333
18,0.5Mbps,VO,5.49254,38.96972,2.40473,5645.09222,1187.02889,4458.06444
20,0.5Mbps,BE,0.52178,94.15980,0.08386,189493.44444,172673.22222,16820.24889
20,0.5Mbps,BK,0.00286,99.97060,0.00000,492247.77778,492035.77778,212.00000
20,0.5Mbps,VI,9.33155,6.22475,1.22046,41692.64444,23340.78889,18351.82222
20,0.5Mbps,VO,4.77975,52.04568,2.57251,6489.43222,1568.35111,4921.08111
22,0.5Mbps,BE,0.46933,95.02211,0.06981,181965.66667,166273.00000,15692.62444
22,0.5Mbps,BK,0.00247,99.97598,0.00000,435018.44444,434830.00000,188.44444
22,0.5Mbps,VI,9.89127,6.78122,1.05436,55761.01111,35436.34444,20324.68889
22,0.5Mbps,VO,4.30291,59.28354,2.59474,6909.49667,1930.37111,4979.12444
24,0.5Mbps,BE,0.49728,94.52812,0.04965,195272.66667,141223.58889,54049.18889
24,0.5Mbps,BK,0.00227,99.97739,0.00000,483160.77778,482948.77778,212.00000
24,0.5Mbps,VI,9.65788,7.16077,1.09582,51745.15556,32369.68889,19375.45556
24,0.5Mbps,VO,4.44099,56.77298,2.57710,6719.28778,1782.97333,4936.31333
26,0.5Mbps,BE,0.47767,94.91305,0.04996,201985.75000,162723.87500,39261.81625
26,0.5Mbps,BK,0.00233,99.97704,0.00000,422702.37500,422516.87500,185.50000
26,0.5Mbps,VI,9.83789,7.24691,1.08441,55626.62500,35820.31250,19806.32500
26,0.5Mbps,VO,4.25100,59.48830,2.63589,6839.40000,1819.76625,5019.63500
28,0.5Mbps,BE,0.46558,95.17256,0.05276,199687.33333,130657.16667,69030.23333
28,0.5Mbps,BK,0.00148,99.98528,0.00000,436408.66667,436220.22222,188.44444
28,0.5Mbps,VI,9.90212,8.36057,1.07501,59109.64444,39560.17778,19549.43333
28,0.5Mbps,VO,4.23398,59.87110,2.56363,7260.10000,2303.79889,4956.30222
30,0.5Mbps,BE,0.39230,95.89376,0.07005,213267.44444,119559.27778,93707.97778
30,0.5Mbps,BK,0.00168,99.98417,0.00000,493483.22222,493271.22222,212.00000
30,0.5Mbps,VI,9.97778,7.57241,1.01476,59309.97778,38954.53333,20355.46667
30,0.5Mbps,VO,4.12326,61.36768,2.59845,7077.66333,2062.07333,5015.59222
32,0.5Mbps,BE,0.21304,97.90751,0.03550,210065.88889,109770.54444,172931.23333
32,0.5Mbps,BK,0.00069,99.99391,0.00000,273175.88889,273058.11111,117.77778
32,0.5Mbps,VI,10.48070,9.15815,0.84687,76060.47778,54336.62222,21723.90000
32,0.5Mbps,VO,3.65689,68.19561,2.62964,7590.45667,2532.92111,5057.53222
34,0.5Mbps,BE,0.26479,97.38752,0.02851,214657.77778,76848.07778,192049.27778
34,0.5Mbps,BK,0.00188,99.98278,0.07407,490900.88889,472123.44444,18777.44444
34,0.5Mbps,VI,10.22815,10.22519,0.90886,71956.58889,51095.37778,20861.17778
34,0.5Mbps,VO,3.52148,68.60296,2.65333,7099.30778,2138.88333,4960.42111
36,0.5Mbps,BE,0.24257,97.67236,0.04178,182769.44444,30445.01111,216561.18889
36,0.5Mbps,BK,0.00079,99.99273,0.00000,273764.55556,273646.77778,117.77778
36,0.5Mbps,VI,10.52721,9.58097,0.83187,78406.10000,56547.58889,21858.52222
36,0.5Mbps,VO,3.53057,69.69784,2.59670,7526.24222,2549.09111,4977.15222
38,0.5Mbps,BE,0.37264,96.18477,0.05927,203663.00000,64916.03333,157263.13333
38,0.5Mbps,BK,0.00227,99.97762,0.00000,487679.00000,487467.00000,212.00000
38,0.5Mbps,VI,9.99259,7.95489,0.99738,61347.02222,40853.21111,20493.82222
38,0.5Mbps,VO,4.05995,62.33750,2.58552,6866.55444,1921.83444,4944.72000
40,0.5Mbps,BE,0.29580,97.01033,0.03562,203228.33333,14573.41111,345022.55556
40,0.5Mbps,BK,0.00128,99.98828,0.00000,383668.55556,383503.66667,164.88889
40,0.5Mbps,VI,10.19112,8.67523,0.95522,68625.73333,47706.20000,20919.53333
40,0.5Mbps,VO,3.71249,66.36974,2.63309,7094.17444,2131.15444,4963.01889
