N_Sta,Access_Category,Throughput_Mbps,Packet_Loss_Pct,Queue_Delay_us,Access_Delay_us,Retransmission_Ratio
2,VO,0.2003,0.0000,4.23,212.00,0.0000
2,VI,0.2000,0.0000,4.34,212.00,0.0000
2,BE,0.1999,0.0000,3.99,212.00,0.0000
2,BK,0.2001,0.0000,7.45,212.00,0.0000
4,VO,0.3998,0.0000,20.07,212.00,0.0000
4,VI,0.4002,0.0000,18.76,212.00,0.0000
4,BE,0.4004,0.0000,21.77,212.00,0.0000
4,BK,0.4005,0.0000,7.14,212.00,0.0000
6,VO,0.5993,0.0000,15.46,212.00,0.0000
6,VI,0.6001,0.0000,26.27,212.35,0.0012
6,BE,0.6000,0.0000,19.32,212.33,0.0004
6,BK,0.5999,0.0000,17.89,212.00,0.0000
8,VO,0.8001,0.0000,23.21,212.03,0.0001
8,VI,0.7996,0.0000,23.04,212.29,0.0008
8,BE,0.7996,0.0000,33.14,212.04,0.0001
8,BK,0.7997,0.0000,38.90,217.75,0.0070
10,VO,1.0004,0.0000,16.82,212.00,0.0000
10,VI,0.9995,0.0000,14.06,212.00,0.0000
10,BE,0.9996,0.0000,38.92,213.21,0.0025
10,BK,1.0008,0.0000,24.87,213.03,0.0018
12,VO,1.1998,0.0000,34.20,213.73,0.0046
12,VI,1.1986,0.0000,36.58,215.52,0.0064
12,BE,1.2003,0.0000,63.32,213.59,0.0024
12,BK,1.1996,0.0000,107.25,216.18,0.0045
14,VO,1.4004,0.0000,32.65,215.93,0.0094
14,VI,1.3992,0.0000,47.23,215.73,0.0072
14,BE,1.4009,0.0000,46.48,214.51,0.0040
14,BK,1.4001,0.0000,63.05,223.82,0.0098
16,VO,1.5995,0.0000,36.76,216.00,0.0116
16,VI,1.5992,0.0000,44.17,217.86,0.0113
16,BE,1.6008,0.0000,60.92,218.33,0.0079
16,BK,1.5984,0.0000,71.62,233.67,0.0206
18,VO,1.7992,0.0000,53.06,227.79,0.0380
18,VI,1.8003,0.0000,58.74,219.28,0.0165
18,BE,1.7992,0.0000,75.87,222.35,0.0143
18,BK,1.7996,0.0000,88.35,240.40,0.0326
20,VO,1.9993,0.0000,49.19,223.92,0.0274
20,VI,1.9999,0.0000,57.78,221.89,0.0205
20,BE,1.9999,0.0000,103.10,227.44,0.0217
20,BK,2.0007,0.0000,99.47,223.55,0.0125
22,VO,2.1997,0.0000,62.26,222.39,0.0251
22,VI,2.2007,0.0000,71.87,224.47,0.0239
22,BE,2.2003,0.0000,111.68,233.13,0.0247
22,BK,2.2001,0.0000,153.32,234.03,0.0226
24,VO,2.4001,0.0000,59.71,222.39,0.0240
24,VI,2.3985,0.0000,87.50,228.86,0.0304
24,BE,2.3988,0.0000,111.63,232.22,0.0235
24,BK,2.4001,0.0000,199.92,236.92,0.0268
26,VO,2.5982,0.0000,76.70,233.47,0.0475
26,VI,2.6006,0.0000,71.14,237.46,0.0405
26,BE,2.5996,0.0000,109.28,274.48,0.0229
26,BK,2.6003,0.0000,179.50,243.76,0.0331
28,VO,2.7989,0.0000,74.43,229.90,0.0399
28,VI,2.7990,0.0000,101.00,236.79,0.0408
28,BE,2.8006,0.0000,82.78,513.25,0.0292
28,BK,2.7982,0.0000,238.59,252.24,0.0362
30,VO,2.9972,0.0000,73.99,230.37,0.0382
30,VI,2.9964,0.0000,105.33,232.96,0.0347
30,BE,3.0007,0.0000,55.32,820.43,0.0325
30,BK,2.9970,0.0000,221.06,254.52,0.0363
32,VO,3.1944,0.0000,102.75,256.00,0.0784
32,VI,3.1950,0.0000,115.00,253.96,0.0589
32,BE,3.1991,0.0000,47.51,1141.80,0.0536
32,BK,3.1959,0.0000,316.21,277.29,0.0564
34,VO,3.3905,0.0000,97.14,245.12,0.0615
34,VI,3.3912,0.0000,140.67,265.58,0.0691
34,BE,3.4002,0.0000,7.07,1924.41,0.0621
34,BK,3.3934,0.0000,336.70,294.54,0.0624
36,VO,3.5908,0.0000,110.01,248.45,0.0724
36,VI,3.5904,0.0000,135.20,259.46,0.0672
36,BE,3.6002,0.0000,0.00,2028.36,0.0714
36,BK,3.5894,0.0000,433.99,324.49,0.0583
38,VO,3.7844,0.0000,111.68,257.23,0.0817
38,VI,3.7836,0.0000,154.76,274.87,0.0824
38,BE,3.7998,0.0000,0.00,2505.73,0.0682
38,BK,3.7846,0.0000,465.79,343.48,0.0811
40,VO,3.9785,0.0000,116.30,262.50,0.0902
40,VI,3.9812,0.0000,171.62,296.26,0.1035
40,BE,3.9982,0.0000,0.00,3109.69,0.0773
40,BK,3.9801,0.0000,507.06,371.57,0.0788
