bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,6.04961e-05,0.00030248,2
215,220,217.5,9.07441e-05,0.000453721,3
220,225,222.5,0.000120992,0.000604961,4
225,230,227.5,0.000120992,0.000604961,4
230,235,232.5,3.0248e-05,0.00015124,1
235,240,237.5,9.07441e-05,0.000453721,3
240,245,242.5,3.0248e-05,0.00015124,1
245,250,247.5,0.00015124,0.000756201,5
250,255,252.5,6.04961e-05,0.00030248,2
255,260,257.5,0.000120992,0.000604961,4
260,265,262.5,0.000120992,0.000604961,4
265,270,267.5,0.000181488,0.000907441,6
270,275,272.5,9.07441e-05,0.000453721,3
275,280,277.5,9.07441e-05,0.000453721,3
280,285,282.5,0.000120992,0.000604961,4
285,290,287.5,0.000120992,0.000604961,4
290,295,292.5,0.000181488,0.000907441,6
295,300,297.5,0.000181488,0.000907441,6
300,305,302.5,9.07441e-05,0.000453721,3
305,310,307.5,9.07441e-05,0.000453721,3
310,315,312.5,9.07441e-05,0.000453721,3
315,320,317.5,3.0248e-05,0.00015124,1
320,325,322.5,9.07441e-05,0.000453721,3
325,330,327.5,9.07441e-05,0.000453721,3
330,335,332.5,0.000181488,0.000907441,6
335,340,337.5,0.000211736,0.00105868,7
340,345,342.5,0.000574713,0.00287356,19
345,350,347.5,0.000967937,0.00483969,32
350,355,352.5,0.000453721,0.0022686,15
355,360,357.5,0.000574713,0.00287356,19
360,365,362.5,0.000756201,0.003781,25
365,370,367.5,0.000514217,0.00257108,17
370,375,372.5,0.000695705,0.00347852,23
375,380,377.5,0.000241984,0.00120992,8
380,385,382.5,0.00015124,0.000756201,5
385,390,387.5,0.000211736,0.00105868,7
390,395,392.5,0.00030248,0.0015124,10
395,400,397.5,0.000241984,0.00120992,8
400,405,402.5,0.000120992,0.000604961,4
405,410,407.5,0.000211736,0.00105868,7
410,415,412.5,0.00015124,0.000756201,5
415,420,417.5,0.000120992,0.000604961,4
420,425,422.5,0.00030248,0.0015124,10
425,430,427.5,0.000332728,0.00166364,11
430,435,432.5,0.000393224,0.00196612,13
435,440,437.5,0.000241984,0.00120992,8
440,445,442.5,0.000241984,0.00120992,8
445,450,447.5,0.000211736,0.00105868,7
450,455,452.5,0.0177253,0.0886267,586
455,460,457.5,0.000181488,0.000907441,6
460,465,462.5,0.000120992,0.000604961,4
465,470,467.5,0.000181488,0.000907441,6
470,475,472.5,0.000120992,0.000604961,4
475,480,477.5,0.000272232,0.00136116,9
480,485,482.5,0.000272232,0.00136116,9
485,490,487.5,0.000332728,0.00166364,11
490,495,492.5,0.000241984,0.00120992,8
495,500,497.5,0.000514217,0.00257108,17
500,505,502.5,0.000393224,0.00196612,13
505,510,507.5,0.000453721,0.0022686,15
510,515,512.5,0.000332728,0.00166364,11
515,520,517.5,0.000393224,0.00196612,13
520,525,522.5,0.000453721,0.0022686,15
525,530,527.5,0.00015124,0.000756201,5
530,535,532.5,0.000362976,0.00181488,12
535,540,537.5,0.00030248,0.0015124,10
540,545,542.5,0.000362976,0.00181488,12
545,550,547.5,0.000241984,0.00120992,8
550,555,552.5,0.000362976,0.00181488,12
555,560,557.5,0.000181488,0.000907441,6
560,565,562.5,0.000665457,0.00332728,22
565,570,567.5,0.00030248,0.0015124,10
570,575,572.5,0.000241984,0.00120992,8
575,580,577.5,0.000423472,0.00211736,14
580,585,582.5,0.000393224,0.00196612,13
585,590,587.5,0.000241984,0.00120992,8
590,595,592.5,0.000483969,0.00241984,16
595,600,597.5,0.000241984,0.00120992,8
600,605,602.5,0.000272232,0.00136116,9
605,610,607.5,0.00030248,0.0015124,10
610,615,612.5,0.000211736,0.00105868,7
615,620,617.5,0.000241984,0.00120992,8
620,625,622.5,0.000453721,0.0022686,15
625,630,627.5,0.000211736,0.00105868,7
630,635,632.5,0.000544465,0.00272232,18
635,640,637.5,0.000272232,0.00136116,9
640,645,642.5,0.00030248,0.0015124,10
645,650,647.5,0.000423472,0.00211736,14
650,655,652.5,0.000332728,0.00166364,11
