bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
215,220,217.5,0.000188383,0.000941915,3
220,225,222.5,0.000125589,0.000627943,2
230,235,232.5,6.27943e-05,0.000313972,1
235,240,237.5,6.27943e-05,0.000313972,1
240,245,242.5,6.27943e-05,0.000313972,1
245,250,247.5,6.27943e-05,0.000313972,1
250,255,252.5,0.000188383,0.000941915,3
255,260,257.5,0.000188383,0.000941915,3
260,265,262.5,0.000188383,0.000941915,3
265,270,267.5,6.27943e-05,0.000313972,1
275,280,277.5,6.27943e-05,0.000313972,1
280,285,282.5,6.27943e-05,0.000313972,1
290,295,292.5,6.27943e-05,0.000313972,1
295,300,297.5,6.27943e-05,0.000313972,1
300,305,302.5,0.000188383,0.000941915,3
305,310,307.5,6.27943e-05,0.000313972,1
310,315,312.5,0.000251177,0.00125589,4
315,320,317.5,0.000188383,0.000941915,3
325,330,327.5,0.000125589,0.000627943,2
330,335,332.5,0.000188383,0.000941915,3
340,345,342.5,0.000690738,0.00345369,11
345,350,347.5,0.00131868,0.00659341,21
350,355,352.5,0.0010675,0.00533752,17
355,360,357.5,0.00100471,0.00502355,16
360,365,362.5,0.000816327,0.00408163,13
365,370,367.5,0.000816327,0.00408163,13
370,375,372.5,0.000565149,0.00282575,9
375,380,377.5,0.000313972,0.00156986,5
380,385,382.5,0.000188383,0.000941915,3
385,390,387.5,0.000565149,0.00282575,9
390,395,392.5,0.000565149,0.00282575,9
395,400,397.5,0.000125589,0.000627943,2
400,405,402.5,0.000188383,0.000941915,3
405,410,407.5,0.000816327,0.00408163,13
410,415,412.5,0.000313972,0.00156986,5
415,420,417.5,0.000627943,0.00313972,10
420,425,422.5,0.00043956,0.0021978,7
425,430,427.5,0.000690738,0.00345369,11
430,435,432.5,0.000376766,0.00188383,6
435,440,437.5,0.000125589,0.000627943,2
440,445,442.5,0.000251177,0.00125589,4
445,450,447.5,0.000251177,0.00125589,4
450,455,452.5,0.0230455,0.115228,367
455,460,457.5,0.000376766,0.00188383,6
460,465,462.5,0.00043956,0.0021978,7
465,470,467.5,0.000376766,0.00188383,6
470,475,472.5,0.000125589,0.000627943,2
475,480,477.5,0.00043956,0.0021978,7
480,485,482.5,0.000627943,0.00313972,10
485,490,487.5,0.000376766,0.00188383,6
490,495,492.5,0.000376766,0.00188383,6
495,500,497.5,0.00043956,0.0021978,7
500,505,502.5,0.000816327,0.00408163,13
505,510,507.5,0.000251177,0.00125589,4
510,515,512.5,0.000125589,0.000627943,2
515,520,517.5,0.000251177,0.00125589,4
520,525,522.5,0.000376766,0.00188383,6
525,530,527.5,0.000313972,0.00156986,5
530,535,532.5,0.000627943,0.00313972,10
535,540,537.5,0.000313972,0.00156986,5
540,545,542.5,0.000376766,0.00188383,6
545,550,547.5,0.000502355,0.00251177,8
550,555,552.5,6.27943e-05,0.000313972,1
555,560,557.5,0.000313972,0.00156986,5
560,565,562.5,0.000627943,0.00313972,10
565,570,567.5,0.000251177,0.00125589,4
570,575,572.5,0.000251177,0.00125589,4
575,580,577.5,0.000251177,0.00125589,4
580,585,582.5,0.000376766,0.00188383,6
585,590,587.5,0.000565149,0.00282575,9
590,595,592.5,0.000251177,0.00125589,4
595,600,597.5,0.000251177,0.00125589,4
600,605,602.5,0.000251177,0.00125589,4
605,610,607.5,0.00043956,0.0021978,7
610,615,612.5,0.000627943,0.00313972,10
615,620,617.5,0.000565149,0.00282575,9
620,625,622.5,0.000502355,0.00251177,8
625,630,627.5,0.000251177,0.00125589,4
630,635,632.5,0.000376766,0.00188383,6
635,640,637.5,0.000188383,0.000941915,3
640,645,642.5,0.000313972,0.00156986,5
645,650,647.5,0.000376766,0.00188383,6
650,655,652.5,0.000565149,0.00282575,9
655,660,657.5,0.000125589,0.000627943,2
660,665,662.5,0.000376766,0.00188383,6
665,670,667.5,0.000188383,0.000941915,3
670,675,672.5,0.00043956,0.0021978,7
675,680,677.5,0.000502355,0.00251177,8
680,685,682.5,0.000313972,0.00156986,5
685,690,687.5,0.00043956,0.0021978,7
690,695,692.5,0.000188383,0.000941915,3
695,700,697.5,0.000313972,0.00156986,5
700,705,702.5,0.000502355,0.00251177,8
705,710,707.5,0.000627943,0.00313972,10
710,715,712.5,0.000376766,0.00188383,6
715,720,717.5,0.000251177,0.00125589,4
720,725,722.5,0.000125589,0.000627943,2
725,730,727.5,0.000125589,0.000627943,2
730,735,732.5,0.000376766,0.00188383,6
735,740,737.5,0.00043956,0.0021978,7
740,745,742.5,0.000376766,0.00188383,6
745,750,747.5,0.000502355,0.00251177,8
750,755,752.5,0.000125589,0.000627943,2
755,760,757.5,0.000376766,0.00188383,6
760,765,762.5,0.000502355,0.00251177,8
765,770,767.5,0.000565149,0.00282575,9
770,775,772.5,0.000753532,0.00376766,12
775,780,777.5,0.000565149,0.00282575,9
780,785,782.5,0.000313972,0.00156986,5
785,790,787.5,0.000251177,0.00125589,4
790,795,792.5,0.000251177,0.00125589,4
795,800,797.5,0.000376766,0.00188383,6
800,805,802.5,0.000188383,0.000941915,3
805,810,807.5,0.000502355,0.00251177,8
810,815,812.5,0.000313972,0.00156986,5
815,820,817.5,0.000251177,0.00125589,4
820,825,822.5,0.000125589,0.000627943,2
825,830,827.5,0.000376766,0.00188383,6
830,835,832.5,0.000313972,0.00156986,5
835,840,837.5,0.000251177,0.00125589,4
840,845,842.5,0.000251177,0.00125589,4
845,850,847.5,0.000313972,0.00156986,5
855,860,857.5,0.000125589,0.000627943,2
860,865,862.5,0.000188383,0.000941915,3
865,870,867.5,0.000690738,0.00345369,11
870,875,872.5,0.000251177,0.00125589,4
875,880,877.5,0.000565149,0.00282575,9
880,885,882.5,0.000313972,0.00156986,5
885,890,887.5,0.000125589,0.000627943,2
890,895,892.5,0.000125589,0.000627943,2
895,900,897.5,0.000313972,0.00156986,5
900,905,902.5,0.000502355,0.00251177,8
905,910,907.5,0.000188383,0.000941915,3
910,915,912.5,0.00043956,0.0021978,7
915,920,917.5,0.000313972,0.00156986,5
920,925,922.5,0.000251177,0.00125589,4
925,930,927.5,0.000251177,0.00125589,4
930,935,932.5,0.000565149,0.00282575,9
935,940,937.5,0.000313972,0.00156986,5
940,945,942.5,0.00043956,0.0021978,7
945,950,947.5,0.000502355,0.00251177,8
950,955,952.5,0.000251177,0.00125589,4
955,960,957.5,0.000251177,0.00125589,4
960,965,962.5,0.000125589,0.000627943,2
965,970,967.5,0.000313972,0.00156986,5
970,975,972.5,0.000125589,0.000627943,2
975,980,977.5,0.000376766,0.00188383,6
980,985,982.5,0.000251177,0.00125589,4
985,990,987.5,0.000125589,0.000627943,2
990,995,992.5,0.000125589,0.000627943,2
995,1000,997.5,0.000188383,0.000941915,3
1000,1005,1002.5,0.000188383,0.000941915,3
1005,1010,1007.5,0.000251177,0.00125589,4
1010,1015,1012.5,0.000313972,0.00156986,5
1015,1020,1017.5,0.000313972,0.00156986,5
1020,1025,1022.5,0.00043956,0.0021978,7
