bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
215,220,217.5,0.000184983,0.000924914,11
220,225,222.5,8.40831e-05,0.000420415,5
225,230,227.5,0.000117716,0.000588582,7
230,235,232.5,5.04498e-05,0.000252249,3
235,240,237.5,5.04498e-05,0.000252249,3
240,245,242.5,5.04498e-05,0.000252249,3
245,250,247.5,3.36332e-05,0.000168166,2
250,255,252.5,0.0001009,0.000504498,6
255,260,257.5,0.000117716,0.000588582,7
260,265,262.5,0.000184983,0.000924914,11
265,270,267.5,6.72665e-05,0.000336332,4
270,275,272.5,0.0001009,0.000504498,6
275,280,277.5,8.40831e-05,0.000420415,5
280,285,282.5,5.04498e-05,0.000252249,3
285,290,287.5,0.00015135,0.000756748,9
290,295,292.5,5.04498e-05,0.000252249,3
295,300,297.5,0.000117716,0.000588582,7
300,305,302.5,0.0001009,0.000504498,6
305,310,307.5,0.000134533,0.000672665,8
310,315,312.5,8.40831e-05,0.000420415,5
315,320,317.5,5.04498e-05,0.000252249,3
320,325,322.5,6.72665e-05,0.000336332,4
325,330,327.5,0.000168166,0.000840831,10
330,335,332.5,0.0001009,0.000504498,6
335,340,337.5,8.40831e-05,0.000420415,5
340,345,342.5,0.000874464,0.00437232,52
345,350,347.5,0.00119398,0.0059699,71
350,355,352.5,0.000840831,0.00420415,50
355,360,357.5,0.000470865,0.00235433,28
360,365,362.5,0.000622215,0.00311107,37
365,370,367.5,0.000840831,0.00420415,50
370,375,372.5,0.000571765,0.00285882,34
375,380,377.5,0.000353149,0.00176574,21
380,385,382.5,0.000336332,0.00168166,20
385,390,387.5,0.000285882,0.00142941,17
390,395,392.5,0.000369966,0.00184983,22
395,400,397.5,0.000218616,0.00109308,13
400,405,402.5,0.000386782,0.00193391,23
405,410,407.5,0.000386782,0.00193391,23
410,415,412.5,0.000269066,0.00134533,16
415,420,417.5,0.000218616,0.00109308,13
420,425,422.5,0.000235433,0.00117716,14
425,430,427.5,0.000319516,0.00159758,19
430,435,432.5,0.000285882,0.00142941,17
435,440,437.5,0.000218616,0.00109308,13
440,445,442.5,0.000252249,0.00126125,15
445,450,447.5,0.000252249,0.00126125,15
450,455,452.5,0.0149668,0.0748339,890
455,460,457.5,0.000403599,0.00201799,24
460,465,462.5,0.000201799,0.001009,12
465,470,467.5,0.000487682,0.00243841,29
470,475,472.5,0.000252249,0.00126125,15
475,480,477.5,0.000302699,0.0015135,18
480,485,482.5,0.000302699,0.0015135,18
485,490,487.5,0.000437232,0.00218616,26
490,495,492.5,0.000285882,0.00142941,17
495,500,497.5,0.000336332,0.00168166,20
500,505,502.5,0.000218616,0.00109308,13
505,510,507.5,0.000252249,0.00126125,15
510,515,512.5,0.000285882,0.00142941,17
515,520,517.5,0.000285882,0.00142941,17
520,525,522.5,0.000285882,0.00142941,17
525,530,527.5,0.000269066,0.00134533,16
530,535,532.5,0.000168166,0.000840831,10
535,540,537.5,0.000285882,0.00142941,17
540,545,542.5,0.000235433,0.00117716,14
545,550,547.5,0.000201799,0.001009,12
550,555,552.5,0.000285882,0.00142941,17
555,560,557.5,0.000319516,0.00159758,19
560,565,562.5,0.000437232,0.00218616,26
565,570,567.5,0.000269066,0.00134533,16
570,575,572.5,0.000218616,0.00109308,13
575,580,577.5,0.000538132,0.00269066,32
580,585,582.5,0.000437232,0.00218616,26
585,590,587.5,0.000369966,0.00184983,22
590,595,592.5,0.000386782,0.00193391,23
595,600,597.5,0.000420415,0.00210208,25
600,605,602.5,0.000269066,0.00134533,16
605,610,607.5,0.000353149,0.00176574,21
610,615,612.5,0.000269066,0.00134533,16
615,620,617.5,0.000369966,0.00184983,22
620,625,622.5,0.000504498,0.00252249,30
625,630,627.5,0.000201799,0.001009,12
630,635,632.5,0.000420415,0.00210208,25
635,640,637.5,0.000235433,0.00117716,14
640,645,642.5,0.000420415,0.00210208,25
645,650,647.5,0.000252249,0.00126125,15
650,655,652.5,0.000369966,0.00184983,22
655,660,657.5,0.000285882,0.00142941,17
660,665,662.5,0.000252249,0.00126125,15
665,670,667.5,0.000269066,0.00134533,16
670,675,672.5,0.00591945,0.0295972,352
675,680,677.5,0.000184983,0.000924914,11
680,685,682.5,0.000454049,0.00227024,27
685,690,687.5,0.000252249,0.00126125,15
690,695,692.5,0.000201799,0.001009,12
695,700,697.5,0.000386782,0.00193391,23
700,705,702.5,0.000336332,0.00168166,20
705,710,707.5,0.000235433,0.00117716,14
710,715,712.5,0.000420415,0.00210208,25
715,720,717.5,0.000319516,0.00159758,19
720,725,722.5,0.000285882,0.00142941,17
725,730,727.5,0.000336332,0.00168166,20
730,735,732.5,0.000302699,0.0015135,18
735,740,737.5,0.000235433,0.00117716,14
740,745,742.5,0.000285882,0.00142941,17
745,750,747.5,0.000201799,0.001009,12
750,755,752.5,0.00015135,0.000756748,9
755,760,757.5,0.000252249,0.00126125,15
760,765,762.5,0.00015135,0.000756748,9
765,770,767.5,0.000252249,0.00126125,15
770,775,772.5,0.000235433,0.00117716,14
775,780,777.5,0.000319516,0.00159758,19
780,785,782.5,0.000487682,0.00243841,29
785,790,787.5,0.000403599,0.00201799,24
790,795,792.5,0.000285882,0.00142941,17
795,800,797.5,0.000218616,0.00109308,13
800,805,802.5,0.000235433,0.00117716,14
805,810,807.5,0.000168166,0.000840831,10
810,815,812.5,0.000218616,0.00109308,13
815,820,817.5,8.40831e-05,0.000420415,5
820,825,822.5,0.000168166,0.000840831,10
825,830,827.5,0.000269066,0.00134533,16
830,835,832.5,0.000218616,0.00109308,13
835,840,837.5,0.000437232,0.00218616,26
840,845,842.5,0.000369966,0.00184983,22
845,850,847.5,0.000134533,0.000672665,8
850,855,852.5,0.000454049,0.00227024,27
855,860,857.5,0.000218616,0.00109308,13
860,865,862.5,0.000336332,0.00168166,20
865,870,867.5,0.000336332,0.00168166,20
870,875,872.5,0.000285882,0.00142941,17
875,880,877.5,0.000285882,0.00142941,17
880,885,882.5,0.000353149,0.00176574,21
885,890,887.5,0.000117716,0.000588582,7
890,895,892.5,0.00102581,0.00512907,61
895,900,897.5,0.000386782,0.00193391,23
900,905,902.5,0.000117716,0.000588582,7
905,910,907.5,0.000252249,0.00126125,15
910,915,912.5,0.000134533,0.000672665,8
915,920,917.5,0.000218616,0.00109308,13
920,925,922.5,0.000168166,0.000840831,10
925,930,927.5,0.000134533,0.000672665,8
930,935,932.5,0.0001009,0.000504498,6
935,940,937.5,0.000201799,0.001009,12
940,945,942.5,0.000218616,0.00109308,13
945,950,947.5,0.000218616,0.00109308,13
950,955,952.5,0.00015135,0.000756748,9
955,960,957.5,0.000134533,0.000672665,8
960,965,962.5,0.000235433,0.00117716,14
965,970,967.5,0.000168166,0.000840831,10
970,975,972.5,0.000218616,0.00109308,13
975,980,977.5,0.000201799,0.001009,12
980,985,982.5,0.000571765,0.00285882,34
985,990,987.5,0.000285882,0.00142941,17
