bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,2.69125e-05,0.000134562,2
215,220,217.5,9.41936e-05,0.000470968,7
220,225,222.5,9.41936e-05,0.000470968,7
225,230,227.5,0.000134562,0.000672812,10
230,235,232.5,0.000134562,0.000672812,10
235,240,237.5,0.00010765,0.000538249,8
240,245,242.5,0.000161475,0.000807374,12
245,250,247.5,6.72812e-05,0.000336406,5
250,255,252.5,0.000148019,0.000740093,11
255,260,257.5,0.00010765,0.000538249,8
260,265,262.5,0.000134562,0.000672812,10
265,270,267.5,0.00010765,0.000538249,8
270,275,272.5,0.000161475,0.000807374,12
275,280,277.5,0.000188387,0.000941936,14
280,285,282.5,0.000134562,0.000672812,10
285,290,287.5,6.72812e-05,0.000336406,5
290,295,292.5,6.72812e-05,0.000336406,5
295,300,297.5,2.69125e-05,0.000134562,2
300,305,302.5,0.000148019,0.000740093,11
305,310,307.5,0.000134562,0.000672812,10
310,315,312.5,0.000121106,0.000605531,9
315,320,317.5,0.000134562,0.000672812,10
320,325,322.5,6.72812e-05,0.000336406,5
325,330,327.5,6.72812e-05,0.000336406,5
330,335,332.5,0.000121106,0.000605531,9
335,340,337.5,0.000121106,0.000605531,9
340,345,342.5,0.000565162,0.00282581,42
345,350,347.5,0.000672812,0.00336406,50
350,355,352.5,0.000686268,0.00343134,51
355,360,357.5,0.000645899,0.0032295,48
360,365,362.5,0.000605531,0.00302765,45
365,370,367.5,0.000497881,0.0024894,37
370,375,372.5,0.000592074,0.00296037,44
375,380,377.5,0.000296037,0.00148019,22
380,385,382.5,0.000255668,0.00127834,19
385,390,387.5,0.000255668,0.00127834,19
390,395,392.5,0.000174931,0.000874655,13
395,400,397.5,0.000417143,0.00208572,31
400,405,402.5,0.000255668,0.00127834,19
405,410,407.5,0.000390231,0.00195115,29
410,415,412.5,0.000309493,0.00154747,23
415,420,417.5,0.000282581,0.0014129,21
420,425,422.5,0.000430599,0.002153,32
425,430,427.5,0.000470968,0.00235484,35
430,435,432.5,0.000349862,0.00174931,26
435,440,437.5,0.000242212,0.00121106,18
440,445,442.5,0.000242212,0.00121106,18
445,450,447.5,0.0002153,0.0010765,16
