bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,2.28337e-05,0.000114168,1
215,220,217.5,4.56673e-05,0.000228337,2
220,225,222.5,0.000159836,0.000799178,7
225,230,227.5,0.000182669,0.000913346,8
230,235,232.5,0.000114168,0.000570841,5
235,240,237.5,0.000205503,0.00102751,9
240,245,242.5,9.13346e-05,0.000456673,4
245,250,247.5,0.000114168,0.000570841,5
250,255,252.5,6.8501e-05,0.000342505,3
255,260,257.5,4.56673e-05,0.000228337,2
260,265,262.5,4.56673e-05,0.000228337,2
265,270,267.5,9.13346e-05,0.000456673,4
270,275,272.5,6.8501e-05,0.000342505,3
275,280,277.5,0.000137002,0.00068501,6
280,285,282.5,9.13346e-05,0.000456673,4
285,290,287.5,6.8501e-05,0.000342505,3
290,295,292.5,4.56673e-05,0.000228337,2
295,300,297.5,9.13346e-05,0.000456673,4
300,305,302.5,6.8501e-05,0.000342505,3
305,310,307.5,0.000114168,0.000570841,5
310,315,312.5,6.8501e-05,0.000342505,3
315,320,317.5,4.56673e-05,0.000228337,2
320,325,322.5,6.8501e-05,0.000342505,3
325,330,327.5,6.8501e-05,0.000342505,3
330,335,332.5,0.000114168,0.000570841,5
335,340,337.5,0.000137002,0.00068501,6
340,345,342.5,0.00269437,0.0134719,118
345,350,347.5,0.00397306,0.0198653,174
350,355,352.5,0.00130152,0.00650759,57
355,360,357.5,0.000616509,0.00308254,27
360,365,362.5,0.000867679,0.00433839,38
365,370,367.5,0.000707843,0.00353922,31
370,375,372.5,0.000570841,0.00285421,25
375,380,377.5,0.000388172,0.00194086,17
380,385,382.5,0.000342505,0.00171252,15
385,390,387.5,0.000525174,0.00262587,23
390,395,392.5,0.000433839,0.0021692,19
395,400,397.5,0.000388172,0.00194086,17
400,405,402.5,0.000319671,0.00159836,14
405,410,407.5,0.000205503,0.00102751,9
410,415,412.5,0.000342505,0.00171252,15
415,420,417.5,0.000388172,0.00194086,17
420,425,422.5,0.000388172,0.00194086,17
425,430,427.5,0.000433839,0.0021692,19
430,435,432.5,0.000525174,0.00262587,23
435,440,437.5,0.00025117,0.00125585,11
440,445,442.5,0.00025117,0.00125585,11
445,450,447.5,0.000456673,0.00228337,20
450,455,452.5,0.0158922,0.0794611,696
455,460,457.5,0.000296838,0.00148419,13
460,465,462.5,0.000388172,0.00194086,17
465,470,467.5,0.000456673,0.00228337,20
470,475,472.5,0.000342505,0.00171252,15
475,480,477.5,0.000274004,0.00137002,12
480,485,482.5,0.000365339,0.00182669,16
485,490,487.5,0.000365339,0.00182669,16
490,495,492.5,0.00050234,0.0025117,22
495,500,497.5,0.000593675,0.00296838,26
500,505,502.5,0.000228337,0.00114168,10
505,510,507.5,0.000479507,0.00239753,21
510,515,512.5,0.000342505,0.00171252,15
515,520,517.5,0.000433839,0.0021692,19
520,525,522.5,0.000388172,0.00194086,17
525,530,527.5,0.000388172,0.00194086,17
530,535,532.5,0.000388172,0.00194086,17
535,540,537.5,0.000365339,0.00182669,16
540,545,542.5,0.000342505,0.00171252,15
545,550,547.5,0.00050234,0.0025117,22
550,555,552.5,0.000296838,0.00148419,13
555,560,557.5,0.000411006,0.00205503,18
560,565,562.5,0.000525174,0.00262587,23
565,570,567.5,0.000456673,0.00228337,20
570,575,572.5,0.000388172,0.00194086,17
575,580,577.5,0.000319671,0.00159836,14
580,585,582.5,0.000411006,0.00205503,18
585,590,587.5,0.000342505,0.00171252,15
590,595,592.5,0.000411006,0.00205503,18
595,600,597.5,0.000342505,0.00171252,15
600,605,602.5,0.000616509,0.00308254,27
605,610,607.5,0.00050234,0.0025117,22
610,615,612.5,0.00050234,0.0025117,22
615,620,617.5,0.000479507,0.00239753,21
620,625,622.5,0.000274004,0.00137002,12
625,630,627.5,0.000433839,0.0021692,19
630,635,632.5,0.000570841,0.00285421,25
635,640,637.5,0.000525174,0.00262587,23
640,645,642.5,0.000593675,0.00296838,26
645,650,647.5,0.000411006,0.00205503,18
650,655,652.5,0.000479507,0.00239753,21
655,660,657.5,0.000479507,0.00239753,21
660,665,662.5,0.000274004,0.00137002,12
665,670,667.5,0.000365339,0.00182669,16
670,675,672.5,0.00420139,0.021007,184
675,680,677.5,0.000365339,0.00182669,16
680,685,682.5,0.000296838,0.00148419,13
685,690,687.5,0.000274004,0.00137002,12
690,695,692.5,0.000342505,0.00171252,15
695,700,697.5,0.000274004,0.00137002,12
700,705,702.5,0.000479507,0.00239753,21
705,710,707.5,0.000274004,0.00137002,12
710,715,712.5,0.00025117,0.00125585,11
715,720,717.5,0.000388172,0.00194086,17
720,725,722.5,0.000319671,0.00159836,14
725,730,727.5,0.000525174,0.00262587,23
730,735,732.5,0.000388172,0.00194086,17
735,740,737.5,0.000411006,0.00205503,18
740,745,742.5,0.000570841,0.00285421,25
745,750,747.5,0.000411006,0.00205503,18
