bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,2.84758e-05,0.000142379,2
215,220,217.5,0.000199331,0.000996654,14
220,225,222.5,8.54275e-05,0.000427137,6
225,230,227.5,0.000128141,0.000640706,9
230,235,232.5,0.000128141,0.000640706,9
235,240,237.5,0.000128141,0.000640706,9
240,245,242.5,0.000128141,0.000640706,9
245,250,247.5,9.96654e-05,0.000498327,7
250,255,252.5,0.000113903,0.000569517,8
255,260,257.5,0.000156617,0.000783085,11
260,265,262.5,0.000142379,0.000711896,10
265,270,267.5,0.000170855,0.000854275,12
270,275,272.5,0.000142379,0.000711896,10
275,280,277.5,0.000128141,0.000640706,9
280,285,282.5,9.96654e-05,0.000498327,7
285,290,287.5,0.000113903,0.000569517,8
290,295,292.5,0.000227807,0.00113903,16
295,300,297.5,4.27137e-05,0.000213569,3
300,305,302.5,8.54275e-05,0.000427137,6
305,310,307.5,0.000156617,0.000783085,11
310,315,312.5,0.000113903,0.000569517,8
315,320,317.5,8.54275e-05,0.000427137,6
320,325,322.5,0.000156617,0.000783085,11
325,330,327.5,0.000170855,0.000854275,12
330,335,332.5,9.96654e-05,0.000498327,7
335,340,337.5,9.96654e-05,0.000498327,7
340,345,342.5,0.00207874,0.0103937,146
345,350,347.5,0.00327472,0.0163736,230
350,355,352.5,0.00122446,0.0061223,86
355,360,357.5,0.000512565,0.00256282,36
360,365,362.5,0.000783085,0.00391543,55
365,370,367.5,0.000455613,0.00227807,32
370,375,372.5,0.000697658,0.00348829,49
375,380,377.5,0.0004129,0.0020645,29
380,385,382.5,0.000213569,0.00106784,15
385,390,387.5,0.000298996,0.00149498,21
390,395,392.5,0.00027052,0.0013526,19
395,400,397.5,0.000313234,0.00156617,22
400,405,402.5,0.000455613,0.00227807,32
405,410,407.5,0.000284758,0.00142379,20
410,415,412.5,0.000384424,0.00192212,27
415,420,417.5,0.000512565,0.00256282,36
420,425,422.5,0.000313234,0.00156617,22
425,430,427.5,0.000455613,0.00227807,32
430,435,432.5,0.000313234,0.00156617,22
435,440,437.5,0.000256282,0.00128141,18
440,445,442.5,0.000185093,0.000925465,13
445,450,447.5,0.000398662,0.00199331,28
450,455,452.5,0.0160461,0.0802307,1127
455,460,457.5,0.00027052,0.0013526,19
460,465,462.5,0.000384424,0.00192212,27
465,470,467.5,0.000313234,0.00156617,22
470,475,472.5,0.000427137,0.00213569,30
475,480,477.5,0.00034171,0.00170855,24
480,485,482.5,0.000355948,0.00177974,25
485,490,487.5,0.000441375,0.00220688,31
490,495,492.5,0.000242045,0.00121022,17
495,500,497.5,0.000555279,0.00277639,39
500,505,502.5,0.0004129,0.0020645,29
505,510,507.5,0.000242045,0.00121022,17
510,515,512.5,0.000370186,0.00185093,26
515,520,517.5,0.000242045,0.00121022,17
520,525,522.5,0.000384424,0.00192212,27
525,530,527.5,0.00027052,0.0013526,19
530,535,532.5,0.000370186,0.00185093,26
535,540,537.5,0.00027052,0.0013526,19
540,545,542.5,0.000441375,0.00220688,31
545,550,547.5,0.000370186,0.00185093,26
550,555,552.5,0.000427137,0.00213569,30
555,560,557.5,0.000384424,0.00192212,27
560,565,562.5,0.000783085,0.00391543,55
565,570,567.5,0.000355948,0.00177974,25
570,575,572.5,0.000327472,0.00163736,23
575,580,577.5,0.000213569,0.00106784,15
580,585,582.5,0.000498327,0.00249164,35
585,590,587.5,0.000313234,0.00156617,22
590,595,592.5,0.000398662,0.00199331,28
595,600,597.5,0.000370186,0.00185093,26
600,605,602.5,0.000384424,0.00192212,27
605,610,607.5,0.000384424,0.00192212,27
610,615,612.5,0.000284758,0.00142379,20
615,620,617.5,0.00027052,0.0013526,19
620,625,622.5,0.000484089,0.00242045,34
625,630,627.5,0.0004129,0.0020645,29
630,635,632.5,0.000370186,0.00185093,26
635,640,637.5,0.00034171,0.00170855,24
640,645,642.5,0.000199331,0.000996654,14
645,650,647.5,0.0004129,0.0020645,29
650,655,652.5,0.000398662,0.00199331,28
655,660,657.5,0.0004129,0.0020645,29
660,665,662.5,0.000384424,0.00192212,27
665,670,667.5,0.000370186,0.00185093,26
670,675,672.5,0.00461308,0.0230654,324
675,680,677.5,0.00027052,0.0013526,19
680,685,682.5,0.000284758,0.00142379,20
685,690,687.5,0.000170855,0.000854275,12
690,695,692.5,0.00034171,0.00170855,24
695,700,697.5,0.000227807,0.00113903,16
700,705,702.5,0.000298996,0.00149498,21
705,710,707.5,0.000355948,0.00177974,25
710,715,712.5,0.000370186,0.00185093,26
715,720,717.5,0.000313234,0.00156617,22
720,725,722.5,0.000398662,0.00199331,28
725,730,727.5,0.000256282,0.00128141,18
730,735,732.5,0.000327472,0.00163736,23
735,740,737.5,0.000398662,0.00199331,28
740,745,742.5,0.000455613,0.00227807,32
745,750,747.5,0.000298996,0.00149498,21
750,755,752.5,0.000284758,0.00142379,20
755,760,757.5,0.000313234,0.00156617,22
760,765,762.5,0.000298996,0.00149498,21
765,770,767.5,0.000313234,0.00156617,22
770,775,772.5,0.000256282,0.00128141,18
775,780,777.5,0.000327472,0.00163736,23
780,785,782.5,0.00160888,0.00804442,113
785,790,787.5,0.000313234,0.00156617,22
790,795,792.5,0.000170855,0.000854275,12
795,800,797.5,0.000199331,0.000996654,14
800,805,802.5,0.000142379,0.000711896,10
805,810,807.5,0.000242045,0.00121022,17
810,815,812.5,0.000142379,0.000711896,10
815,820,817.5,0.000170855,0.000854275,12
820,825,822.5,0.000199331,0.000996654,14
825,830,827.5,0.000113903,0.000569517,8
830,835,832.5,0.000227807,0.00113903,16
835,840,837.5,0.000199331,0.000996654,14
840,845,842.5,0.000284758,0.00142379,20
845,850,847.5,0.000298996,0.00149498,21
850,855,852.5,0.00027052,0.0013526,19
855,860,857.5,0.000327472,0.00163736,23
860,865,862.5,0.000242045,0.00121022,17
865,870,867.5,0.000298996,0.00149498,21
870,875,872.5,0.000256282,0.00128141,18
875,880,877.5,0.000355948,0.00177974,25
880,885,882.5,0.000185093,0.000925465,13
885,890,887.5,0.00027052,0.0013526,19
890,895,892.5,0.00109632,0.0054816,77
895,900,897.5,0.000284758,0.00142379,20
900,905,902.5,0.000185093,0.000925465,13
905,910,907.5,0.00027052,0.0013526,19
910,915,912.5,0.000185093,0.000925465,13
915,920,917.5,0.000156617,0.000783085,11
920,925,922.5,0.000256282,0.00128141,18
925,930,927.5,0.00027052,0.0013526,19
930,935,932.5,0.000199331,0.000996654,14
935,940,937.5,0.000242045,0.00121022,17
940,945,942.5,0.000213569,0.00106784,15
945,950,947.5,0.00027052,0.0013526,19
950,955,952.5,0.00027052,0.0013526,19
955,960,957.5,0.000242045,0.00121022,17
960,965,962.5,0.000242045,0.00121022,17
965,970,967.5,0.000256282,0.00128141,18
970,975,972.5,0.000327472,0.00163736,23
975,980,977.5,0.000156617,0.000783085,11
980,985,982.5,0.000313234,0.00156617,22
985,990,987.5,0.000156617,0.000783085,11
990,995,992.5,0.00027052,0.0013526,19
995,1000,997.5,0.000669182,0.00334591,47
1000,1005,1002.5,0.000256282,0.00128141,18
1005,1010,1007.5,0.000227807,0.00113903,16
1010,1015,1012.5,0.000128141,0.000640706,9
1015,1020,1017.5,0.000298996,0.00149498,21
1020,1025,1022.5,0.000284758,0.00142379,20
1025,1030,1027.5,0.000185093,0.000925465,13
1030,1035,1032.5,0.00027052,0.0013526,19
1035,1040,1037.5,0.000313234,0.00156617,22
1040,1045,1042.5,0.000298996,0.00149498,21
1045,1050,1047.5,0.000284758,0.00142379,20
1050,1055,1052.5,0.00027052,0.0013526,19
1055,1060,1057.5,0.000256282,0.00128141,18
1060,1065,1062.5,0.00027052,0.0013526,19
1065,1070,1067.5,0.0004129,0.0020645,29
1070,1075,1072.5,0.00027052,0.0013526,19
1075,1080,1077.5,0.000199331,0.000996654,14
1080,1085,1082.5,0.000142379,0.000711896,10
1085,1090,1087.5,0.000185093,0.000925465,13
1090,1095,1092.5,0.000355948,0.00177974,25
1095,1100,1097.5,0.000242045,0.00121022,17
1100,1105,1102.5,0.000242045,0.00121022,17
1105,1110,1107.5,0.000512565,0.00256282,36
1110,1115,1112.5,0.000327472,0.00163736,23
1115,1120,1117.5,0.00034171,0.00170855,24
1120,1125,1122.5,0.000142379,0.000711896,10
1125,1130,1127.5,0.000213569,0.00106784,15
1130,1135,1132.5,0.000199331,0.000996654,14
1135,1140,1137.5,0.0004129,0.0020645,29
1140,1145,1142.5,0.000298996,0.00149498,21
1145,1150,1147.5,0.000227807,0.00113903,16
1150,1155,1152.5,0.000142379,0.000711896,10
1155,1160,1157.5,0.000284758,0.00142379,20
1160,1165,1162.5,0.000227807,0.00113903,16
1165,1170,1167.5,0.000113903,0.000569517,8
1170,1175,1172.5,0.000355948,0.00177974,25
1175,1180,1177.5,0.000227807,0.00113903,16
1180,1185,1182.5,0.000213569,0.00106784,15
1185,1190,1187.5,0.00027052,0.0013526,19
1190,1195,1192.5,0.000313234,0.00156617,22
1195,1200,1197.5,0.00034171,0.00170855,24
1200,1205,1202.5,0.000199331,0.000996654,14
1205,1210,1207.5,0.000199331,0.000996654,14
1210,1215,1212.5,0.00034171,0.00170855,24
1215,1220,1217.5,0.000384424,0.00192212,27
1220,1225,1222.5,0.000142379,0.000711896,10
1225,1230,1227.5,0.000242045,0.00121022,17
1230,1235,1232.5,0.000213569,0.00106784,15
1235,1240,1237.5,0.000199331,0.000996654,14
1240,1245,1242.5,0.000227807,0.00113903,16
1245,1250,1247.5,0.000242045,0.00121022,17
1250,1255,1252.5,0.000227807,0.00113903,16
1255,1260,1257.5,0.000242045,0.00121022,17
1260,1265,1262.5,0.000298996,0.00149498,21
1265,1270,1267.5,0.000170855,0.000854275,12
1270,1275,1272.5,0.000327472,0.00163736,23
1275,1280,1277.5,0.000227807,0.00113903,16
1280,1285,1282.5,0.000284758,0.00142379,20
1285,1290,1287.5,0.000256282,0.00128141,18
1290,1295,1292.5,0.000242045,0.00121022,17
1295,1300,1297.5,0.000242045,0.00121022,17
1300,1305,1302.5,0.000185093,0.000925465,13
1305,1310,1307.5,0.000156617,0.000783085,11
1310,1315,1312.5,0.000213569,0.00106784,15
1315,1320,1317.5,0.000142379,0.000711896,10
1320,1325,1322.5,0.000284758,0.00142379,20
1325,1330,1327.5,0.000170855,0.000854275,12
1330,1335,1332.5,0.000284758,0.00142379,20
1335,1340,1337.5,0.000213569,0.00106784,15
1340,1345,1342.5,0.000298996,0.00149498,21
1345,1350,1347.5,0.000256282,0.00128141,18
1350,1355,1352.5,0.000185093,0.000925465,13
1355,1360,1357.5,0.000256282,0.00128141,18
1360,1365,1362.5,0.000156617,0.000783085,11
1365,1370,1367.5,0.000199331,0.000996654,14
1370,1375,1372.5,0.000199331,0.000996654,14
1375,1380,1377.5,0.000185093,0.000925465,13
1380,1385,1382.5,0.000185093,0.000925465,13
1385,1390,1387.5,0.000256282,0.00128141,18
1390,1395,1392.5,0.000156617,0.000783085,11
1395,1400,1397.5,0.000298996,0.00149498,21
1400,1405,1402.5,0.000213569,0.00106784,15
1405,1410,1407.5,0.000185093,0.000925465,13
1410,1415,1412.5,0.00027052,0.0013526,19
1415,1420,1417.5,0.000156617,0.000783085,11
1420,1425,1422.5,0.000185093,0.000925465,13
1425,1430,1427.5,0.00027052,0.0013526,19
1430,1435,1432.5,0.000284758,0.00142379,20
1435,1440,1437.5,0.000242045,0.00121022,17
1440,1445,1442.5,0.000242045,0.00121022,17
1445,1450,1447.5,0.00027052,0.0013526,19
1450,1455,1452.5,0.000284758,0.00142379,20
1455,1460,1457.5,0.000227807,0.00113903,16
1460,1465,1462.5,9.96654e-05,0.000498327,7
1465,1470,1467.5,0.000242045,0.00121022,17
1470,1475,1472.5,0.000313234,0.00156617,22
1475,1480,1477.5,0.000242045,0.00121022,17
1480,1485,1482.5,0.000213569,0.00106784,15
1485,1490,1487.5,0.000327472,0.00163736,23
1490,1495,1492.5,0.000185093,0.000925465,13
1495,1500,1497.5,0.000170855,0.000854275,12
1500,1505,1502.5,0.000199331,0.000996654,14
1505,1510,1507.5,0.000170855,0.000854275,12
1510,1515,1512.5,0.000156617,0.000783085,11
1515,1520,1517.5,0.000227807,0.00113903,16
1520,1525,1522.5,0.000170855,0.000854275,12
1525,1530,1527.5,0.000199331,0.000996654,14
1530,1535,1532.5,0.000242045,0.00121022,17
1535,1540,1537.5,0.000227807,0.00113903,16
1540,1545,1542.5,0.000213569,0.00106784,15
1545,1550,1547.5,0.00027052,0.0013526,19
1550,1555,1552.5,0.000128141,0.000640706,9
1555,1560,1557.5,0.000185093,0.000925465,13
1560,1565,1562.5,0.000298996,0.00149498,21
1565,1570,1567.5,0.000213569,0.00106784,15
1570,1575,1572.5,0.000170855,0.000854275,12
1575,1580,1577.5,0.000185093,0.000925465,13
1580,1585,1582.5,0.000142379,0.000711896,10
1585,1590,1587.5,0.000199331,0.000996654,14
1590,1595,1592.5,0.000227807,0.00113903,16
1595,1600,1597.5,0.000213569,0.00106784,15
1600,1605,1602.5,0.000185093,0.000925465,13
1605,1610,1607.5,0.000185093,0.000925465,13
1610,1615,1612.5,8.54275e-05,0.000427137,6
1615,1620,1617.5,0.000199331,0.000996654,14
1620,1625,1622.5,0.000213569,0.00106784,15
1625,1630,1627.5,0.000156617,0.000783085,11
1630,1635,1632.5,0.000185093,0.000925465,13
1635,1640,1637.5,0.000256282,0.00128141,18
1640,1645,1642.5,0.000242045,0.00121022,17
1645,1650,1647.5,0.000256282,0.00128141,18
1650,1655,1652.5,0.000227807,0.00113903,16
1655,1660,1657.5,0.000227807,0.00113903,16
1660,1665,1662.5,0.000327472,0.00163736,23
1665,1670,1667.5,0.000242045,0.00121022,17
1670,1675,1672.5,0.000156617,0.000783085,11
1675,1680,1677.5,0.000170855,0.000854275,12
1680,1685,1682.5,0.000113903,0.000569517,8
1685,1690,1687.5,0.000156617,0.000783085,11
1690,1695,1692.5,0.000199331,0.000996654,14
1695,1700,1697.5,0.000128141,0.000640706,9
1700,1705,1702.5,0.000156617,0.000783085,11
1705,1710,1707.5,0.000199331,0.000996654,14
1710,1715,1712.5,0.000256282,0.00128141,18
1715,1720,1717.5,0.000156617,0.000783085,11
1720,1725,1722.5,0.000199331,0.000996654,14
1725,1730,1727.5,0.000156617,0.000783085,11
1730,1735,1732.5,0.000213569,0.00106784,15
1735,1740,1737.5,0.000170855,0.000854275,12
1740,1745,1742.5,0.000185093,0.000925465,13
1745,1750,1747.5,0.000170855,0.000854275,12
1750,1755,1752.5,0.000242045,0.00121022,17
1755,1760,1757.5,0.000128141,0.000640706,9
1760,1765,1762.5,0.000142379,0.000711896,10
1765,1770,1767.5,0.000242045,0.00121022,17
1770,1775,1772.5,0.000199331,0.000996654,14
1775,1780,1777.5,0.000199331,0.000996654,14
1780,1785,1782.5,0.000156617,0.000783085,11
1785,1790,1787.5,7.11896e-05,0.000355948,5
1790,1795,1792.5,0.000199331,0.000996654,14
1795,1800,1797.5,0.000170855,0.000854275,12
1800,1805,1802.5,0.000185093,0.000925465,13
1805,1810,1807.5,9.96654e-05,0.000498327,7
1810,1815,1812.5,0.000242045,0.00121022,17
1815,1820,1817.5,0.000185093,0.000925465,13
1820,1825,1822.5,0.000128141,0.000640706,9
1825,1830,1827.5,0.000113903,0.000569517,8
1830,1835,1832.5,0.000185093,0.000925465,13
1835,1840,1837.5,0.000213569,0.00106784,15
1840,1845,1842.5,0.000199331,0.000996654,14
1845,1850,1847.5,0.000142379,0.000711896,10
1850,1855,1852.5,0.000199331,0.000996654,14
1855,1860,1857.5,0.000170855,0.000854275,12
1860,1865,1862.5,8.54275e-05,0.000427137,6
1865,1870,1867.5,0.000156617,0.000783085,11
1870,1875,1872.5,0.000256282,0.00128141,18
1875,1880,1877.5,0.000128141,0.000640706,9
1880,1885,1882.5,0.000170855,0.000854275,12
1885,1890,1887.5,0.000242045,0.00121022,17
1890,1895,1892.5,0.00027052,0.0013526,19
1895,1900,1897.5,0.000199331,0.000996654,14
1900,1905,1902.5,0.000113903,0.000569517,8
1905,1910,1907.5,0.000227807,0.00113903,16
1910,1915,1912.5,0.000199331,0.000996654,14
1915,1920,1917.5,8.54275e-05,0.000427137,6
1920,1925,1922.5,5.69517e-05,0.000284758,4
1925,1930,1927.5,0.000128141,0.000640706,9
1930,1935,1932.5,0.000227807,0.00113903,16
1935,1940,1937.5,0.000185093,0.000925465,13
1940,1945,1942.5,0.000185093,0.000925465,13
1945,1950,1947.5,0.000156617,0.000783085,11
1950,1955,1952.5,0.000213569,0.00106784,15
1955,1960,1957.5,0.000156617,0.000783085,11
1960,1965,1962.5,0.000185093,0.000925465,13
1965,1970,1967.5,0.000170855,0.000854275,12
1970,1975,1972.5,0.000199331,0.000996654,14
1975,1980,1977.5,9.96654e-05,0.000498327,7
1980,1985,1982.5,0.000242045,0.00121022,17
1985,1990,1987.5,0.000199331,0.000996654,14
1990,1995,1992.5,0.000185093,0.000925465,13
1995,2000,1997.5,0.000113903,0.000569517,8
2000,2005,2002.5,8.54275e-05,0.000427137,6
2005,2010,2007.5,0.000242045,0.00121022,17
2010,2015,2012.5,5.69517e-05,0.000284758,4
2015,2020,2017.5,0.000199331,0.000996654,14
2020,2025,2022.5,0.000256282,0.00128141,18
2025,2030,2027.5,0.000185093,0.000925465,13
2030,2035,2032.5,0.000213569,0.00106784,15
2035,2040,2037.5,9.96654e-05,0.000498327,7
2040,2045,2042.5,0.000156617,0.000783085,11
2045,2050,2047.5,0.000128141,0.000640706,9
2050,2055,2052.5,0.000213569,0.00106784,15
2055,2060,2057.5,0.000156617,0.000783085,11
2060,2065,2062.5,0.000142379,0.000711896,10
2065,2070,2067.5,0.000113903,0.000569517,8
2070,2075,2072.5,0.000185093,0.000925465,13
2075,2080,2077.5,0.000242045,0.00121022,17
2080,2085,2082.5,0.000185093,0.000925465,13
2085,2090,2087.5,0.000142379,0.000711896,10
2090,2095,2092.5,0.000128141,0.000640706,9
2095,2100,2097.5,0.000185093,0.000925465,13
2100,2105,2102.5,0.000199331,0.000996654,14
2105,2110,2107.5,0.000156617,0.000783085,11
2110,2115,2112.5,0.000142379,0.000711896,10
2115,2120,2117.5,0.000199331,0.000996654,14
2120,2125,2122.5,0.000185093,0.000925465,13
2125,2130,2127.5,0.000242045,0.00121022,17
2130,2135,2132.5,0.000170855,0.000854275,12
