bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,4.26864e-05,0.000213432,3
215,220,217.5,7.1144e-05,0.00035572,5
220,225,222.5,0.000128059,0.000640296,9
225,230,227.5,5.69152e-05,0.000284576,4
230,235,232.5,0.00011383,0.000569152,8
235,240,237.5,0.00011383,0.000569152,8
240,245,242.5,0.000156517,0.000782584,11
245,250,247.5,8.53728e-05,0.000426864,6
250,255,252.5,0.000199203,0.000996016,14
255,260,257.5,8.53728e-05,0.000426864,6
260,265,262.5,0.000156517,0.000782584,11
265,270,267.5,0.000128059,0.000640296,9
270,275,272.5,5.69152e-05,0.000284576,4
275,280,277.5,0.000227661,0.0011383,16
280,285,282.5,8.53728e-05,0.000426864,6
285,290,287.5,0.00011383,0.000569152,8
290,295,292.5,9.96016e-05,0.000498008,7
295,300,297.5,0.000128059,0.000640296,9
300,305,302.5,0.00011383,0.000569152,8
305,310,307.5,5.69152e-05,0.000284576,4
310,315,312.5,0.000142288,0.00071144,10
315,320,317.5,0.000128059,0.000640296,9
320,325,322.5,7.1144e-05,0.00035572,5
325,330,327.5,7.1144e-05,0.00035572,5
330,335,332.5,0.000128059,0.000640296,9
335,340,337.5,8.53728e-05,0.000426864,6
340,345,342.5,0.00267501,0.0133751,188
345,350,347.5,0.00424018,0.0212009,298
350,355,352.5,0.00120945,0.00604724,85
355,360,357.5,0.000768355,0.00384178,54
360,365,362.5,0.000754126,0.00377063,53
365,370,367.5,0.00082527,0.00412635,58
370,375,372.5,0.000725669,0.00362834,51
375,380,377.5,0.000426864,0.00213432,30
380,385,382.5,0.000213432,0.00106716,15
385,390,387.5,0.00035572,0.0017786,25
390,395,392.5,0.000199203,0.000996016,14
395,400,397.5,0.000426864,0.00213432,30
400,405,402.5,0.000369949,0.00184974,26
405,410,407.5,0.00035572,0.0017786,25
410,415,412.5,0.000313034,0.00156517,22
415,420,417.5,0.000369949,0.00184974,26
420,425,422.5,0.00046955,0.00234775,33
425,430,427.5,0.000554923,0.00277462,39
430,435,432.5,0.000512237,0.00256118,36
435,440,437.5,0.000341491,0.00170746,24
440,445,442.5,0.000369949,0.00184974,26
445,450,447.5,0.000298805,0.00149402,21
450,455,452.5,0.0155236,0.0776181,1091
455,460,457.5,0.000441093,0.00220546,31
460,465,462.5,0.000199203,0.000996016,14
465,470,467.5,0.00024189,0.00120945,17
470,475,472.5,0.000426864,0.00213432,30
475,480,477.5,0.000441093,0.00220546,31
480,485,482.5,0.000455322,0.00227661,32
485,490,487.5,0.000483779,0.0024189,34
490,495,492.5,0.000369949,0.00184974,26
495,500,497.5,0.000455322,0.00227661,32
500,505,502.5,0.000341491,0.00170746,24
505,510,507.5,0.00035572,0.0017786,25
510,515,512.5,0.000369949,0.00184974,26
515,520,517.5,0.000341491,0.00170746,24
520,525,522.5,0.000384178,0.00192089,27
525,530,527.5,0.00046955,0.00234775,33
530,535,532.5,0.000498008,0.00249004,35
535,540,537.5,0.000213432,0.00106716,15
540,545,542.5,0.000270347,0.00135174,19
545,550,547.5,0.000398406,0.00199203,28
550,555,552.5,0.00035572,0.0017786,25
555,560,557.5,0.000341491,0.00170746,24
560,565,562.5,0.000910643,0.00455322,64
565,570,567.5,0.000327262,0.00163631,23
570,575,572.5,0.000398406,0.00199203,28
575,580,577.5,0.000455322,0.00227661,32
580,585,582.5,0.000526466,0.00263233,37
585,590,587.5,0.000526466,0.00263233,37
590,595,592.5,0.000455322,0.00227661,32
595,600,597.5,0.000369949,0.00184974,26
600,605,602.5,0.00035572,0.0017786,25
605,610,607.5,0.00024189,0.00120945,17
610,615,612.5,0.000369949,0.00184974,26
615,620,617.5,0.000327262,0.00163631,23
620,625,622.5,0.000554923,0.00277462,39
625,630,627.5,0.000412635,0.00206318,29
630,635,632.5,0.000384178,0.00192089,27
635,640,637.5,0.000455322,0.00227661,32
640,645,642.5,0.000412635,0.00206318,29
645,650,647.5,0.000426864,0.00213432,30
650,655,652.5,0.000540694,0.00270347,38
655,660,657.5,0.000384178,0.00192089,27
660,665,662.5,0.00046955,0.00234775,33
665,670,667.5,0.000483779,0.0024189,34
670,675,672.5,0.00401252,0.0200626,282
675,680,677.5,0.000170746,0.000853728,12
680,685,682.5,0.000313034,0.00156517,22
685,690,687.5,0.000384178,0.00192089,27
690,695,692.5,0.000384178,0.00192089,27
695,700,697.5,0.000341491,0.00170746,24
700,705,702.5,0.000313034,0.00156517,22
705,710,707.5,0.000327262,0.00163631,23
710,715,712.5,0.00035572,0.0017786,25
715,720,717.5,0.000227661,0.0011383,16
720,725,722.5,0.000498008,0.00249004,35
725,730,727.5,0.000284576,0.00142288,20
730,735,732.5,0.00035572,0.0017786,25
735,740,737.5,0.000412635,0.00206318,29
740,745,742.5,0.000313034,0.00156517,22
745,750,747.5,0.000341491,0.00170746,24
750,755,752.5,0.000384178,0.00192089,27
755,760,757.5,0.000412635,0.00206318,29
760,765,762.5,0.00046955,0.00234775,33
765,770,767.5,0.00024189,0.00120945,17
770,775,772.5,0.000384178,0.00192089,27
775,780,777.5,0.000455322,0.00227661,32
780,785,782.5,0.000754126,0.00377063,53
785,790,787.5,0.000384178,0.00192089,27
790,795,792.5,0.000426864,0.00213432,30
795,800,797.5,0.000227661,0.0011383,16
800,805,802.5,0.000256118,0.00128059,18
805,810,807.5,0.000256118,0.00128059,18
810,815,812.5,0.000213432,0.00106716,15
815,820,817.5,0.000156517,0.000782584,11
820,825,822.5,0.000256118,0.00128059,18
825,830,827.5,0.000256118,0.00128059,18
830,835,832.5,0.000270347,0.00135174,19
835,840,837.5,0.00024189,0.00120945,17
840,845,842.5,0.000313034,0.00156517,22
845,850,847.5,0.000398406,0.00199203,28
850,855,852.5,0.00035572,0.0017786,25
