bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
215,220,217.5,7.33676e-05,0.000366838,2
225,230,227.5,0.000110051,0.000550257,3
230,235,232.5,7.33676e-05,0.000366838,2
235,240,237.5,0.000110051,0.000550257,3
240,245,242.5,0.000110051,0.000550257,3
245,250,247.5,3.66838e-05,0.000183419,1
250,255,252.5,7.33676e-05,0.000366838,2
255,260,257.5,7.33676e-05,0.000366838,2
260,265,262.5,0.000256787,0.00128393,7
265,270,267.5,7.33676e-05,0.000366838,2
270,275,272.5,7.33676e-05,0.000366838,2
275,280,277.5,3.66838e-05,0.000183419,1
280,285,282.5,0.000220103,0.00110051,6
285,290,287.5,0.000110051,0.000550257,3
290,295,292.5,0.000220103,0.00110051,6
295,300,297.5,0.000110051,0.000550257,3
300,305,302.5,0.000146735,0.000733676,4
305,310,307.5,7.33676e-05,0.000366838,2
310,315,312.5,7.33676e-05,0.000366838,2
315,320,317.5,7.33676e-05,0.000366838,2
320,325,322.5,0.000110051,0.000550257,3
325,330,327.5,0.000110051,0.000550257,3
335,340,337.5,0.000110051,0.000550257,3
340,345,342.5,0.00146735,0.00733676,40
345,350,347.5,0.00286134,0.0143067,78
350,355,352.5,0.00117388,0.00586941,32
355,360,357.5,0.000586941,0.0029347,16
360,365,362.5,0.000476889,0.00238445,13
365,370,367.5,0.000403522,0.00201761,11
370,375,372.5,0.000550257,0.00275128,15
375,380,377.5,0.00029347,0.00146735,8
380,385,382.5,0.000220103,0.00110051,6
385,390,387.5,0.000146735,0.000733676,4
390,395,392.5,0.000256787,0.00128393,7
395,400,397.5,0.000256787,0.00128393,7
400,405,402.5,0.000403522,0.00201761,11
405,410,407.5,0.000440205,0.00220103,12
410,415,412.5,0.00029347,0.00146735,8
415,420,417.5,0.000403522,0.00201761,11
420,425,422.5,0.000366838,0.00183419,10
425,430,427.5,0.000183419,0.000917095,5
430,435,432.5,0.000366838,0.00183419,10
435,440,437.5,0.000146735,0.000733676,4
440,445,442.5,0.000366838,0.00183419,10
445,450,447.5,0.000220103,0.00110051,6
450,455,452.5,0.0144901,0.0724505,395
455,460,457.5,0.000110051,0.000550257,3
460,465,462.5,0.00029347,0.00146735,8
465,470,467.5,0.000256787,0.00128393,7
470,475,472.5,0.000403522,0.00201761,11
475,480,477.5,0.00029347,0.00146735,8
480,485,482.5,0.000440205,0.00220103,12
485,490,487.5,0.000256787,0.00128393,7
490,495,492.5,0.000183419,0.000917095,5
495,500,497.5,0.000256787,0.00128393,7
500,505,502.5,0.00029347,0.00146735,8
505,510,507.5,0.000220103,0.00110051,6
510,515,512.5,0.00029347,0.00146735,8
515,520,517.5,0.00029347,0.00146735,8
520,525,522.5,0.00029347,0.00146735,8
525,530,527.5,0.000330154,0.00165077,9
530,535,532.5,0.000146735,0.000733676,4
535,540,537.5,0.00029347,0.00146735,8
540,545,542.5,0.000146735,0.000733676,4
545,550,547.5,0.000183419,0.000917095,5
550,555,552.5,0.000256787,0.00128393,7
