bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,2.26757e-05,0.000113379,1
215,220,217.5,4.53515e-05,0.000226757,2
220,225,222.5,6.80272e-05,0.000340136,3
225,230,227.5,0.000113379,0.000566893,5
230,235,232.5,0.000113379,0.000566893,5
235,240,237.5,9.07029e-05,0.000453515,4
240,245,242.5,4.53515e-05,0.000226757,2
245,250,247.5,9.07029e-05,0.000453515,4
250,255,252.5,6.80272e-05,0.000340136,3
255,260,257.5,0.000113379,0.000566893,5
260,265,262.5,6.80272e-05,0.000340136,3
265,270,267.5,0.000136054,0.000680272,6
270,275,272.5,4.53515e-05,0.000226757,2
275,280,277.5,0.000113379,0.000566893,5
280,285,282.5,9.07029e-05,0.000453515,4
285,290,287.5,0.000113379,0.000566893,5
290,295,292.5,6.80272e-05,0.000340136,3
295,300,297.5,4.53515e-05,0.000226757,2
300,305,302.5,4.53515e-05,0.000226757,2
305,310,307.5,0.00015873,0.000793651,7
310,315,312.5,4.53515e-05,0.000226757,2
315,320,317.5,9.07029e-05,0.000453515,4
320,325,322.5,0.000113379,0.000566893,5
325,330,327.5,4.53515e-05,0.000226757,2
330,335,332.5,9.07029e-05,0.000453515,4
335,340,337.5,4.53515e-05,0.000226757,2
340,345,342.5,0.00287982,0.0143991,127
345,350,347.5,0.00385488,0.0192744,170
350,355,352.5,0.00133787,0.00668934,59
355,360,357.5,0.000725624,0.00362812,32
360,365,362.5,0.000816327,0.00408163,36
365,370,367.5,0.000884354,0.00442177,39
370,375,372.5,0.000612245,0.00306122,27
375,380,377.5,0.000544218,0.00272109,24
380,385,382.5,0.000340136,0.00170068,15
385,390,387.5,0.000498866,0.00249433,22
390,395,392.5,0.000430839,0.0021542,19
395,400,397.5,0.00031746,0.0015873,14
400,405,402.5,0.000272109,0.00136054,12
405,410,407.5,0.000226757,0.00113379,10
410,415,412.5,0.000385488,0.00192744,17
415,420,417.5,0.000589569,0.00294785,26
420,425,422.5,0.000521542,0.00260771,23
425,430,427.5,0.000249433,0.00124717,11
430,435,432.5,0.000521542,0.00260771,23
435,440,437.5,0.000362812,0.00181406,16
440,445,442.5,0.000272109,0.00136054,12
445,450,447.5,0.000362812,0.00181406,16
450,455,452.5,0.0157143,0.0785714,693
455,460,457.5,0.000249433,0.00124717,11
460,465,462.5,0.000385488,0.00192744,17
465,470,467.5,0.000408163,0.00204082,18
470,475,472.5,0.000294785,0.00147392,13
475,480,477.5,0.000294785,0.00147392,13
480,485,482.5,0.000340136,0.00170068,15
485,490,487.5,0.000430839,0.0021542,19
490,495,492.5,0.000566893,0.00283447,25
495,500,497.5,0.000430839,0.0021542,19
500,505,502.5,0.000249433,0.00124717,11
505,510,507.5,0.000680272,0.00340136,30
510,515,512.5,0.000294785,0.00147392,13
515,520,517.5,0.000430839,0.0021542,19
520,525,522.5,0.000362812,0.00181406,16
525,530,527.5,0.00031746,0.0015873,14
530,535,532.5,0.000385488,0.00192744,17
535,540,537.5,0.000226757,0.00113379,10
540,545,542.5,0.000340136,0.00170068,15
545,550,547.5,0.000544218,0.00272109,24
550,555,552.5,0.000272109,0.00136054,12
555,560,557.5,0.000408163,0.00204082,18
560,565,562.5,0.000521542,0.00260771,23
565,570,567.5,0.000340136,0.00170068,15
570,575,572.5,0.000362812,0.00181406,16
575,580,577.5,0.000249433,0.00124717,11
580,585,582.5,0.000634921,0.0031746,28
585,590,587.5,0.000362812,0.00181406,16
590,595,592.5,0.000340136,0.00170068,15
595,600,597.5,0.000294785,0.00147392,13
600,605,602.5,0.000680272,0.00340136,30
605,610,607.5,0.000430839,0.0021542,19
610,615,612.5,0.000498866,0.00249433,22
615,620,617.5,0.000498866,0.00249433,22
620,625,622.5,0.00031746,0.0015873,14
625,630,627.5,0.000181406,0.000907029,8
630,635,632.5,0.000362812,0.00181406,16
635,640,637.5,0.000430839,0.0021542,19
640,645,642.5,0.000498866,0.00249433,22
