time_s,k_hat,cwds,qsrc,psrc,n_aggressive,n_conservative,n_unchanged,busy_frac,coll_rate,coll_rate_frame,dscts_frames,dscts_bursts,bsr_sum,lli_count,changed
1.1,0,1,2,3,0,0,22,0.69145,0.1,0.227273,22,10,78,0,1
1.2,3,1,3,3,0,0,26,0.66481,0,0.125,8,4,87,3,1
1.3,5,1,3,3,0,0,27,0.68835,0.111111,0.521739,23,9,121,4,1
1.4,5,1,3,3,0,0,27,0.72811,0,0.25,4,2,105,0,0
1.5,5,1,3,3,0,0,27,0.74811,0.285714,0.428571,14,7,97,4,0
1.6,6,1,3,3,0,0,27,0.71504,0,0.142857,21,11,80,1,0
1.7,6,1,3,3,0,0,27,0.67007,0,0.25,4,2,85,0,0
1.8,7,1,3,3,0,0,29,0.73066,0,0.285714,14,7,98,1,1
1.9,7,1,3,3,0,0,29,0.67573,0,0.5,2,1,102,0,0
2,7,1,3,3,0,0,29,0.73861,0.357143,0.571429,28,14,92,4,0
2.1,7,1,3,3,0,0,29,0.72104,0.333333,0.404762,42,21,110,2,0
2.2,9,1,5,3,0,0,29,0.74927,0.384615,0.616667,60,26,126,9,1
2.3,9,1,5,3,0,0,30,0.75285,0.1875,0.4375,32,16,144,9,1
2.4,9,1,5,3,0,0,30,0.59983,0,0,0,0,127,0,0
2.5,9,1,5,3,0,0,31,0.69266,0,0,0,0,129,0,1
2.6,10,1,5,3,0,0,31,0.71408,0,0.333333,6,3,132,5,0
2.7,10,1,5,3,0,0,31,0.59777,0,0,0,0,136,0,0
2.8,11,1,5,3,0,0,31,0.73029,0,0.25,4,2,124,4,0
2.9,13,1,5,3,0,0,31,0.76436,0.304348,0.615385,52,23,222,28,0
3,14,1,5,3,0,0,31,0.78163,0.307692,0.694444,72,26,225,36,0
3.1,15,1,5,3,0,0,31,0.76867,0.25,0.607143,56,24,284,30,0
3.2,15,1,5,3,0,0,31,0.76725,0.4,0.6,30,15,200,24,0
3.3,15,1,5,3,0,0,31,0.78348,0.4,0.75,60,25,297,34,0
3.4,15,1,5,3,0,0,31,0.77314,0.142857,0.558824,68,28,301,42,0
3.5,15,1,5,3,0,0,31,0.77542,0.230769,0.625,96,39,245,47,0
3.6,15,1,5,3,0,0,31,0.76528,0.0952381,0.458333,48,21,203,29,0
3.7,15,1,5,3,0,0,31,0.75495,0.25,0.555556,36,16,248,22,0
3.8,15,1,5,3,0,0,31,0.76748,0.315789,0.6,40,19,257,28,0
3.9,15,1,5,3,0,0,31,0.78238,0.315789,0.637255,102,38,265,60,0
4,15,1,5,3,0,0,31,0.78347,0.419355,0.707317,82,31,255,44,0
4.1,15,1,5,3,0,0,31,0.77297,0.208333,0.5,52,24,193,39,0
4.2,15,1,5,3,0,0,31,0.77462,0.277778,0.6,90,36,251,54,0
4.3,15,1,5,3,0,0,31,0.7475,0.294118,0.575,40,17,167,32,0
4.4,15,1,5,3,0,0,31,0.75671,0.307692,0.571429,28,13,201,18,0
4.5,15,1,5,3,0,0,31,0.77273,0.181818,0.510204,49,22,234,34,0
4.6,15,1,5,3,0,0,31,0.78568,0.410256,0.728972,107,39,310,63,0
4.7,15,1,5,3,0,0,31,0.78826,0.428571,0.724138,58,21,257,43,0
4.8,15,1,5,3,0,0,31,0.76424,0.2,0.6,60,25,218,36,0
4.9,15,1,5,3,0,0,31,0.79069,0.242424,0.670213,94,33,269,55,0
5,15,1,5,3,0,0,31,0.783,0.322581,0.723404,94,31,286,46,0
5.1,15,1,5,3,0,0,31,0.77972,0.318182,0.543478,46,22,266,36,0
5.2,15,1,5,3,0,0,31,0.76938,0.173913,0.555556,54,23,224,37,0
5.3,15,1,5,3,0,0,31,0.77253,0.285714,0.647059,68,28,276,35,0
5.4,15,1,5,3,0,0,31,0.7788,0.434783,0.720588,68,23,219,39,0
5.5,15,1,5,3,0,0,31,0.77596,0.37037,0.72973,74,27,305,35,0
5.6,15,1,5,3,0,0,31,0.78834,0.205882,0.663043,92,34,284,61,0
5.7,15,1,5,3,0,0,31,0.77751,0.2,0.543478,46,20,269,37,0
5.8,15,1,5,3,0,0,31,0.77033,0.307692,0.553571,56,26,268,31,0
5.9,15,1,5,3,0,0,31,0.78419,0.294118,0.6125,80,34,328,49,0
6,15,1,5,3,0,0,31,0.7763,0.411765,0.693182,88,34,244,40,0
6.1,15,1,5,3,0,0,31,0.7712,0.375,0.716667,60,24,316,30,0
6.2,15,1,5,3,0,0,31,0.7662,0.142857,0.366667,30,14,188,23,0
6.3,15,1,5,3,0,0,31,0.77479,0.56,0.742424,66,25,261,35,0
6.4,15,1,5,3,0,0,31,0.77479,0.185185,0.545455,66,27,252,37,0
6.5,15,1,5,3,0,0,31,0.77284,0.2,0.522727,44,20,246,36,0
6.6,15,1,5,3,0,0,31,0.7924,0.411765,0.76,100,34,336,56,0
6.7,15,1,5,3,0,0,31,0.78033,0.586207,0.742424,66,29,284,32,0
6.8,15,1,5,3,0,0,31,0.78421,0.481481,0.791667,72,27,269,41,0
6.9,15,1,5,3,0,0,31,0.79255,0.259259,0.628571,70,27,297,53,0
7,15,1,5,3,0,0,31,0.77452,0.444444,0.729167,48,18,244,32,0
7.1,15,1,5,3,0,0,31,0.78367,0.322581,0.6625,80,31,311,45,0
7.2,15,1,5,3,0,0,31,0.76298,0.222222,0.673913,46,18,257,23,0
7.3,15,1,5,3,0,0,31,0.78514,0.388889,0.654762,84,36,219,38,0
7.4,15,1,5,3,0,0,31,0.7792,0.290323,0.583333,72,31,280,42,0
7.5,15,1,5,3,0,0,31,0.77455,0.2,0.45,40,20,245,36,0
7.6,15,1,5,3,0,0,31,0.77335,0.291667,0.633333,60,24,228,35,0
7.7,15,1,5,3,0,0,31,0.78378,0.37931,0.75,80,29,327,35,0
7.8,15,1,5,3,0,0,31,0.77574,0.0689655,0.466667,60,29,240,49,0
7.9,15,1,5,3,0,0,31,0.77433,0.111111,0.447368,38,18,256,34,0
