time_s,k_hat,cwds,qsrc,psrc,n_aggressive,n_conservative,n_unchanged,busy_frac,coll_rate,coll_rate_frame,dscts_frames,dscts_bursts,bsr_sum,lli_count,changed
0.1,30,1,5,3,0,0,0,0.0034,0,0,0,0,0,0,0
0.2,30,1,5,3,0,0,15,0.26856,0.125,0.847458,59,8,0,0,1
0.3,30,1,5,3,0,0,15,0.0044,0,0,0,0,0,0,0
0.4,30,1,5,3,0,0,15,0.0044,0,0,0,0,0,0,0
0.5,30,1,5,3,0,0,15,0.0044,0,0,0,0,0,0,0
0.6,30,1,5,3,0,0,15,0.02063,0,0,0,0,0,0,0
0.7,30,1,5,3,0,0,23,0.45283,0.4,0.823529,17,5,34,2,1
0.8,30,1,5,3,0,0,23,0.51064,0,0,2,1,62,0,0
0.9,30,1,5,3,0,0,23,0.63659,0,0,0,0,53,0,0
1,30,1,5,3,0,0,23,0.52544,0,0,0,0,40,0,0
1.1,30,1,5,3,0,0,23,0.52897,0,0,0,0,63,0,0
1.2,30,1,5,3,0,0,27,0.67732,0.2,0.444444,9,5,84,9,1
1.3,30,1,5,3,0,0,29,0.67283,0.214286,0.470588,34,14,102,18,1
1.4,30,1,5,3,0,0,29,0.61504,0.4,0.5,10,5,99,4,0
1.5,30,1,5,3,0,0,29,0.73181,0.285714,0.481481,27,14,88,11,0
1.6,30,1,5,3,0,0,29,0.68331,0.2,0.4,10,5,80,7,0
1.7,30,1,5,3,0,0,29,0.61803,0,0,0,0,80,0,0
1.8,30,1,5,3,0,0,30,0.61865,0,0,0,0,102,0,1
1.9,30,1,5,3,0,0,30,0.66027,0,0,2,1,111,3,0
2,30,1,5,3,0,0,30,0.74296,0.181818,0.318182,22,11,127,18,0
2.1,30,1,5,3,0,0,30,0.75042,0.478261,0.6,50,23,155,23,0
2.2,30,1,5,3,0,0,30,0.77209,0.181818,0.54878,82,33,120,60,0
2.3,30,1,5,3,0,0,30,0.76138,0.136364,0.534483,58,22,266,41,0
2.4,30,1,5,3,0,0,30,0.78163,0.377778,0.69697,132,45,176,77,0
2.5,30,1,5,3,0,0,30,0.74953,0.35,0.672414,58,20,127,27,0
2.6,30,1,5,3,0,0,30,0.74132,0.285714,0.461538,13,7,136,12,0
2.7,30,1,5,3,0,0,30,0.76488,0.130435,0.403846,52,23,142,44,0
2.8,30,1,5,3,0,0,30,0.74361,0.266667,0.433333,30,15,134,24,0
2.9,30,1,5,3,0,0,30,0.71265,0.25,0.545455,44,20,115,26,0
3,30,1,5,3,0,0,30,0.7173,0.2,0.5,24,10,145,22,0
3.1,30,1,5,3,0,0,30,0.72264,0.214286,0.392857,28,14,104,12,0
3.2,30,1,5,3,0,0,30,0.72207,0.2,0.3,20,10,97,14,0
3.3,30,1,5,3,0,0,30,0.73724,0.333333,0.557692,52,24,165,37,0
3.4,30,1,5,3,0,0,30,0.76053,0.235294,0.54878,82,34,253,50,0
3.5,30,1,5,3,0,0,30,0.74492,0.5,0.692308,52,22,149,29,0
3.6,30,1,5,3,0,0,30,0.67106,0.2,0.3,10,5,108,5,0
3.7,30,1,5,3,0,0,30,0.71309,0.375,0.5625,16,8,115,16,0
3.8,30,1,5,3,0,0,30,0.76556,0.16129,0.485294,68,31,186,50,0
3.9,30,1,5,3,0,0,30,0.77684,0.27027,0.577778,90,37,169,66,0
4,30,1,5,3,0,0,30,0.75874,0.392857,0.609375,64,28,143,36,0
4.1,30,1,5,3,0,0,30,0.73687,0.263158,0.47619,42,19,137,26,0
4.2,30,1,5,3,0,0,30,0.70657,0.0666667,0.352941,34,15,182,14,0
4.3,30,1,5,3,0,0,30,0.76746,0.25,0.5625,96,40,178,60,0
