bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,1.38783e-05,6.93914e-05,1
215,220,217.5,8.32697e-05,0.000416349,6
220,225,222.5,8.32697e-05,0.000416349,6
225,230,227.5,0.000138783,0.000693914,10
230,235,232.5,5.55131e-05,0.000277566,4
235,240,237.5,5.55131e-05,0.000277566,4
240,245,242.5,8.32697e-05,0.000416349,6
245,250,247.5,0.000124905,0.000624523,9
250,255,252.5,6.93914e-05,0.000346957,5
255,260,257.5,6.93914e-05,0.000346957,5
260,265,262.5,5.55131e-05,0.000277566,4
265,270,267.5,0.000124905,0.000624523,9
270,275,272.5,8.32697e-05,0.000416349,6
275,280,277.5,5.55131e-05,0.000277566,4
280,285,282.5,9.7148e-05,0.00048574,7
285,290,287.5,6.93914e-05,0.000346957,5
290,295,292.5,0.000152661,0.000763306,11
295,300,297.5,4.16349e-05,0.000208174,3
300,305,302.5,9.7148e-05,0.00048574,7
305,310,307.5,2.77566e-05,0.000138783,2
310,315,312.5,5.55131e-05,0.000277566,4
315,320,317.5,9.7148e-05,0.00048574,7
320,325,322.5,9.7148e-05,0.00048574,7
325,330,327.5,8.32697e-05,0.000416349,6
330,335,332.5,6.93914e-05,0.000346957,5
335,340,337.5,8.32697e-05,0.000416349,6
340,345,342.5,0.00238707,0.0119353,172
345,350,347.5,0.00364999,0.0182499,263
350,355,352.5,0.00140171,0.00700854,101
355,360,357.5,0.000777184,0.00388592,56
360,365,362.5,0.000707793,0.00353896,51
365,370,367.5,0.000929845,0.00464923,67
370,375,372.5,0.00088821,0.00444105,64
375,380,377.5,0.00048574,0.0024287,35
380,385,382.5,0.000166539,0.000832697,12
385,390,387.5,0.000388592,0.00194296,28
390,395,392.5,0.000360835,0.00180418,26
395,400,397.5,0.000291444,0.00145722,21
400,405,402.5,0.000541253,0.00270627,39
405,410,407.5,0.000333079,0.00166539,24
410,415,412.5,0.000430227,0.00215113,31
415,420,417.5,0.000249809,0.00124905,18
420,425,422.5,0.000374714,0.00187357,27
425,430,427.5,0.000388592,0.00194296,28
430,435,432.5,0.000360835,0.00180418,26
435,440,437.5,0.000305322,0.00152661,22
440,445,442.5,0.000346957,0.00173479,25
445,450,447.5,0.000263687,0.00131844,19
