bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,3.23363e-05,0.000161681,1
215,220,217.5,3.23363e-05,0.000161681,1
220,225,222.5,0.000226354,0.00113177,7
225,230,227.5,6.46726e-05,0.000323363,2
230,235,232.5,9.70089e-05,0.000485044,3
235,240,237.5,9.70089e-05,0.000485044,3
240,245,242.5,6.46726e-05,0.000323363,2
245,250,247.5,3.23363e-05,0.000161681,1
250,255,252.5,0.000161681,0.000808407,5
255,260,257.5,6.46726e-05,0.000323363,2
260,265,262.5,9.70089e-05,0.000485044,3
265,270,267.5,6.46726e-05,0.000323363,2
270,275,272.5,0.000129345,0.000646726,4
280,285,282.5,0.000129345,0.000646726,4
285,290,287.5,0.000129345,0.000646726,4
290,295,292.5,0.000161681,0.000808407,5
295,300,297.5,0.000129345,0.000646726,4
300,305,302.5,6.46726e-05,0.000323363,2
305,310,307.5,0.000161681,0.000808407,5
310,315,312.5,9.70089e-05,0.000485044,3
315,320,317.5,0.000161681,0.000808407,5
320,325,322.5,9.70089e-05,0.000485044,3
325,330,327.5,9.70089e-05,0.000485044,3
330,335,332.5,0.000129345,0.000646726,4
335,340,337.5,0.000129345,0.000646726,4
340,345,342.5,0.00171382,0.00856912,53
345,350,347.5,0.00336297,0.0168149,104
350,355,352.5,0.0014228,0.00711399,44
355,360,357.5,0.000679062,0.00339531,21
360,365,362.5,0.000582053,0.00291027,18
365,370,367.5,0.00061439,0.00307195,19
370,375,372.5,0.000711399,0.00355699,22
375,380,377.5,0.000420372,0.00210186,13
380,385,382.5,0.000161681,0.000808407,5
385,390,387.5,0.000388036,0.00194018,12
390,395,392.5,0.000485044,0.00242522,15
395,400,397.5,3.23363e-05,0.000161681,1
400,405,402.5,0.000355699,0.0017785,11
405,410,407.5,0.000194018,0.000970089,6
410,415,412.5,0.000355699,0.0017785,11
415,420,417.5,0.000420372,0.00210186,13
420,425,422.5,0.000517381,0.0025869,16
425,430,427.5,0.00061439,0.00307195,19
430,435,432.5,0.000485044,0.00242522,15
435,440,437.5,0.000291027,0.00145513,9
440,445,442.5,0.000517381,0.0025869,16
445,450,447.5,0.000226354,0.00113177,7
450,455,452.5,0.0150364,0.0751819,465
455,460,457.5,0.00025869,0.00129345,8
460,465,462.5,0.00061439,0.00307195,19
465,470,467.5,0.000549717,0.00274859,17
470,475,472.5,0.000291027,0.00145513,9
475,480,477.5,0.00025869,0.00129345,8
480,485,482.5,0.000646726,0.00323363,20
485,490,487.5,0.000517381,0.0025869,16
490,495,492.5,0.000388036,0.00194018,12
495,500,497.5,0.000323363,0.00161681,10
500,505,502.5,0.000517381,0.0025869,16
505,510,507.5,0.000420372,0.00210186,13
510,515,512.5,0.000388036,0.00194018,12
515,520,517.5,0.000388036,0.00194018,12
520,525,522.5,0.000355699,0.0017785,11
525,530,527.5,0.00025869,0.00129345,8
530,535,532.5,0.000452708,0.00226354,14
535,540,537.5,0.000355699,0.0017785,11
540,545,542.5,0.000452708,0.00226354,14
545,550,547.5,0.000388036,0.00194018,12
550,555,552.5,0.000420372,0.00210186,13
555,560,557.5,0.000291027,0.00145513,9
560,565,562.5,0.00061439,0.00307195,19
565,570,567.5,0.000323363,0.00161681,10
570,575,572.5,0.000420372,0.00210186,13
575,580,577.5,0.000355699,0.0017785,11
580,585,582.5,0.000549717,0.00274859,17
585,590,587.5,0.00025869,0.00129345,8
590,595,592.5,0.000323363,0.00161681,10
595,600,597.5,0.000452708,0.00226354,14
600,605,602.5,0.000388036,0.00194018,12
605,610,607.5,0.000420372,0.00210186,13
610,615,612.5,0.000161681,0.000808407,5
615,620,617.5,0.000355699,0.0017785,11
620,625,622.5,0.000323363,0.00161681,10
625,630,627.5,0.00025869,0.00129345,8
630,635,632.5,0.000388036,0.00194018,12
635,640,637.5,0.000291027,0.00145513,9
640,645,642.5,0.000291027,0.00145513,9
645,650,647.5,0.000291027,0.00145513,9
