bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,1.76243e-05,8.81213e-05,1
215,220,217.5,5.28728e-05,0.000264364,3
220,225,222.5,0.000211491,0.00105746,12
225,230,227.5,8.81213e-05,0.000440606,5
230,235,232.5,8.81213e-05,0.000440606,5
235,240,237.5,8.81213e-05,0.000440606,5
240,245,242.5,0.000105746,0.000528728,6
245,250,247.5,0.000140994,0.00070497,8
250,255,252.5,0.000158618,0.000793091,9
255,260,257.5,7.0497e-05,0.000352485,4
260,265,262.5,0.00012337,0.000616849,7
265,270,267.5,0.000211491,0.00105746,12
270,275,272.5,0.000105746,0.000528728,6
275,280,277.5,0.000158618,0.000793091,9
280,285,282.5,0.000140994,0.00070497,8
285,290,287.5,8.81213e-05,0.000440606,5
290,295,292.5,7.0497e-05,0.000352485,4
295,300,297.5,7.0497e-05,0.000352485,4
300,305,302.5,0.00012337,0.000616849,7
305,310,307.5,7.0497e-05,0.000352485,4
310,315,312.5,0.00012337,0.000616849,7
315,320,317.5,0.000176243,0.000881213,10
320,325,322.5,0.000140994,0.00070497,8
325,330,327.5,0.000105746,0.000528728,6
330,335,332.5,5.28728e-05,0.000264364,3
335,340,337.5,7.0497e-05,0.000352485,4
340,345,342.5,0.00179767,0.00898837,102
345,350,347.5,0.00250264,0.0125132,142
350,355,352.5,0.00121607,0.00608037,69
355,360,357.5,0.000722594,0.00361297,41
360,365,362.5,0.00082834,0.0041417,47
365,370,367.5,0.000969334,0.00484667,55
370,375,372.5,0.000652097,0.00326049,37
375,380,377.5,0.000370109,0.00185055,21
380,385,382.5,0.000158618,0.000793091,9
385,390,387.5,0.000563976,0.00281988,32
390,395,392.5,0.00024674,0.0012337,14
395,400,397.5,0.000299612,0.00149806,17
400,405,402.5,0.000229115,0.00114558,13
405,410,407.5,0.000370109,0.00185055,21
410,415,412.5,0.000475855,0.00237927,27
415,420,417.5,0.000317237,0.00158618,18
420,425,422.5,0.000334861,0.0016743,19
425,430,427.5,0.000370109,0.00185055,21
