time_s,k_hat,cwds,qsrc,psrc,n_aggressive,n_conservative,n_unchanged,busy_frac,coll_rate,coll_rate_frame,dscts_frames,dscts_bursts,bsr_sum,lli_count,changed
1.1,0,1,2,3,0,0,24,0.61252,0.333333,0.5,6,3,55,0,1
1.2,9,1,4,3,0,0,27,0.69247,0.171429,0.47191,89,35,55,15,1
1.3,9,1,4,3,0,0,30,0.6216,0,0.5,2,1,50,0,1
1.4,9,1,4,3,0,0,30,0.63873,0,0.25,4,2,73,0,0
1.5,9,1,4,3,0,0,30,0.65442,0,0,2,1,136,0,0
1.6,12,1,4,3,0,0,30,0.70814,0.2,0.4,10,5,85,3,0
1.7,18,1,4,3,0,0,30,0.74625,0.354839,0.67,100,31,152,36,0
1.8,20,1,4,3,0,0,30,0.72567,0.25,0.552941,85,36,156,33,0
1.9,20,1,4,3,0,0,30,0.7679,0.145833,0.585366,123,48,151,55,0
2,20,1,4,3,0,0,30,0.74429,0.25641,0.522727,88,39,127,27,0
2.1,21,1,4,3,0,0,30,0.743,0.208333,0.461538,52,24,133,13,0
2.2,21,1,4,3,0,0,30,0.7503,0.314286,0.597826,92,35,147,29,0
2.3,21,1,4,3,0,0,30,0.752,0.0882353,0.52381,84,34,122,32,0
2.4,21,1,4,3,0,0,30,0.74311,0.321429,0.533333,60,28,103,21,0
2.5,21,1,4,3,0,0,30,0.73439,0.184211,0.572917,96,38,136,33,0
2.6,22,1,4,3,0,0,30,0.69684,0.214286,0.481481,27,14,166,9,0
2.7,23,1,5,3,0,0,30,0.75969,0.340909,0.645161,124,44,170,45,1
2.8,23,1,5,3,0,0,30,0.76138,0.324324,0.619565,92,37,173,45,0
2.9,24,1,5,3,0,0,30,0.76008,0.342105,0.663462,104,38,171,51,0
3,24,1,5,3,0,0,30,0.76157,0.3125,0.695652,92,32,163,48,0
3.1,24,1,5,3,0,0,30,0.72729,0.0769231,0.285714,28,13,142,16,0
3.2,24,1,4,3,0,0,30,0.74368,0.222222,0.5,38,18,112,22,1
3.3,24,1,4,3,0,0,30,0.74193,0.35,0.636364,44,20,166,19,0
3.4,24,1,4,3,0,0,30,0.75564,0.166667,0.528846,104,42,144,37,0
3.5,24,1,4,3,0,0,30,0.76413,0.37037,0.705128,156,54,215,55,0
3.6,24,1,4,3,0,0,30,0.75861,0.407407,0.671875,64,27,120,36,0
3.7,25,1,4,3,0,0,30,0.7712,0.207547,0.518797,133,53,268,60,0
3.8,25,1,4,3,0,0,30,0.77896,0.222222,0.654412,136,45,257,81,0
3.9,25,1,4,3,0,0,30,0.74023,0.333333,0.566667,90,39,200,32,0
