CWds,QSRC,PSRC,nPedca,delay_type,samples,P50_us,P95_us,P99_us
0,0,1,5,legacy,116066,3207.50,27102.50,44197.50
0,0,1,5,legacy,116066,3207.50,27102.50,44197.50
0,0,2,5,legacy,130105,3357.50,27552.50,43287.50
0,0,2,5,legacy,130105,3357.50,27552.50,43287.50
0,0,3,5,legacy,132494,3402.50,27862.50,44237.50
0,0,3,5,legacy,132494,3402.50,27862.50,44237.50
0,1,1,5,legacy,130964,3227.50,28402.50,45747.50
0,1,1,5,legacy,130964,3227.50,28402.50,45747.50
0,1,2,5,legacy,131856,3307.50,28747.50,46292.50
0,1,2,5,legacy,131856,3307.50,28747.50,46292.50
0,1,3,5,legacy,117725,3397.50,28687.50,45312.50
0,1,3,5,legacy,117725,3397.50,28687.50,45312.50
0,2,1,5,legacy,129656,3227.50,28142.50,45517.50
0,2,1,5,legacy,129656,3227.50,28142.50,45517.50
0,2,2,5,legacy,118383,3322.50,28762.50,46692.50
0,2,2,5,legacy,118383,3322.50,28762.50,46692.50
0,2,3,5,legacy,118529,3282.50,29142.50,47012.50
0,2,3,5,legacy,118529,3282.50,29142.50,47012.50
0,3,1,5,legacy,128596,3112.50,28692.50,47577.50
0,3,1,5,legacy,128596,3112.50,28692.50,47577.50
0,3,2,5,legacy,131642,3147.50,27497.50,45722.50
0,3,2,5,legacy,131642,3147.50,27497.50,45722.50
0,3,3,5,legacy,129570,3202.50,27682.50,45112.50
0,3,3,5,legacy,129570,3202.50,27682.50,45112.50
0,4,1,5,legacy,131587,3152.50,28112.50,45752.50
0,4,1,5,legacy,131587,3152.50,28112.50,45752.50
0,4,2,5,legacy,131613,3112.50,27472.50,45707.50
0,4,2,5,legacy,131613,3112.50,27472.50,45707.50
0,4,3,5,legacy,129956,3262.50,29272.50,47372.50
0,4,3,5,legacy,129956,3262.50,29272.50,47372.50
0,5,1,5,legacy,129628,3137.50,27967.50,45997.50
0,5,1,5,legacy,129628,3137.50,27967.50,45997.50
0,5,2,5,legacy,130558,3197.50,28772.50,47057.50
0,5,2,5,legacy,130558,3197.50,28772.50,47057.50
0,5,3,5,legacy,131389,3297.50,29527.50,47637.50
0,5,3,5,legacy,131389,3297.50,29527.50,47637.50
1,0,1,5,legacy,116066,3207.50,27102.50,44197.50
1,0,1,5,legacy,116066,3207.50,27102.50,44197.50
1,0,2,5,legacy,130226,3322.50,27592.50,43462.50
1,0,2,5,legacy,130226,3322.50,27592.50,43462.50
1,0,3,5,legacy,119238,3362.50,26607.50,42367.50
1,0,3,5,legacy,119238,3362.50,26607.50,42367.50
1,1,1,5,legacy,117102,3222.50,28112.50,45122.50
1,1,1,5,legacy,117102,3222.50,28112.50,45122.50
