bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
215.0,220.0,217.5,3.8954083e-05,0.00019477041,16
220.0,225.0,222.5,4.3823343e-05,0.00021911672,18
225.0,230.0,227.5,3.6519453e-05,0.00018259726,15
230.0,235.0,232.5,3.8954083e-05,0.00019477041,16
235.0,240.0,237.5,2.1911672e-05,0.00010955836,9
240.0,245.0,242.5,3.6519453e-05,0.00018259726,15
245.0,250.0,247.5,3.6519453e-05,0.00018259726,15
250.0,255.0,252.5,4.1388713e-05,0.00020694357,17
255.0,260.0,257.5,2.4346302e-05,0.00012173151,10
260.0,265.0,262.5,3.8954083e-05,0.00019477041,16
265.0,270.0,267.5,2.4346302e-05,0.00012173151,10
270.0,275.0,272.5,3.8954083e-05,0.00019477041,16
275.0,280.0,277.5,4.3823343e-05,0.00021911672,18
280.0,285.0,282.5,3.8954083e-05,0.00019477041,16
285.0,290.0,287.5,2.1911672e-05,0.00010955836,9
290.0,295.0,292.5,3.1650192e-05,0.00015825096,13
295.0,300.0,297.5,3.1650192e-05,0.00015825096,13
300.0,305.0,302.5,3.1650192e-05,0.00015825096,13
305.0,310.0,307.5,3.4084823e-05,0.00017042411,14
310.0,315.0,312.5,2.1911672e-05,0.00010955836,9
315.0,320.0,317.5,3.4084823e-05,0.00017042411,14
320.0,325.0,322.5,3.1650192e-05,0.00015825096,13
325.0,330.0,327.5,3.8954083e-05,0.00019477041,16
330.0,335.0,332.5,2.9215562e-05,0.00014607781,12
335.0,340.0,337.5,3.1650192e-05,0.00015825096,13
340.0,345.0,342.5,0.0014729513,0.0073647563,605
345.0,350.0,347.5,0.0023518528,0.011759264,966
350.0,355.0,352.5,0.0012489653,0.0062448264,513
355.0,360.0,357.5,0.00098845985,0.0049422993,406
360.0,365.0,362.5,0.00089350928,0.0044675464,367
365.0,370.0,367.5,0.00098845985,0.0049422993,406
370.0,375.0,372.5,0.00091298632,0.0045649316,375
375.0,380.0,377.5,0.00044553732,0.0022276866,183
380.0,385.0,382.5,0.00027998247,0.0013999124,115
385.0,390.0,387.5,0.00032867507,0.0016433754,135
390.0,395.0,392.5,0.00036762916,0.0018381458,151
395.0,400.0,397.5,0.00034084823,0.0017042411,140
400.0,405.0,402.5,0.00035545601,0.00177728,146
405.0,410.0,407.5,0.00041632176,0.0020816088,171
410.0,415.0,412.5,0.00040414861,0.002020743,166
415.0,420.0,417.5,0.0003627599,0.0018137995,149
420.0,425.0,422.5,0.00032867507,0.0016433754,135
425.0,430.0,427.5,0.00044310269,0.0022155135,182
430.0,435.0,432.5,0.00029702488,0.0014851244,122
435.0,440.0,437.5,0.00027511321,0.0013755661,113
440.0,445.0,442.5,0.00028485173,0.0014242587,117
445.0,450.0,447.5,0.0002580708,0.001290354,106
450.0,455.0,452.5,0.0076374349,0.038187174,3137
455.0,460.0,457.5,0.0003067634,0.001533817,126
460.0,465.0,462.5,0.00031893655,0.0015946828,131
465.0,470.0,467.5,0.00034084823,0.0017042411,140
470.0,475.0,472.5,0.0003311097,0.0016555485,136
475.0,480.0,477.5,0.00040901787,0.0020450894,168
480.0,485.0,482.5,0.00043092954,0.0021546477,177
485.0,490.0,487.5,0.00037493305,0.0018746652,154
490.0,495.0,492.5,0.00043092954,0.0021546477,177
495.0,500.0,497.5,0.00038467157,0.0019233578,158
500.0,505.0,502.5,0.0004601451,0.0023007255,189
505.0,510.0,507.5,0.00042119102,0.0021059551,173
510.0,515.0,512.5,0.00037249842,0.0018624921,153
515.0,520.0,517.5,0.00040901787,0.0020450894,168
520.0,525.0,522.5,0.00038467157,0.0019233578,158
525.0,530.0,527.5,0.00040414861,0.002020743,166
530.0,535.0,532.5,0.00035302138,0.0017651069,145
535.0,540.0,537.5,0.00033597896,0.0016798948,138
540.0,545.0,542.5,0.00041632176,0.0020816088,171
545.0,550.0,547.5,0.00041388713,0.0020694357,170
550.0,555.0,552.5,0.00035302138,0.0017651069,145
555.0,560.0,557.5,0.00037249842,0.0018624921,153
560.0,565.0,562.5,0.00037980231,0.0018990115,156
565.0,570.0,567.5,0.00040414861,0.002020743,166
570.0,575.0,572.5,0.00032624044,0.0016312022,134
575.0,580.0,577.5,0.00032380581,0.0016190291,133
580.0,585.0,582.5,0.00047962215,0.0023981107,197
585.0,590.0,587.5,0.00034815212,0.0017407606,143
590.0,595.0,592.5,0.00044066806,0.0022033403,181
595.0,600.0,597.5,0.00030919803,0.0015459902,127
600.0,605.0,602.5,0.00043823343,0.0021911672,180
605.0,610.0,607.5,0.00038223694,0.0019111847,157
610.0,615.0,612.5,0.00037249842,0.0018624921,153
615.0,620.0,617.5,0.00034571749,0.0017285874,142
620.0,625.0,622.5,0.0003871062,0.001935531,159
625.0,630.0,627.5,0.00039441009,0.0019720504,162
630.0,635.0,632.5,0.0004601451,0.0023007255,189
635.0,640.0,637.5,0.00031163266,0.0015581633,128
640.0,645.0,642.5,0.00039684472,0.0019842236,163
645.0,650.0,647.5,0.00038223694,0.0019111847,157
650.0,655.0,652.5,0.00037736768,0.0018868384,155
655.0,660.0,657.5,0.00034084823,0.0017042411,140
660.0,665.0,662.5,0.00037006379,0.0018503189,152
665.0,670.0,667.5,0.00038223694,0.0019111847,157
670.0,675.0,672.5,0.0003871062,0.001935531,159
675.0,680.0,677.5,0.00036032527,0.0018016263,148
680.0,685.0,682.5,0.00042119102,0.0021059551,173
685.0,690.0,687.5,0.00040414861,0.002020743,166
690.0,695.0,692.5,0.00034084823,0.0017042411,140
695.0,700.0,697.5,0.00040658324,0.0020329162,167
700.0,705.0,702.5,0.00035302138,0.0017651069,145
705.0,710.0,707.5,0.00036519453,0.0018259726,150
710.0,715.0,712.5,0.00036762916,0.0018381458,151
715.0,720.0,717.5,0.00038223694,0.0019111847,157
720.0,725.0,722.5,0.00042362565,0.0021181283,174
725.0,730.0,727.5,0.00033841359,0.001692068,139
730.0,735.0,732.5,0.00042606028,0.0021303014,175
