CWds,QSRC,PSRC,nPedca,delay_type,samples,P50_us,P95_us,P99_us
0,0,1,5,legacy,142214,1917.50,7347.50,9482.50
0,0,1,5,legacy,142214,1917.50,7347.50,9482.50
0,0,2,5,legacy,139539,1862.50,7322.50,9652.50
0,0,2,5,legacy,139539,1862.50,7322.50,9652.50
0,0,3,5,legacy,136780,1737.50,7337.50,9992.50
0,0,3,5,legacy,136780,1737.50,7337.50,9992.50
0,1,1,5,legacy,142142,1792.50,7337.50,9527.50
0,1,1,5,legacy,142142,1792.50,7337.50,9527.50
0,1,2,5,legacy,142009,1942.50,7412.50,9412.50
0,1,2,5,legacy,142009,1942.50,7412.50,9412.50
0,1,3,5,legacy,140166,1812.50,7252.50,9022.50
0,1,3,5,legacy,140166,1812.50,7252.50,9022.50
0,2,1,5,legacy,132525,2097.50,7587.50,10317.50
0,2,1,5,legacy,132525,2097.50,7587.50,10317.50
0,2,2,5,legacy,136875,1867.50,7482.50,9887.50
0,2,2,5,legacy,136875,1867.50,7482.50,9887.50
0,2,3,5,legacy,134643,1992.50,7532.50,10052.50
0,2,3,5,legacy,134643,1992.50,7532.50,10052.50
0,3,1,5,legacy,144077,1787.50,7222.50,9067.50
0,3,1,5,legacy,144077,1787.50,7222.50,9067.50
0,3,2,5,legacy,139195,1912.50,7547.50,10307.50
0,3,2,5,legacy,139195,1912.50,7547.50,10307.50
0,3,3,5,legacy,141090,1812.50,7377.50,9597.50
0,3,3,5,legacy,141090,1812.50,7377.50,9597.50
0,4,1,5,legacy,142464,1917.50,7472.50,9612.50
0,4,1,5,legacy,142464,1917.50,7472.50,9612.50
0,4,2,5,legacy,139607,1737.50,7247.50,8977.50
0,4,2,5,legacy,139607,1737.50,7247.50,8977.50
0,4,3,5,legacy,140394,1772.50,7312.50,9117.50
0,4,3,5,legacy,140394,1772.50,7312.50,9117.50
0,5,1,5,legacy,138054,1847.50,7432.50,9762.50
0,5,1,5,legacy,138054,1847.50,7432.50,9762.50
0,5,2,5,legacy,139637,1817.50,7322.50,9562.50
0,5,2,5,legacy,139637,1817.50,7322.50,9562.50
0,5,3,5,legacy,140093,1847.50,7307.50,9102.50
0,5,3,5,legacy,140093,1847.50,7307.50,9102.50
1,0,1,5,legacy,142214,1917.50,7347.50,9482.50
1,0,1,5,legacy,142214,1917.50,7347.50,9482.50
1,0,2,5,legacy,133409,1862.50,7442.50,9782.50
1,0,2,5,legacy,133409,1862.50,7442.50,9782.50
1,0,3,5,legacy,137343,2092.50,7607.50,10337.50
1,0,3,5,legacy,137343,2092.50,7607.50,10337.50
1,1,1,5,legacy,137926,1687.50,7067.50,8617.50
1,1,1,5,legacy,137926,1687.50,7067.50,8617.50
1,1,2,5,legacy,134236,1977.50,7397.50,9502.50
1,1,2,5,legacy,134236,1977.50,7397.50,9502.50
1,1,3,5,legacy,134542,1937.50,7502.50,10107.50
1,1,3,5,legacy,134542,1937.50,7502.50,10107.50
1,2,1,5,legacy,142469,1832.50,7422.50,9552.50
1,2,1,5,legacy,142469,1832.50,7422.50,9552.50
1,2,2,5,legacy,136913,1957.50,7557.50,10127.50
1,2,2,5,legacy,136913,1957.50,7557.50,10127.50
1,2,3,5,legacy,135666,1852.50,7512.50,9952.50
1,2,3,5,legacy,135666,1852.50,7512.50,9952.50
1,3,1,5,legacy,136303,1802.50,7312.50,9292.50
1,3,1,5,legacy,136303,1802.50,7312.50,9292.50
1,3,2,5,legacy,136560,1707.50,7207.50,8847.50
1,3,2,5,legacy,136560,1707.50,7207.50,8847.50
1,3,3,5,legacy,131541,1767.50,7332.50,9377.50
1,3,3,5,legacy,131541,1767.50,7332.50,9377.50
1,4,1,5,legacy,142579,1732.50,7267.50,9197.50
1,4,1,5,legacy,142579,1732.50,7267.50,9197.50
1,4,2,5,legacy,141621,1897.50,7382.50,9342.50
1,4,2,5,legacy,141621,1897.50,7382.50,9342.50
1,4,3,5,legacy,144843,1752.50,7157.50,8552.50
1,4,3,5,legacy,144843,1752.50,7157.50,8552.50
1,5,1,5,legacy,145910,1742.50,7167.50,9022.50
