rank,CWds,QSRC,PSRC,pedca_ontime_10ms_pct,pedca_P50_us,pedca_P95_us,pedca_P99_us,pedca_loss_pct,legacy_loss_pct,legacy_P99_us
1,0,1,3,86.79,2174.2,7855.8,10714.2,11.95,13.01,10860.0
2,0,0,2,87.51,2542.5,7937.5,10749.2,11.18,12.30,10880.0
3,0,1,1,87.29,2099.2,7852.5,10749.2,11.42,11.13,10927.5
4,0,2,1,88.10,2404.2,7847.5,10794.2,10.55,10.90,10845.0
5,0,1,2,85.29,2204.2,7915.8,10815.8,13.38,12.89,10987.5
6,0,0,3,86.77,2672.5,7980.8,10880.8,11.80,12.01,10755.0
7,0,3,3,88.63,2530.8,7869.2,10897.5,10.00,12.07,10842.5
8,0,2,2,87.57,2520.8,7899.2,10960.8,11.00,12.22,10912.5
9,0,0,1,87.47,2572.5,7989.2,10984.2,11.07,11.72,11015.0
10,1,0,1,87.47,2572.5,7989.2,10984.2,11.07,11.72,11015.0
11,0,3,2,88.80,2450.8,7874.2,11024.2,9.75,10.69,10885.0
12,1,1,1,89.50,2015.8,7954.2,11064.2,8.96,10.06,10960.0
13,0,2,3,86.36,2540.8,7944.2,11070.8,12.16,13.55,10972.5
14,1,1,2,90.40,1972.5,7927.5,11184.2,8.03,8.67,10725.0
15,0,5,1,88.83,2282.5,7944.2,11192.5,9.64,9.10,10742.5
16,1,0,2,88.70,2565.8,8020.8,11204.2,9.72,9.66,10875.0
17,1,0,3,90.13,2470.8,8040.8,11232.5,8.26,8.05,10712.5
18,0,4,1,86.74,2429.2,7997.5,11252.5,11.69,12.27,10985.0
19,0,4,3,87.68,2429.2,7989.2,11282.5,10.74,11.90,10985.0
20,0,3,1,86.60,2572.5,7972.5,11289.2,11.80,10.77,10940.0
21,1,3,1,89.16,2254.2,7925.8,11335.8,9.19,9.70,10935.0
22,1,2,3,91.16,2039.2,7842.5,11360.8,7.21,8.95,10712.5
23,1,2,1,88.30,2259.2,7985.8,11372.5,10.00,10.19,10990.0
24,0,5,2,86.70,2349.2,7997.5,11385.8,11.67,11.96,10980.0
25,1,2,2,88.21,2169.2,7962.5,11419.2,10.08,11.67,11152.5
26,1,1,3,90.51,1862.5,7997.5,11434.2,7.76,8.38,10717.5
27,1,3,2,90.04,2192.5,7884.2,11472.5,8.30,8.99,10785.0
28,0,4,2,86.07,2515.8,8045.8,11477.5,12.20,11.92,10882.5
29,0,5,3,85.39,2457.5,8082.5,11644.2,12.81,13.47,11095.0
30,1,3,3,90.01,2100.8,7927.5,11802.5,8.16,9.95,11000.0
31,1,4,1,87.81,2290.8,8039.2,11844.2,10.28,11.64,11090.0
32,1,4,2,90.67,2167.5,7994.2,12165.8,7.38,8.50,10662.5
33,1,5,1,87.73,2330.8,8142.5,12775.8,9.98,11.32,11007.5
34,1,4,3,90.37,2149.2,8095.8,13385.8,7.26,10.07,11047.5
35,1,5,2,89.44,2240.8,8224.2,14220.8,7.82,9.37,10845.0
36,1,5,3,89.48,2242.5,8482.5,16327.5,7.13,9.67,10900.0
