bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,4.6698694e-06,2.3349347e-05,4
215.0,220.0,217.5,3.7358955e-05,0.00018679478,32
220.0,225.0,222.5,3.6191488e-05,0.00018095744,31
225.0,230.0,227.5,3.969389e-05,0.00019846945,34
230.0,235.0,232.5,2.9186684e-05,0.00014593342,25
235.0,240.0,237.5,2.8019217e-05,0.00014009608,24
240.0,245.0,242.5,3.3856553e-05,0.00016928277,29
245.0,250.0,247.5,2.8019217e-05,0.00014009608,24
250.0,255.0,252.5,2.8019217e-05,0.00014009608,24
255.0,260.0,257.5,4.0861357e-05,0.00020430679,35
260.0,265.0,262.5,3.1521619e-05,0.00015760809,27
265.0,270.0,267.5,3.3856553e-05,0.00016928277,29
270.0,275.0,272.5,2.8019217e-05,0.00014009608,24
275.0,280.0,277.5,2.5684282e-05,0.00012842141,22
280.0,285.0,282.5,2.8019217e-05,0.00014009608,24
285.0,290.0,287.5,2.9186684e-05,0.00014593342,25
290.0,295.0,292.5,3.6191488e-05,0.00018095744,31
295.0,300.0,297.5,2.9186684e-05,0.00014593342,25
300.0,305.0,302.5,3.7358955e-05,0.00018679478,32
305.0,310.0,307.5,3.0354151e-05,0.00015177076,26
310.0,315.0,312.5,2.6851749e-05,0.00013425875,23
315.0,320.0,317.5,2.8019217e-05,0.00014009608,24
320.0,325.0,322.5,2.3349347e-05,0.00011674674,20
325.0,330.0,327.5,1.9846945e-05,9.9234725e-05,17
330.0,335.0,332.5,2.9186684e-05,0.00014593342,25
335.0,340.0,337.5,2.6851749e-05,0.00013425875,23
340.0,345.0,342.5,0.0013717741,0.0068588707,1175
345.0,350.0,347.5,0.0022940734,0.011470367,1965
350.0,355.0,352.5,0.0013227405,0.0066137026,1133
355.0,360.0,357.5,0.0010518881,0.0052594404,901
360.0,365.0,362.5,0.00092580161,0.0046290081,793
365.0,370.0,367.5,0.00097483524,0.0048741762,835
370.0,375.0,372.5,0.0010425483,0.0052127417,893
375.0,380.0,377.5,0.00047515921,0.0023757961,407
380.0,385.0,382.5,0.00025917775,0.0012958888,222
385.0,390.0,387.5,0.00034440287,0.0017220143,295
390.0,395.0,392.5,0.00035491008,0.0017745504,304
395.0,400.0,397.5,0.00039460397,0.0019730198,338
400.0,405.0,402.5,0.00036775222,0.0018387611,315
405.0,410.0,407.5,0.00043196292,0.0021598146,370
410.0,415.0,412.5,0.00038409676,0.0019204838,329
415.0,420.0,417.5,0.0003934365,0.0019671825,337
420.0,425.0,422.5,0.00044247013,0.0022123506,379
425.0,430.0,427.5,0.00052069044,0.0026034522,446
430.0,435.0,432.5,0.00030704391,0.0015352196,263
435.0,440.0,437.5,0.00024983801,0.0012491901,214
440.0,445.0,442.5,0.00024983801,0.0012491901,214
445.0,450.0,447.5,0.00025100548,0.0012550274,215
450.0,455.0,452.5,0.0056867335,0.028433667,4871
455.0,460.0,457.5,0.00021481399,0.00107407,184
460.0,465.0,462.5,0.00033156073,0.0016578036,284
465.0,470.0,467.5,0.00027785723,0.0013892862,238
470.0,475.0,472.5,0.00036541728,0.0018270864,313
475.0,480.0,477.5,0.00035024021,0.001751201,300
480.0,485.0,482.5,0.00037008715,0.0018504358,317
485.0,490.0,487.5,0.00036424981,0.0018212491,312
490.0,495.0,492.5,0.00032338846,0.0016169423,277
495.0,500.0,497.5,0.00037125462,0.0018562731,318
500.0,505.0,502.5,0.00035957995,0.0017978997,308
505.0,510.0,507.5,0.00037825942,0.0018912971,324
510.0,515.0,512.5,0.00037475702,0.0018737851,321
515.0,520.0,517.5,0.0003934365,0.0019671825,337
520.0,525.0,522.5,0.00037825942,0.0018912971,324
525.0,530.0,527.5,0.0003467378,0.001733689,297
530.0,535.0,532.5,0.00035140767,0.0017570384,301
535.0,540.0,537.5,0.00032222099,0.0016111049,276
540.0,545.0,542.5,0.00034557034,0.0017278517,296
545.0,550.0,547.5,0.00035607754,0.0017803877,305
550.0,555.0,552.5,0.00035841248,0.0017920624,307
555.0,560.0,557.5,0.00036541728,0.0018270864,313
560.0,565.0,562.5,0.00041094851,0.0020547425,352
565.0,570.0,567.5,0.00037008715,0.0018504358,317
570.0,575.0,572.5,0.00037592449,0.0018796224,322
575.0,580.0,577.5,0.00037825942,0.0018912971,324
580.0,585.0,582.5,0.00045647974,0.0022823987,391
585.0,590.0,587.5,0.00037358955,0.0018679478,320
590.0,595.0,592.5,0.0003969389,0.0019846945,340
595.0,600.0,597.5,0.00035374261,0.001768713,303
600.0,605.0,602.5,0.0004039437,0.0020197185,346
605.0,610.0,607.5,0.00043429786,0.0021714893,372
610.0,615.0,612.5,0.00036424981,0.0018212491,312
615.0,620.0,617.5,0.00037592449,0.0018796224,322
620.0,625.0,622.5,0.00048099655,0.0024049828,412
