CWds,QSRC,PSRC,nPedca,delay_type,samples,P50_us,P95_us,P99_us
0,0,1,5,legacy,126051,2432.50,7932.50,11107.50
0,0,1,5,legacy,126051,2432.50,7932.50,11107.50
0,0,2,5,legacy,135751,2457.50,7962.50,11067.50
0,0,2,5,legacy,135751,2457.50,7962.50,11067.50
0,0,3,5,legacy,132824,2577.50,8037.50,11017.50
0,0,3,5,legacy,132824,2577.50,8037.50,11017.50
0,1,1,5,legacy,139978,2447.50,7962.50,11017.50
0,1,1,5,legacy,139978,2447.50,7962.50,11017.50
0,1,2,5,legacy,137058,2482.50,7977.50,10982.50
0,1,2,5,legacy,137058,2482.50,7977.50,10982.50
0,1,3,5,legacy,135186,2557.50,7992.50,10992.50
0,1,3,5,legacy,135186,2557.50,7992.50,10992.50
0,2,1,5,legacy,140142,2442.50,7992.50,11047.50
0,2,1,5,legacy,140142,2442.50,7992.50,11047.50
0,2,2,5,legacy,139145,2487.50,8017.50,11037.50
0,2,2,5,legacy,139145,2487.50,8017.50,11037.50
0,2,3,5,legacy,137262,2402.50,7957.50,11002.50
0,2,3,5,legacy,137262,2402.50,7957.50,11002.50
0,3,1,5,legacy,141730,2492.50,7982.50,10957.50
0,3,1,5,legacy,141730,2492.50,7982.50,10957.50
0,3,2,5,legacy,139173,2347.50,7887.50,10802.50
0,3,2,5,legacy,139173,2347.50,7887.50,10802.50
0,3,3,5,legacy,138515,2407.50,7932.50,10957.50
0,3,3,5,legacy,138515,2407.50,7932.50,10957.50
0,4,1,5,legacy,140308,2347.50,7912.50,10877.50
0,4,1,5,legacy,140308,2347.50,7912.50,10877.50
0,4,2,5,legacy,143428,2392.50,7922.50,10937.50
0,4,2,5,legacy,143428,2392.50,7922.50,10937.50
0,4,3,5,legacy,135136,2402.50,7922.50,10932.50
0,4,3,5,legacy,135136,2402.50,7922.50,10932.50
0,5,1,5,legacy,140378,2437.50,7972.50,11062.50
0,5,1,5,legacy,140378,2437.50,7972.50,11062.50
0,5,2,5,legacy,138251,2412.50,7922.50,10977.50
0,5,2,5,legacy,138251,2412.50,7922.50,10977.50
0,5,3,5,legacy,139773,2437.50,7967.50,10997.50
0,5,3,5,legacy,139773,2437.50,7967.50,10997.50
1,0,1,5,legacy,140786,2457.50,7952.50,11122.50
1,0,1,5,legacy,140786,2457.50,7952.50,11122.50
1,0,2,5,legacy,136538,2537.50,7977.50,11057.50
1,0,2,5,legacy,136538,2537.50,7977.50,11057.50
1,0,3,5,legacy,133677,2452.50,7947.50,10917.50
1,0,3,5,legacy,133677,2452.50,7947.50,10917.50
1,1,1,5,legacy,142074,2377.50,7932.50,10877.50
1,1,1,5,legacy,142074,2377.50,7932.50,10877.50
1,1,2,5,legacy,136140,2477.50,8027.50,11107.50
1,1,2,5,legacy,136140,2477.50,8027.50,11107.50
1,1,3,5,legacy,136500,2487.50,8012.50,11097.50
1,1,3,5,legacy,136500,2487.50,8012.50,11097.50
1,2,1,5,legacy,140791,2487.50,7937.50,10877.50
1,2,1,5,legacy,140791,2487.50,7937.50,10877.50
1,2,2,5,legacy,140852,2407.50,7912.50,10902.50
1,2,2,5,legacy,140852,2407.50,7912.50,10902.50
1,2,3,5,legacy,136922,2372.50,7917.50,10887.50
1,2,3,5,legacy,136922,2372.50,7917.50,10887.50
1,3,1,5,legacy,140566,2447.50,7982.50,11032.50
