CWds,QSRC,PSRC,nPedca,delay_type,P50_us,P95_us,P99_us
0,0,1,5,all,1522.50,12582.50,20007.50
0,0,2,5,all,1452.50,12792.50,20742.50
0,0,3,5,all,1467.50,12752.50,20677.50
0,1,1,5,all,1557.50,12662.50,20742.50
0,1,2,5,all,1502.50,12122.50,19817.50
0,1,3,5,all,1557.50,12842.50,20657.50
0,2,1,5,all,1602.50,12797.50,20692.50
0,2,2,5,all,1552.50,12282.50,20192.50
0,2,3,5,all,1472.50,11782.50,19497.50
0,3,1,5,all,1622.50,12622.50,20482.50
0,3,2,5,all,1577.50,12277.50,20202.50
0,3,3,5,all,1522.50,11917.50,19872.50
0,4,1,5,all,1557.50,12212.50,19727.50
0,4,2,5,all,1532.50,12122.50,19867.50
0,4,3,5,all,1552.50,12317.50,20047.50
0,5,1,5,all,1597.50,12467.50,19922.50
0,5,2,5,all,1637.50,13137.50,20852.50
0,5,3,5,all,1587.50,12787.50,20722.50
1,0,1,5,all,1522.50,12582.50,20007.50
1,0,2,5,all,1457.50,12392.50,19997.50
1,0,3,5,all,1467.50,12612.50,20377.50
1,1,1,5,all,1562.50,12692.50,20457.50
1,1,2,5,all,1547.50,12517.50,20407.50
1,1,3,5,all,1542.50,12707.50,20682.50
1,2,1,5,all,1537.50,12047.50,19692.50
1,2,2,5,all,1587.50,12782.50,21017.50
1,2,3,5,all,1617.50,12962.50,21147.50
1,3,1,5,all,1582.50,12097.50,19762.50
1,3,2,5,all,1557.50,12302.50,20367.50
1,3,3,5,all,1557.50,12397.50,20407.50
1,4,1,5,all,1617.50,12622.50,20537.50
1,4,2,5,all,1592.50,12932.50,20887.50
1,4,3,5,all,1542.50,12132.50,19732.50
1,5,1,5,all,1627.50,12987.50,20942.50
1,5,2,5,all,1672.50,13452.50,21427.50
1,5,3,5,all,1582.50,12432.50,20147.50
0,0,1,15,all,1327.50,11442.50,19177.50
0,0,2,15,all,1307.50,12227.50,20197.50
0,0,3,15,all,1282.50,12237.50,20502.50
0,1,1,15,all,1447.50,12042.50,20517.50
0,1,2,15,all,1357.50,11837.50,20597.50
0,1,3,15,all,1347.50,11942.50,20877.50
0,2,1,15,all,1492.50,11717.50,20922.50
0,2,2,15,all,1597.50,13412.50,23287.50
0,2,3,15,all,1452.50,12062.50,21692.50
0,3,1,15,all,1537.50,11857.50,20687.50
0,3,2,15,all,1592.50,12822.50,22752.50
0,3,3,15,all,1522.50,12222.50,22342.50
0,4,1,15,all,1677.50,13117.50,21882.50
0,4,2,15,all,1622.50,13212.50,22957.50
0,4,3,15,all,1657.50,13587.50,23972.50
0,5,1,15,all,1647.50,13292.50,21637.50
0,5,2,15,all,1597.50,13387.50,22712.50
0,5,3,15,all,1572.50,12692.50,21887.50
1,0,1,15,all,1327.50,11442.50,19177.50
1,0,2,15,all,1287.50,11907.50,19997.50
1,0,3,15,all,1257.50,11767.50,19852.50
1,1,1,15,all,1552.50,13072.50,21797.50
1,1,2,15,all,1397.50,12217.50,21287.50
1,1,3,15,all,1357.50,11802.50,21042.50
1,2,1,15,all,1542.50,12222.50,21177.50
1,2,2,15,all,1497.50,12202.50,22282.50
1,2,3,15,all,1442.50,11917.50,22122.50
1,3,1,15,all,1612.50,12457.50,21372.50
1,3,2,15,all,1632.50,12982.50,22822.50
1,3,3,15,all,1512.50,11892.50,21387.50
1,4,1,15,all,1672.50,12997.50,21727.50
1,4,2,15,all,1657.50,13512.50,23337.50
1,4,3,15,all,1682.50,13782.50,24107.50
1,5,1,15,all,1612.50,13042.50,21482.50
1,5,2,15,all,1612.50,13072.50,21987.50
1,5,3,15,all,1567.50,12932.50,22292.50
0,0,1,30,all,1222.50,11437.50,19602.50
0,0,2,30,all,922.50,9192.50,18812.50
0,0,3,30,all,712.50,3127.50,9917.50
0,1,1,30,all,1357.50,13107.50,23562.50
0,1,2,30,all,1052.50,11712.50,26067.50
0,1,3,30,all,677.50,3607.50,13072.50
0,2,1,30,all,1502.50,12732.50,25227.50
0,2,2,30,all,1277.50,10877.50,27817.50
0,2,3,30,all,1207.50,11032.50,31747.50
0,3,1,30,all,1617.50,12647.50,25307.50
0,3,2,30,all,1482.50,12522.50,28817.50
0,3,3,30,all,1422.50,12122.50,31062.50
0,4,1,30,all,1672.50,13077.50,24172.50
0,4,2,30,all,1612.50,13527.50,28577.50
0,4,3,30,all,1567.50,13872.50,31407.50
0,5,1,30,all,1617.50,12937.50,22492.50
0,5,2,30,all,1592.50,13607.50,26097.50
0,5,3,30,all,1547.50,13322.50,26477.50
1,0,1,30,all,1222.50,11437.50,19602.50
1,0,2,30,all,912.50,8857.50,18297.50
