mode,param_kind,combo,nPedca,P95_us,P95_vs_default_pct,P95_vs_edcaonly_pct,P99_us,P99_vs_default_pct,P99_vs_edcaonly_pct,pedca_loss_pct
mono-DS,default,c0_q02_s01,5,9737.5,0.00,-3.99,13597.5,0.00,-1.09,11.26
mono-DS,default,c0_q02_s01,15,10092.5,0.00,-0.49,13792.5,0.00,0.33,13.66
mono-DS,default,c0_q02_s01,30,9957.5,0.00,-1.82,13612.5,0.00,-0.98,13.57
mono-DS,best,c0_q02_s02,5,9432.5,-3.13,-7.00,13312.5,-2.10,-3.16,8.97
mono-DS,best,c0_q04_s01,15,9977.5,-1.14,-1.63,13562.5,-1.67,-1.35,11.80
mono-DS,best,c0_q01_s03,30,10017.5,0.60,-1.23,13432.5,-1.32,-2.29,16.83
dual-DS,default,c0_q02_s01,5,6642.5,0.00,-34.51,11667.5,0.00,-15.13,5.56
dual-DS,default,c0_q02_s01,15,8677.5,0.00,-14.44,13677.5,0.00,-0.51,9.85
dual-DS,default,c0_q02_s01,30,10557.5,0.00,4.09,15382.5,0.00,11.89,15.51
dual-DS,best,c0_q02_s03,5,5667.5,-14.68,-44.12,7632.5,-34.58,-44.48,1.47
dual-DS,best,c0_q03_s03,15,8702.5,0.29,-14.20,11997.5,-12.28,-12.73,4.61
dual-DS,best,c0_q04_s01,30,10587.5,0.28,4.39,14407.5,-6.34,4.80,9.94
