rank,CWds,QSRC,PSRC,pedca_ontime_10ms_pct,pedca_P50_us,pedca_P95_us,pedca_P99_us,pedca_loss_pct,legacy_loss_pct,legacy_P99_us
1,0,2,3,90.42,2197.5,7677.5,12139.2,7.32,19.24,16035.0
2,0,3,3,91.77,2444.2,8812.5,12240.8,5.54,18.97,15695.0
3,0,3,2,90.42,2305.8,8742.5,12502.5,6.90,16.56,15295.0
4,0,2,2,88.65,2134.2,7955.8,12874.2,8.67,18.23,15600.0
5,0,1,3,88.22,1722.5,7369.2,12880.8,8.96,21.55,16280.0
6,0,4,2,90.26,2462.5,9929.2,13037.5,5.05,16.70,15225.0
7,0,4,3,90.52,2607.5,10137.5,13100.8,4.25,17.50,15505.0
8,0,3,1,88.11,2175.8,8919.2,13117.5,8.83,16.48,14967.5
9,0,4,1,88.33,2247.5,9789.2,13132.5,7.44,16.60,14930.0
10,0,0,3,88.13,1445.8,7612.5,13450.8,8.66,19.36,16577.5
11,0,2,1,86.43,2017.5,8625.8,13575.8,10.31,16.31,15100.0
12,0,1,2,86.74,1677.5,7820.8,13630.8,10.03,19.77,16010.0
13,0,1,1,85.20,1582.5,8997.5,13890.8,11.10,16.67,15292.5
14,0,5,1,86.58,2330.8,10815.8,14039.2,6.96,15.32,14762.5
15,0,0,2,87.60,1407.5,8125.8,14082.5,8.80,19.14,16440.0
16,0,5,2,87.39,2597.5,11335.8,14419.2,4.56,16.40,15065.0
17,1,0,3,91.12,1329.2,8062.5,14564.2,5.12,17.09,16600.0
18,0,5,3,87.65,2764.2,11635.8,14727.5,3.29,17.27,15322.5
19,0,0,1,85.09,1404.2,9675.8,14802.5,10.52,17.02,15752.5
20,1,0,1,85.09,1404.2,9675.8,14802.5,10.52,17.02,15752.5
21,1,0,2,89.01,1364.2,8677.5,14877.5,6.99,16.61,16272.5
22,1,1,1,86.84,1584.2,10044.2,15105.8,8.44,13.58,15022.5
23,1,2,1,86.40,1915.8,10335.8,15879.2,8.57,14.45,14847.5
24,1,1,2,88.81,1577.5,9952.5,15945.8,6.38,14.43,15402.5
25,1,3,1,87.18,2052.5,10512.5,16282.5,7.53,15.43,14830.0
26,1,1,3,90.27,1555.8,9939.2,16700.8,4.78,14.41,15585.0
27,1,4,1,86.73,2125.8,10962.5,16750.8,7.09,13.90,14540.0
28,1,2,2,89.14,1897.5,10475.8,17177.5,5.51,14.69,15235.0
29,1,5,1,85.81,2197.5,11717.5,17409.2,6.37,14.67,14670.0
30,1,3,2,89.25,2089.2,11030.8,18374.2,4.67,15.46,15067.5
31,1,2,3,90.11,1919.2,10924.2,18829.2,4.02,15.83,15495.0
32,1,4,2,88.06,2210.8,11742.5,19125.8,4.40,14.33,14885.0
33,1,3,3,90.26,2092.5,11407.5,19529.2,3.18,14.57,15172.5
34,1,5,2,86.64,2305.8,12705.8,19985.8,3.62,14.22,14740.0
35,1,4,3,88.95,2217.5,12260.8,20784.2,2.65,15.12,15095.0
36,1,5,3,87.10,2347.5,13360.8,21884.2,2.23,14.36,14885.0
