bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,3.091429e-05,0.00015457145,6
215.0,220.0,217.5,0.00011850478,0.00059252389,23
220.0,225.0,222.5,0.0001133524,0.00056676199,22
225.0,230.0,227.5,0.00013911431,0.00069557153,27
230.0,235.0,232.5,0.00019063812,0.00095319061,37
235.0,240.0,237.5,0.00012880954,0.00064404771,25
240.0,245.0,242.5,0.00013396192,0.00066980962,26
245.0,250.0,247.5,8.7590489e-05,0.00043795244,17
250.0,255.0,252.5,0.00012365716,0.0006182858,24
255.0,260.0,257.5,0.00010304763,0.00051523817,20
260.0,265.0,262.5,0.00012365716,0.0006182858,24
265.0,270.0,267.5,0.00011850478,0.00059252389,23
270.0,275.0,272.5,0.00012365716,0.0006182858,24
275.0,280.0,277.5,0.00014941907,0.00074709534,29
280.0,285.0,282.5,0.00015457145,0.00077285725,30
285.0,290.0,287.5,0.00014426669,0.00072133344,28
290.0,295.0,292.5,0.00012365716,0.0006182858,24
295.0,300.0,297.5,0.00015457145,0.00077285725,30
300.0,305.0,302.5,0.00012880954,0.00064404771,25
305.0,310.0,307.5,0.00012880954,0.00064404771,25
310.0,315.0,312.5,0.00016487621,0.00082438107,32
315.0,320.0,317.5,0.00010820002,0.00054100008,21
320.0,325.0,322.5,0.00039673339,0.001983667,77
325.0,330.0,327.5,9.274287e-05,0.00046371435,18
330.0,335.0,332.5,9.274287e-05,0.00046371435,18
335.0,340.0,337.5,0.00016487621,0.00082438107,32
340.0,345.0,342.5,0.00017518098,0.00087590489,34
345.0,350.0,347.5,0.00010820002,0.00054100008,21
350.0,355.0,352.5,0.00017518098,0.00087590489,34
355.0,360.0,357.5,0.00012365716,0.0006182858,24
360.0,365.0,362.5,0.00013396192,0.00066980962,26
365.0,370.0,367.5,0.0001957905,0.00097895252,38
370.0,375.0,372.5,0.00013911431,0.00069557153,27
375.0,380.0,377.5,0.00014941907,0.00074709534,29
380.0,385.0,382.5,0.00013911431,0.00069557153,27
385.0,390.0,387.5,0.00013911431,0.00069557153,27
390.0,395.0,392.5,9.274287e-05,0.00046371435,18
395.0,400.0,397.5,0.00015972383,0.00079861916,31
400.0,405.0,402.5,0.00018548574,0.0009274287,36
405.0,410.0,407.5,0.00012880954,0.00064404771,25
410.0,415.0,412.5,0.00018033336,0.0009016668,35
415.0,420.0,417.5,0.00011850478,0.00059252389,23
420.0,425.0,422.5,9.274287e-05,0.00046371435,18
425.0,430.0,427.5,0.00012880954,0.00064404771,25
430.0,435.0,432.5,0.0001133524,0.00056676199,22
435.0,440.0,437.5,0.00015972383,0.00079861916,31
440.0,445.0,442.5,0.00014426669,0.00072133344,28
445.0,450.0,447.5,0.00015457145,0.00077285725,30
450.0,455.0,452.5,0.02284566,0.1142283,4434
455.0,460.0,457.5,0.00010304763,0.00051523817,20
460.0,465.0,462.5,0.00033490481,0.001674524,65
465.0,470.0,467.5,0.00041734292,0.0020867146,81
470.0,475.0,472.5,0.000674962,0.00337481,131
475.0,480.0,477.5,0.00075740011,0.0037870005,147
480.0,485.0,482.5,0.00083983822,0.0041991911,163
485.0,490.0,487.5,0.00081922869,0.0040961434,159
490.0,495.0,492.5,0.00093258109,0.0046629054,181
495.0,500.0,497.5,0.00097895252,0.0048947626,190
500.0,505.0,502.5,0.0010871525,0.0054357627,211
505.0,510.0,507.5,0.0010098668,0.0050493341,196
510.0,515.0,512.5,0.0012262668,0.0061313342,238
515.0,520.0,517.5,0.0010304763,0.0051523817,200
520.0,525.0,522.5,0.00094288585,0.0047144292,183
525.0,530.0,527.5,0.0010716954,0.005358477,208
530.0,535.0,532.5,0.0010871525,0.0054357627,211
535.0,540.0,537.5,0.0010150192,0.005075096,197
540.0,545.0,542.5,0.00088105727,0.0044052863,171
545.0,550.0,547.5,0.00078316202,0.0039158101,152
550.0,555.0,552.5,0.00070587629,0.0035293815,137
555.0,560.0,557.5,0.00069557153,0.0034778576,135
560.0,565.0,562.5,0.0034263338,0.017131669,665
565.0,570.0,567.5,0.00057706675,0.0028853337,112
570.0,575.0,572.5,0.00049462864,0.0024731432,96
575.0,580.0,577.5,0.00049462864,0.0024731432,96
580.0,585.0,582.5,0.0005358477,0.0026792385,104
585.0,590.0,587.5,0.00047401912,0.0023700956,92
590.0,595.0,592.5,0.00049978102,0.0024989051,97
595.0,600.0,597.5,0.00043795244,0.0021897622,85
600.0,605.0,602.5,0.00046371435,0.0023185718,90
605.0,610.0,607.5,0.00047401912,0.0023700956,92
610.0,615.0,612.5,0.0004224953,0.0021124765,82
615.0,620.0,617.5,0.00052039055,0.0026019528,101
620.0,625.0,622.5,0.00041219054,0.0020609527,80
625.0,630.0,627.5,0.0004224953,0.0021124765,82
630.0,635.0,632.5,0.00040188577,0.0020094289,78
635.0,640.0,637.5,0.00038642863,0.0019321431,75
640.0,645.0,642.5,0.00044825721,0.002241286,87
645.0,650.0,647.5,0.00048947626,0.0024473813,95
650.0,655.0,652.5,0.00041219054,0.0020609527,80
655.0,660.0,657.5,0.00044825721,0.002241286,87
660.0,665.0,662.5,0.00043795244,0.0021897622,85
665.0,670.0,667.5,0.00071102867,0.0035551434,138
670.0,675.0,672.5,0.00081407631,0.0040703815,158
675.0,680.0,677.5,0.00048947626,0.0024473813,95
680.0,685.0,682.5,0.00042764768,0.0021382384,83
685.0,690.0,687.5,0.00049978102,0.0024989051,97
690.0,695.0,692.5,0.00035551434,0.0017775717,69
695.0,700.0,697.5,0.00042764768,0.0021382384,83
700.0,705.0,702.5,0.0004224953,0.0021124765,82
705.0,710.0,707.5,0.00038642863,0.0019321431,75
710.0,715.0,712.5,0.00044310483,0.0022155241,86
715.0,720.0,717.5,0.00051008579,0.0025504289,99
720.0,725.0,722.5,0.0004224953,0.0021124765,82
725.0,730.0,727.5,0.00047401912,0.0023700956,92
730.0,735.0,732.5,0.00037097148,0.0018548574,72
735.0,740.0,737.5,0.00048432388,0.0024216194,94
740.0,745.0,742.5,0.00052554293,0.0026277147,102
745.0,750.0,747.5,0.00040188577,0.0020094289,78
750.0,755.0,752.5,0.00043280006,0.0021640003,84
755.0,760.0,757.5,0.00046371435,0.0023185718,90
760.0,765.0,762.5,0.00046371435,0.0023185718,90
765.0,770.0,767.5,0.00038642863,0.0019321431,75
770.0,775.0,772.5,0.00043795244,0.0021897622,85
