bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,2.370056e-05,0.0001185028,21
215.0,220.0,217.5,0.00011285981,0.00056429906,100
220.0,225.0,222.5,0.00010383103,0.00051915513,92
225.0,230.0,227.5,0.0001185028,0.00059251401,105
230.0,235.0,232.5,0.00010270243,0.00051351214,91
235.0,240.0,237.5,0.00013656037,0.00068280186,121
240.0,245.0,242.5,0.00010608822,0.00053044111,94
245.0,250.0,247.5,0.00012301719,0.00061508597,109
250.0,255.0,252.5,0.0001185028,0.00059251401,105
255.0,260.0,257.5,0.0001185028,0.00059251401,105
260.0,265.0,262.5,0.0001196314,0.000598157,106
265.0,270.0,267.5,0.0001196314,0.000598157,106
270.0,275.0,272.5,0.00011173121,0.00055865607,99
275.0,280.0,277.5,0.00011398841,0.00056994205,101
280.0,285.0,282.5,0.00012414579,0.00062072896,110
285.0,290.0,287.5,0.0001196314,0.000598157,106
290.0,295.0,292.5,0.00010044523,0.00050222616,89
295.0,300.0,297.5,0.00011511701,0.00057558504,102
300.0,305.0,302.5,0.00010383103,0.00051915513,92
305.0,310.0,307.5,0.00010834542,0.00054172709,96
310.0,315.0,312.5,0.0001218886,0.00060944298,108
315.0,320.0,317.5,0.00010044523,0.00050222616,89
320.0,325.0,322.5,0.00051915513,0.0025957757,460
325.0,330.0,327.5,0.00011060261,0.00055301307,98
330.0,335.0,332.5,0.00011624561,0.00058122803,103
335.0,340.0,337.5,0.00013543177,0.00067715887,120
340.0,345.0,342.5,0.00065007251,0.0032503626,576
345.0,350.0,347.5,0.00088594952,0.0044297476,785
350.0,355.0,352.5,0.00061734317,0.0030867158,547
355.0,360.0,357.5,0.00062750055,0.0031375028,556
360.0,365.0,362.5,0.00062524335,0.0031262168,554
365.0,370.0,367.5,0.00059251401,0.00296257,525
370.0,375.0,372.5,0.00058912821,0.0029456411,522
375.0,380.0,377.5,0.00032277906,0.0016138953,286
380.0,385.0,382.5,0.00025957757,0.0012978878,230
385.0,390.0,387.5,0.00026183476,0.0013091738,232
390.0,395.0,392.5,0.00025506317,0.0012753159,226
395.0,400.0,397.5,0.00031036448,0.0015518224,275
400.0,405.0,402.5,0.00026747775,0.0013373888,237
405.0,410.0,407.5,0.00028327813,0.0014163906,251
410.0,415.0,412.5,0.00027650654,0.0013825327,245
415.0,420.0,417.5,0.00025732037,0.0012866018,228
420.0,425.0,422.5,0.00030697869,0.0015348934,272
425.0,430.0,427.5,0.00035212261,0.0017606131,312
430.0,435.0,432.5,0.00026747775,0.0013373888,237
435.0,440.0,437.5,0.00024152,0.0012076,214
440.0,445.0,442.5,0.00020089046,0.0010044523,178
445.0,450.0,447.5,0.00021556224,0.0010778112,191
450.0,455.0,452.5,0.014582616,0.072913081,12921
455.0,460.0,457.5,0.00021781944,0.0010890972,193
460.0,465.0,462.5,0.00023361981,0.001168099,207
