CWds,QSRC,PSRC,nPedca,delay_type,samples,P50_us,P95_us,P99_us
0,0,1,5,legacy,141453,1697.50,10007.50,14117.50
0,0,1,5,legacy,141453,1697.50,10007.50,14117.50
0,0,2,5,legacy,134939,1807.50,10482.50,14612.50
0,0,2,5,legacy,134939,1807.50,10482.50,14612.50
0,0,3,5,legacy,132510,1807.50,10632.50,14792.50
0,0,3,5,legacy,132510,1807.50,10632.50,14792.50
0,1,1,5,legacy,143126,1717.50,10092.50,14027.50
0,1,1,5,legacy,143126,1717.50,10092.50,14027.50
0,1,2,5,legacy,138580,1782.50,10332.50,14277.50
0,1,2,5,legacy,138580,1782.50,10332.50,14277.50
0,1,3,5,legacy,137449,1742.50,10307.50,14337.50
0,1,3,5,legacy,137449,1742.50,10307.50,14337.50
0,2,1,5,legacy,143115,1632.50,9777.50,13722.50
0,2,1,5,legacy,143115,1632.50,9777.50,13722.50
0,2,2,5,legacy,139482,1652.50,9882.50,13942.50
0,2,2,5,legacy,139482,1652.50,9882.50,13942.50
0,2,3,5,legacy,137257,1697.50,10137.50,14212.50
0,2,3,5,legacy,137257,1697.50,10137.50,14212.50
0,3,1,5,legacy,142569,1692.50,9937.50,13792.50
0,3,1,5,legacy,142569,1692.50,9937.50,13792.50
0,3,2,5,legacy,143303,1637.50,9767.50,13687.50
0,3,2,5,legacy,143303,1637.50,9767.50,13687.50
0,3,3,5,legacy,140190,1647.50,9957.50,13852.50
0,3,3,5,legacy,140190,1647.50,9957.50,13852.50
0,4,1,5,legacy,145996,1582.50,9592.50,13517.50
0,4,1,5,legacy,145996,1582.50,9592.50,13517.50
0,4,2,5,legacy,145268,1617.50,9767.50,13772.50
0,4,2,5,legacy,145268,1617.50,9767.50,13772.50
0,4,3,5,legacy,145305,1607.50,9682.50,13677.50
0,4,3,5,legacy,145305,1607.50,9682.50,13677.50
0,5,1,5,legacy,147721,1582.50,9497.50,13402.50
0,5,1,5,legacy,147721,1582.50,9497.50,13402.50
0,5,2,5,legacy,145845,1577.50,9482.50,13512.50
0,5,2,5,legacy,145845,1577.50,9482.50,13512.50
0,5,3,5,legacy,146375,1587.50,9582.50,13542.50
0,5,3,5,legacy,146375,1587.50,9582.50,13542.50
1,0,1,5,legacy,141453,1697.50,10007.50,14117.50
1,0,1,5,legacy,141453,1697.50,10007.50,14117.50
1,0,2,5,legacy,138409,1822.50,10487.50,14577.50
1,0,2,5,legacy,138409,1822.50,10487.50,14577.50
1,0,3,5,legacy,135125,1792.50,10452.50,14707.50
1,0,3,5,legacy,135125,1792.50,10452.50,14707.50
1,1,1,5,legacy,144783,1642.50,9792.50,13837.50
