bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,2.6832424e-05,0.00013416212,0
215.0,220.0,217.5,0.00013257562,0.0006628781,0
220.0,225.0,222.5,0.00010450806,0.0005225403,0
225.0,230.0,227.5,0.00010142008,0.0005071004,0
230.0,235.0,232.5,0.0001525808,0.000762904,0
235.0,240.0,237.5,0.0001258042,0.000629021,0
240.0,245.0,242.5,0.00012226184,0.0006113092,0
245.0,250.0,247.5,0.00012799964,0.0006399982,0
250.0,255.0,252.5,0.00012017266,0.0006008633,0
255.0,260.0,257.5,0.00012368752,0.0006184376,0
260.0,265.0,262.5,0.00012579088,0.0006289544,0
265.0,270.0,267.5,0.00011009294,0.0005504647,0
270.0,275.0,272.5,0.000116949,0.000584745,0
275.0,280.0,277.5,0.00014033072,0.0007016536,0
280.0,285.0,282.5,0.00011579588,0.0005789794,0
285.0,290.0,287.5,0.00013475254,0.0006737627,0
290.0,295.0,292.5,0.00011030948,0.0005515474,0
295.0,300.0,297.5,0.00013476036,0.0006738018,0
300.0,305.0,302.5,0.00011689014,0.0005844507,0
305.0,310.0,307.5,0.00011795988,0.0005897994,0
310.0,315.0,312.5,0.00014150408,0.0007075204,0
315.0,320.0,317.5,0.00011477102,0.0005738551,0
320.0,325.0,322.5,0.000543304,0.00271652,0
325.0,330.0,327.5,0.00010132252,0.0005066126,0
330.0,335.0,332.5,0.0001213872,0.000606936,0
335.0,340.0,337.5,0.00011024718,0.0005512359,0
340.0,345.0,342.5,0.0010427616,0.005213808,0
345.0,350.0,347.5,0.001721104,0.00860552,0
350.0,355.0,352.5,0.0009649454,0.004824727,0
355.0,360.0,357.5,0.0008026654,0.004013327,0
360.0,365.0,362.5,0.0008061552,0.004030776,0
365.0,370.0,367.5,0.0007893758,0.003946879,0
370.0,375.0,372.5,0.000736088,0.00368044,0
375.0,380.0,377.5,0.0004211554,0.002105777,0
380.0,385.0,382.5,0.00027725214,0.0013862607,0
385.0,390.0,387.5,0.0003006652,0.001503326,0
390.0,395.0,392.5,0.0003666112,0.001833056,0
395.0,400.0,397.5,0.0003831302,0.001915651,0
400.0,405.0,402.5,0.0003385348,0.001692674,0
405.0,410.0,407.5,0.0003566246,0.001783123,0
410.0,415.0,412.5,0.0003854014,0.001927007,0
415.0,420.0,417.5,0.0003555534,0.001777767,0
420.0,425.0,422.5,0.0003852552,0.001926276,0
425.0,430.0,427.5,0.0003985712,0.001992856,0
430.0,435.0,432.5,0.0003039598,0.001519799,0
435.0,440.0,437.5,0.0002938988,0.001469494,0
440.0,445.0,442.5,0.0002809271,0.0014046355,0
445.0,450.0,447.5,0.00023250604,0.0011625302,0
450.0,455.0,452.5,0.014941394,0.07470697,0
455.0,460.0,457.5,0.00027613506,0.0013806753,0
460.0,465.0,462.5,0.0002717158,0.001358579,0
465.0,470.0,467.5,0.00032081336,0.0016040668,0
470.0,475.0,472.5,0.00031312408,0.0015656204,0
475.0,480.0,477.5,0.000349932,0.00174966,0
480.0,485.0,482.5,0.00031790268,0.0015895134,0
485.0,490.0,487.5,0.00031187738,0.0015593869,0
490.0,495.0,492.5,0.000332958,0.00166479,0
495.0,500.0,497.5,0.000367935,0.001839675,0
500.0,505.0,502.5,0.0003455232,0.001727616,0
505.0,510.0,507.5,0.0003507178,0.001753589,0
510.0,515.0,512.5,0.0003151466,0.001575733,0
515.0,520.0,517.5,0.0003174514,0.001587257,0
520.0,525.0,522.5,0.0003343048,0.001671524,0
525.0,530.0,527.5,0.0003283446,0.001641723,0
530.0,535.0,532.5,0.00031176974,0.0015588487,0
535.0,540.0,537.5,0.000339928,0.00169964,0
540.0,545.0,542.5,0.0003564264,0.001782132,0
545.0,550.0,547.5,0.00032087654,0.0016043827,0
550.0,555.0,552.5,0.0003167558,0.001583779,0
555.0,560.0,557.5,0.000341604,0.00170802,0
560.0,565.0,562.5,0.002547126,0.01273563,0
565.0,570.0,567.5,0.0003609118,0.001804559,0
570.0,575.0,572.5,0.000346165,0.001730825,0
575.0,580.0,577.5,0.0002838906,0.001419453,0
580.0,585.0,582.5,0.0003898384,0.001949192,0
585.0,590.0,587.5,0.0002817664,0.001408832,0
590.0,595.0,592.5,0.0003588572,0.001794286,0
595.0,600.0,597.5,0.00029639898,0.0014819949,0
600.0,605.0,602.5,0.0003396248,0.001698124,0
605.0,610.0,607.5,0.000348526,0.00174263,0
610.0,615.0,612.5,0.00029098824,0.0014549412,0
615.0,620.0,617.5,0.0003600008,0.001800004,0
620.0,625.0,622.5,0.000533442,0.00266721,0
625.0,630.0,627.5,0.0003075698,0.001537849,0
630.0,635.0,632.5,0.0004747646,0.002373823,0
635.0,640.0,637.5,0.000276185,0.001380925,0
640.0,645.0,642.5,0.0003852524,0.001926262,0
645.0,650.0,647.5,0.00027385326,0.0013692663,0
650.0,655.0,652.5,0.0003196976,0.001598488,0
655.0,660.0,657.5,0.0003153728,0.001576864,0
660.0,665.0,662.5,0.0002955026,0.001477513,0
665.0,670.0,667.5,0.0005811158,0.002905579,0
670.0,675.0,672.5,0.0022301362,0.011150681,0
