rank,CWds,QSRC,PSRC,pedca_ontime_10ms_pct,pedca_P50_us,pedca_P95_us,pedca_P99_us,pedca_loss_pct,legacy_loss_pct,legacy_P99_us
1,0,1,3,90.18,1449.2,8659.2,12675.8,6.84,9.11,13100.0
2,0,3,1,89.77,1527.5,8774.2,12769.2,7.21,7.60,13047.5
3,0,1,1,89.66,1449.2,8882.5,12789.2,7.23,7.57,13132.5
4,0,2,1,89.68,1497.5,8759.2,12847.5,7.22,7.63,13092.5
5,0,2,2,90.04,1544.2,8727.5,12847.5,6.88,7.82,13147.5
6,0,4,1,89.46,1572.5,9075.8,12892.5,7.23,7.63,13132.5
7,0,2,3,90.38,1539.2,8699.2,12902.5,6.54,8.23,13232.5
8,0,1,2,89.43,1480.8,8885.8,12904.2,7.41,8.42,13145.0
9,0,0,1,91.35,1590.8,8870.8,12915.8,5.45,6.11,12910.0
10,1,0,1,91.35,1590.8,8870.8,12915.8,5.45,6.11,12910.0
11,0,4,2,90.05,1557.5,8992.5,12930.8,6.68,7.72,13125.0
12,0,5,1,89.36,1544.2,9244.2,12975.8,7.12,7.94,13157.5
13,0,3,2,89.84,1564.2,8827.5,12979.2,7.01,7.91,13125.0
14,0,3,3,90.78,1542.5,8735.8,13017.5,6.14,8.03,13055.0
15,0,4,3,90.69,1550.8,9070.8,13045.8,5.92,8.11,13202.5
16,0,0,3,90.59,1582.5,8905.8,13080.8,6.14,8.15,13065.0
17,0,0,2,90.23,1615.8,9045.8,13090.8,6.38,7.87,13182.5
18,0,5,2,89.82,1574.2,9324.2,13162.5,6.49,7.71,13085.0
19,0,5,3,89.57,1597.5,9562.5,13434.2,6.39,8.59,13240.0
20,1,1,1,89.81,1447.5,9382.5,13697.5,6.34,7.72,13197.5
21,1,0,2,90.95,1537.5,9272.5,13722.5,5.29,7.21,13147.5
22,1,0,3,92.14,1397.5,9050.8,13765.8,4.31,6.42,13002.5
23,1,1,2,91.45,1337.5,9309.2,13982.5,4.67,5.94,12807.5
24,1,3,1,90.13,1515.8,9394.2,14192.5,5.92,7.49,13087.5
25,1,4,1,89.58,1550.8,9524.2,14242.5,6.40,7.12,13055.0
26,1,2,1,88.92,1559.2,9705.8,14350.8,6.77,7.85,13212.5
27,1,5,1,89.07,1574.2,9790.8,14437.5,6.56,7.81,13185.0
28,1,1,3,91.56,1290.8,9484.2,14667.5,4.29,6.53,12972.5
29,1,2,2,90.12,1477.5,9895.8,15172.5,5.27,7.48,13150.0
30,1,3,2,90.03,1512.5,9995.8,15714.2,5.21,7.25,13147.5
31,1,2,3,90.64,1454.2,10142.5,16110.8,4.40,6.87,13135.0
32,1,4,2,88.89,1574.2,10364.2,16297.5,5.96,8.33,13355.0
33,1,5,2,89.56,1594.2,10435.8,16444.2,5.11,7.67,13267.5
34,1,4,3,90.05,1562.5,10684.2,17469.2,4.36,7.40,13172.5
35,1,3,3,89.32,1537.5,10722.5,17519.2,5.14,8.28,13332.5
36,1,5,3,89.54,1607.5,10930.8,17970.8,4.50,7.81,13290.0
