bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,2.1905805e-05,0.00010952903,19
215.0,220.0,217.5,0.0001118349,0.0005591745,97
220.0,225.0,222.5,0.0001118349,0.0005591745,97
225.0,230.0,227.5,0.00012912896,0.00064564478,112
230.0,235.0,232.5,0.00011298784,0.00056493918,98
235.0,240.0,237.5,0.00010607021,0.00053035107,92
240.0,245.0,242.5,0.00011298784,0.00056493918,98
245.0,250.0,247.5,0.00011414077,0.00057070387,99
250.0,255.0,252.5,0.00012912896,0.00064564478,112
255.0,260.0,257.5,0.00010145847,0.00050729233,88
260.0,265.0,262.5,0.00010837609,0.00054188044,94
265.0,270.0,267.5,0.00012336427,0.00061682135,107
270.0,275.0,272.5,0.00011414077,0.00057070387,99
275.0,280.0,277.5,0.00011990546,0.0005995273,104
280.0,285.0,282.5,0.00011414077,0.00057070387,99
285.0,290.0,287.5,0.00010952903,0.00054764513,95
290.0,295.0,292.5,0.00013143483,0.00065717415,114
295.0,300.0,297.5,0.00010722315,0.00053611575,93
300.0,305.0,302.5,0.00010376434,0.0005188217,90
305.0,310.0,307.5,0.00011298784,0.00056493918,98
310.0,315.0,312.5,0.00013604658,0.00068023289,118
315.0,320.0,317.5,0.00013258777,0.00066293884,115
320.0,325.0,322.5,0.0005407275,0.0027036375,469
325.0,330.0,327.5,0.00011875252,0.00059376261,103
330.0,335.0,332.5,0.00010030553,0.00050152764,87
335.0,340.0,337.5,0.00012336427,0.00061682135,107
340.0,345.0,342.5,0.00090044388,0.0045022194,781
345.0,350.0,347.5,0.0013950539,0.0069752695,1210
350.0,355.0,352.5,0.00087046752,0.0043523376,755
355.0,360.0,357.5,0.0006929152,0.003464576,601
360.0,365.0,362.5,0.00068830345,0.0034415173,597
365.0,370.0,367.5,0.000733268,0.00366634,636
370.0,375.0,372.5,0.00075056206,0.0037528103,651
375.0,380.0,377.5,0.00035625757,0.0017812878,309
380.0,385.0,382.5,0.00026978728,0.0013489364,234
385.0,390.0,387.5,0.00028362253,0.0014181126,246
390.0,395.0,392.5,0.00031244596,0.0015622298,271
395.0,400.0,397.5,0.00032858708,0.0016429354,285
400.0,405.0,402.5,0.00032282239,0.001614112,280
405.0,410.0,407.5,0.00028708134,0.0014354067,249
410.0,415.0,412.5,0.00034011645,0.0017005822,295
415.0,420.0,417.5,0.00031590477,0.0015795238,274
420.0,425.0,422.5,0.00037355162,0.0018677581,324
425.0,430.0,427.5,0.00041736323,0.0020868162,362
430.0,435.0,432.5,0.00026171672,0.0013085836,227
435.0,440.0,437.5,0.00025364616,0.0012682308,220
440.0,445.0,442.5,0.00023404623,0.0011702312,203
445.0,450.0,447.5,0.00024211679,0.001210584,210
450.0,455.0,452.5,0.015467804,0.077339021,13416
455.0,460.0,457.5,0.0002328933,0.0011644665,202
460.0,465.0,462.5,0.00027785784,0.0013892892,241
465.0,470.0,467.5,0.00029054015,0.0014527008,252
470.0,475.0,472.5,0.0002951519,0.0014757595,256
475.0,480.0,477.5,0.00028823428,0.0014411714,250
480.0,485.0,482.5,0.00031244596,0.0015622298,271
485.0,490.0,487.5,0.00029399896,0.0014699948,255
490.0,495.0,492.5,0.00030783421,0.001539171,267
495.0,500.0,497.5,0.00031244596,0.0015622298,271
500.0,505.0,502.5,0.0003170577,0.0015852885,275
505.0,510.0,507.5,0.00032743414,0.0016371707,284
510.0,515.0,512.5,0.0002951519,0.0014757595,256
515.0,520.0,517.5,0.00028131665,0.0014065833,244
520.0,525.0,522.5,0.00034818701,0.001740935,302
525.0,530.0,527.5,0.00033665764,0.0016832882,292
530.0,535.0,532.5,0.00034011645,0.0017005822,295
535.0,540.0,537.5,0.00032512826,0.0016256413,282
540.0,545.0,542.5,0.00031821064,0.0015910532,276
545.0,550.0,547.5,0.00034357526,0.0017178763,298
550.0,555.0,552.5,0.00032282239,0.001614112,280
555.0,560.0,557.5,0.00033896351,0.0016948175,294
560.0,565.0,562.5,0.002675967,0.013379835,2321
565.0,570.0,567.5,0.00033896351,0.0016948175,294
570.0,575.0,572.5,0.00028938721,0.0014469361,251
575.0,580.0,577.5,0.0002640226,0.001320113,229
580.0,585.0,582.5,0.00032051652,0.0016025826,278
585.0,590.0,587.5,0.00026748141,0.001337407,232
590.0,595.0,592.5,0.00034588113,0.0017294057,300
595.0,600.0,597.5,0.00029399896,0.0014699948,255
600.0,605.0,602.5,0.0003262812,0.001631406,283
605.0,610.0,607.5,0.0002640226,0.001320113,229
610.0,615.0,612.5,0.00026748141,0.001337407,232
615.0,620.0,617.5,0.00027785784,0.0013892892,241
620.0,625.0,622.5,0.0005095982,0.002547991,442
625.0,630.0,627.5,0.00024096386,0.0012048193,209
630.0,635.0,632.5,0.00040237505,0.0020118753,349
635.0,640.0,637.5,0.00029054015,0.0014527008,252
640.0,645.0,642.5,0.00036086931,0.0018043466,313
645.0,650.0,647.5,0.00025595204,0.0012797602,222
650.0,655.0,652.5,0.00031244596,0.0015622298,271
655.0,660.0,657.5,0.00026171672,0.0013085836,227
660.0,665.0,662.5,0.00026286966,0.0013143483,228
665.0,670.0,667.5,0.00063872716,0.0031936358,554
670.0,675.0,672.5,0.0022989566,0.011494783,1994
675.0,680.0,677.5,0.00026863435,0.0013431717,233
680.0,685.0,682.5,0.00025134029,0.0012567014,218
685.0,690.0,687.5,0.00026517553,0.0013258777,230
690.0,695.0,692.5,0.00027670491,0.0013835245,240
695.0,700.0,697.5,0.00023635211,0.0011817605,205
700.0,705.0,702.5,0.00027094022,0.0013547011,235
705.0,710.0,707.5,0.00026517553,0.0013258777,230
710.0,715.0,712.5,0.00029745777,0.0014872889,258
715.0,720.0,717.5,0.00031936358,0.0015968179,277
720.0,725.0,722.5,0.00026171672,0.0013085836,227
725.0,730.0,727.5,0.0003977633,0.0019888165,345
730.0,735.0,732.5,0.00032743414,0.0016371707,284
735.0,740.0,737.5,0.00028246959,0.001412348,245
740.0,745.0,742.5,0.00026863435,0.0013431717,233
745.0,750.0,747.5,0.00027439903,0.0013719952,238
750.0,755.0,752.5,0.0002547991,0.0012739955,221
755.0,760.0,757.5,0.00025825791,0.0012912896,224
760.0,765.0,762.5,0.00028362253,0.0014181126,246
765.0,770.0,767.5,0.00024672854,0.0012336427,214
770.0,775.0,772.5,0.00028708134,0.0014354067,249
775.0,780.0,777.5,0.00027094022,0.0013547011,235
780.0,785.0,782.5,0.0011252666,0.0056263331,976
785.0,790.0,787.5,0.00028016372,0.0014008186,243
790.0,795.0,792.5,0.00021675218,0.0010837609,188
795.0,800.0,797.5,0.00022597567,0.0011298784,196
800.0,805.0,802.5,0.00020522281,0.001026114,178
805.0,810.0,807.5,0.00019830518,0.00099152591,172
810.0,815.0,812.5,0.00018446994,0.00092234969,160
