CWds,QSRC,PSRC,nPedca,delay_type,samples,P50_us,P95_us,P99_us
0,0,1,5,legacy,147456,1852.50,10102.50,13787.50
0,0,1,5,legacy,147456,1852.50,10102.50,13787.50
0,0,2,5,legacy,146528,1877.50,10167.50,13782.50
0,0,2,5,legacy,146528,1877.50,10167.50,13782.50
0,0,3,5,legacy,144212,1977.50,10367.50,13857.50
0,0,3,5,legacy,144212,1977.50,10367.50,13857.50
0,1,1,5,legacy,147779,1887.50,10252.50,13877.50
0,1,1,5,legacy,147779,1887.50,10252.50,13877.50
0,1,2,5,legacy,147438,1897.50,10232.50,13872.50
0,1,2,5,legacy,147438,1897.50,10232.50,13872.50
0,1,3,5,legacy,144254,1852.50,10132.50,13722.50
0,1,3,5,legacy,144254,1852.50,10132.50,13722.50
0,2,1,5,legacy,148806,1862.50,10197.50,13757.50
0,2,1,5,legacy,148806,1862.50,10197.50,13757.50
0,2,2,5,legacy,146964,1882.50,10252.50,13897.50
0,2,2,5,legacy,146964,1882.50,10252.50,13897.50
0,2,3,5,legacy,145077,1857.50,10222.50,13857.50
0,2,3,5,legacy,145077,1857.50,10222.50,13857.50
0,3,1,5,legacy,146975,1842.50,10167.50,13897.50
0,3,1,5,legacy,146975,1842.50,10167.50,13897.50
0,3,2,5,legacy,147174,1892.50,10287.50,13872.50
0,3,2,5,legacy,147174,1892.50,10287.50,13872.50
0,3,3,5,legacy,147850,1892.50,10312.50,13897.50
0,3,3,5,legacy,147850,1892.50,10312.50,13897.50
0,4,1,5,legacy,147558,1857.50,10177.50,13832.50
0,4,1,5,legacy,147558,1857.50,10177.50,13832.50
0,4,2,5,legacy,148221,1877.50,10242.50,13917.50
0,4,2,5,legacy,148221,1877.50,10242.50,13917.50
0,4,3,5,legacy,146331,1857.50,10237.50,13862.50
0,4,3,5,legacy,146331,1857.50,10237.50,13862.50
0,5,1,5,legacy,149199,1907.50,10292.50,13907.50
0,5,1,5,legacy,149199,1907.50,10292.50,13907.50
0,5,2,5,legacy,149158,1887.50,10187.50,13922.50
0,5,2,5,legacy,149158,1887.50,10187.50,13922.50
0,5,3,5,legacy,146482,1932.50,10332.50,13952.50
0,5,3,5,legacy,146482,1932.50,10332.50,13952.50
1,0,1,5,legacy,147456,1852.50,10102.50,13787.50
1,0,1,5,legacy,147456,1852.50,10102.50,13787.50
1,0,2,5,legacy,144963,1922.50,10222.50,13782.50
1,0,2,5,legacy,144963,1922.50,10222.50,13782.50
1,0,3,5,legacy,145821,1927.50,10222.50,13842.50
1,0,3,5,legacy,145821,1927.50,10222.50,13842.50
1,1,1,5,legacy,146912,1907.50,10262.50,13907.50
1,1,1,5,legacy,146912,1907.50,10262.50,13907.50
1,1,2,5,legacy,146217,1912.50,10262.50,13797.50
1,1,2,5,legacy,146217,1912.50,10262.50,13797.50
1,1,3,5,legacy,144880,1907.50,10222.50,13797.50
1,1,3,5,legacy,144880,1907.50,10222.50,13797.50
1,2,1,5,legacy,148214,1882.50,10332.50,13927.50
1,2,1,5,legacy,148214,1882.50,10332.50,13927.50
1,2,2,5,legacy,146900,1847.50,10147.50,13832.50
1,2,2,5,legacy,146900,1847.50,10147.50,13832.50
1,2,3,5,legacy,146358,1877.50,10247.50,13907.50
1,2,3,5,legacy,146358,1877.50,10247.50,13907.50
1,3,1,5,legacy,147195,1887.50,10362.50,13952.50
1,3,1,5,legacy,147195,1887.50,10362.50,13952.50
1,3,2,5,legacy,146813,1872.50,10192.50,13732.50
1,3,2,5,legacy,146813,1872.50,10192.50,13732.50
1,3,3,5,legacy,146885,1872.50,10277.50,13907.50
1,3,3,5,legacy,146885,1872.50,10277.50,13907.50
1,4,1,5,legacy,148901,1882.50,10292.50,13932.50
1,4,1,5,legacy,148901,1882.50,10292.50,13932.50
1,4,2,5,legacy,148476,1872.50,10292.50,13967.50
1,4,2,5,legacy,148476,1872.50,10292.50,13967.50
1,4,3,5,legacy,147326,1887.50,10317.50,13932.50
1,4,3,5,legacy,147326,1887.50,10317.50,13932.50
1,5,1,5,legacy,148262,1832.50,10137.50,13787.50
1,5,1,5,legacy,148262,1832.50,10137.50,13787.50
1,5,2,5,legacy,149711,1897.50,10232.50,13877.50
1,5,2,5,legacy,149711,1897.50,10232.50,13877.50
1,5,3,5,legacy,146778,1902.50,10322.50,14032.50
1,5,3,5,legacy,146778,1902.50,10322.50,14032.50
0,0,1,15,legacy,86951,1922.50,10302.50,13892.50
0,0,1,15,legacy,86951,1922.50,10302.50,13892.50
0,0,2,15,legacy,84547,2047.50,10317.50,13832.50
0,0,2,15,legacy,84547,2047.50,10317.50,13832.50
0,0,3,15,legacy,82084,2082.50,10232.50,13767.50
0,0,3,15,legacy,82084,2082.50,10232.50,13767.50
0,1,1,15,legacy,85494,1937.50,10192.50,13767.50
0,1,1,15,legacy,85494,1937.50,10192.50,13767.50
0,1,2,15,legacy,83311,1957.50,10217.50,13667.50
0,1,2,15,legacy,83311,1957.50,10217.50,13667.50
0,1,3,15,legacy,84523,2002.50,10262.50,13762.50
0,1,3,15,legacy,84523,2002.50,10262.50,13762.50
0,2,1,15,legacy,87024,1822.50,10042.50,13647.50
0,2,1,15,legacy,87024,1822.50,10042.50,13647.50
0,2,2,15,legacy,87353,1877.50,10157.50,13677.50
0,2,2,15,legacy,87353,1877.50,10157.50,13677.50
0,2,3,15,legacy,86846,1952.50,10267.50,13772.50
0,2,3,15,legacy,86846,1952.50,10267.50,13772.50
0,3,1,15,legacy,88571,1907.50,10282.50,14022.50
0,3,1,15,legacy,88571,1907.50,10282.50,14022.50
0,3,2,15,legacy,85580,1892.50,10217.50,13782.50
0,3,2,15,legacy,85580,1892.50,10217.50,13782.50
0,3,3,15,legacy,84862,1902.50,10257.50,13827.50
0,3,3,15,legacy,84862,1902.50,10257.50,13827.50
0,4,1,15,legacy,87361,1927.50,10302.50,13877.50
0,4,1,15,legacy,87361,1927.50,10302.50,13877.50
0,4,2,15,legacy,89377,1907.50,10242.50,13892.50
0,4,2,15,legacy,89377,1907.50,10242.50,13892.50
0,4,3,15,legacy,86394,1917.50,10272.50,13932.50
0,4,3,15,legacy,86394,1917.50,10272.50,13932.50
0,5,1,15,legacy,91012,1922.50,10372.50,14047.50
0,5,1,15,legacy,91012,1922.50,10372.50,14047.50
0,5,2,15,legacy,87634,1852.50,10132.50,13817.50
0,5,2,15,legacy,87634,1852.50,10132.50,13817.50
0,5,3,15,legacy,87158,1937.50,10422.50,13937.50
0,5,3,15,legacy,87158,1937.50,10422.50,13937.50
1,0,1,15,legacy,86951,1922.50,10302.50,13892.50
1,0,1,15,legacy,86951,1922.50,10302.50,13892.50
