bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
240.0,245.0,242.5,1.206418e-06,6.03209e-06,0
270.0,275.0,272.5,1.206418e-06,6.03209e-06,0
340.0,345.0,342.5,0.011337266,0.05668633,0
345.0,350.0,347.5,0.018921234,0.09460617,0
350.0,355.0,352.5,0.004790934,0.02395467,0
355.0,360.0,357.5,0.0017085226,0.008542613,0
360.0,365.0,362.5,0.0012253912,0.006126956,0
365.0,370.0,367.5,0.0008483668,0.004241834,0
370.0,375.0,372.5,0.0009304604,0.004652302,0
375.0,380.0,377.5,0.00049056406,0.0024528203,0
380.0,385.0,382.5,0.00028713532,0.0014356766,0
385.0,390.0,387.5,0.0004313026,0.002156513,0
390.0,395.0,392.5,0.00049660814,0.0024830407,0
395.0,400.0,397.5,0.0006032594,0.003016297,0
400.0,405.0,402.5,0.0006822598,0.003411299,0
405.0,410.0,407.5,0.0008123324,0.004061662,0
410.0,415.0,412.5,0.0008045618,0.004022809,0
415.0,420.0,417.5,0.0008842808,0.004421404,0
420.0,425.0,422.5,0.0008688586,0.004344293,0
425.0,430.0,427.5,0.0007567514,0.003783757,0
430.0,435.0,432.5,0.0007938092,0.003969046,0
435.0,440.0,437.5,0.000746697,0.003733485,0
440.0,445.0,442.5,0.0006669749,0.0033348745,0
445.0,450.0,447.5,0.00067364122,0.0033682061,0
450.0,455.0,452.5,0.0006420546,0.003210273,0
455.0,460.0,457.5,0.00064578296,0.0032289148,0
460.0,465.0,462.5,0.00065576346,0.0032788173,0
465.0,470.0,467.5,0.00070255616,0.0035127808,0
470.0,475.0,472.5,0.00070805098,0.0035402549,0
475.0,480.0,477.5,0.0006847414,0.003423707,0
480.0,485.0,482.5,0.0006779072,0.003389536,0
485.0,490.0,487.5,0.0007035788,0.003517894,0
490.0,495.0,492.5,0.0006445696,0.003222848,0
495.0,500.0,497.5,0.0009038326,0.004519163,0
500.0,505.0,502.5,0.0010343954,0.005171977,0
505.0,510.0,507.5,0.0010370602,0.005185301,0
510.0,515.0,512.5,0.0009439308,0.004719654,0
515.0,520.0,517.5,0.0009062132,0.004531066,0
520.0,525.0,522.5,0.0008951578,0.004475789,0
525.0,530.0,527.5,0.0008882496,0.004441248,0
530.0,535.0,532.5,0.000842169,0.004210845,0
535.0,540.0,537.5,0.0009070786,0.004535393,0
540.0,545.0,542.5,0.00087802,0.0043901,0
545.0,550.0,547.5,0.000831006,0.00415503,0
550.0,555.0,552.5,0.0009082182,0.004541091,0
555.0,560.0,557.5,0.0009168052,0.004584026,0
560.0,565.0,562.5,0.0010661852,0.005330926,0
565.0,570.0,567.5,0.0011044832,0.005522416,0
570.0,575.0,572.5,0.0012137935,0.0060689677,0
575.0,580.0,577.5,0.0011182447,0.0055912235,0
580.0,585.0,582.5,0.0010511796,0.005255898,0
585.0,590.0,587.5,0.0010092882,0.005046441,0
590.0,595.0,592.5,0.000974156,0.00487078,0
595.0,600.0,597.5,0.0009978824,0.004989412,0
600.0,605.0,602.5,0.0009269198,0.004634599,0
605.0,610.0,607.5,0.0007748758,0.003874379,0
610.0,615.0,612.5,0.0008410768,0.004205384,0
615.0,620.0,617.5,0.0008527798,0.004263899,0
620.0,625.0,622.5,0.0008566766,0.004283383,0
625.0,630.0,627.5,0.0007868294,0.003934147,0
630.0,635.0,632.5,0.0007371638,0.003685819,0
635.0,640.0,637.5,0.000723363,0.003616815,0
640.0,645.0,642.5,0.000813351,0.004066755,0
645.0,650.0,647.5,0.0008556105,0.0042780525,0
650.0,655.0,652.5,0.0009635166,0.004817583,0
655.0,660.0,657.5,0.00094854042,0.0047427021,0
660.0,665.0,662.5,0.000960154,0.00480077,0
665.0,670.0,667.5,0.00098308,0.0049154,0
670.0,675.0,672.5,0.000834722,0.00417361,0
675.0,680.0,677.5,0.0010040008,0.005020004,0
680.0,685.0,682.5,0.0009783618,0.004891809,0
685.0,690.0,687.5,0.0010006712,0.005003356,0
690.0,695.0,692.5,0.0009498964,0.004749482,0
695.0,700.0,697.5,0.000950435,0.004752175,0
700.0,705.0,702.5,0.0009378696,0.004689348,0
