CWds,QSRC,PSRC,nPedca,delay_type,P50_us,P95_us,P99_us
0,0,1,5,legacy,2672.50,13942.50,19747.50
0,0,1,5,legacy,2672.50,13942.50,19747.50
0,0,2,5,legacy,2687.50,14022.50,20957.50
0,0,2,5,legacy,2687.50,14022.50,20957.50
0,0,3,5,legacy,2567.50,13767.50,19207.50
0,0,3,5,legacy,2567.50,13767.50,19207.50
0,1,1,5,legacy,2702.50,14252.50,21822.50
0,1,1,5,legacy,2702.50,14252.50,21822.50
0,1,2,5,legacy,2597.50,14007.50,21777.50
0,1,2,5,legacy,2597.50,14007.50,21777.50
0,1,3,5,legacy,2527.50,13817.50,19612.50
0,1,3,5,legacy,2527.50,13817.50,19612.50
0,2,1,5,legacy,2727.50,14382.50,22502.50
0,2,1,5,legacy,2727.50,14382.50,22502.50
0,2,2,5,legacy,2712.50,14452.50,22897.50
0,2,2,5,legacy,2712.50,14452.50,22897.50
0,2,3,5,legacy,2702.50,14307.50,22522.50
0,2,3,5,legacy,2702.50,14307.50,22522.50
0,3,1,5,legacy,2632.50,14042.50,21487.50
0,3,1,5,legacy,2632.50,14042.50,21487.50
0,3,2,5,legacy,2687.50,14287.50,22552.50
0,3,2,5,legacy,2687.50,14287.50,22552.50
0,3,3,5,legacy,2682.50,14237.50,22102.50
0,3,3,5,legacy,2682.50,14237.50,22102.50
0,4,1,5,legacy,2687.50,14342.50,22827.50
0,4,1,5,legacy,2687.50,14342.50,22827.50
0,4,2,5,legacy,2707.50,14362.50,22762.50
0,4,2,5,legacy,2707.50,14362.50,22762.50
0,4,3,5,legacy,2697.50,14362.50,22442.50
0,4,3,5,legacy,2697.50,14362.50,22442.50
0,5,1,5,legacy,2707.50,14392.50,22327.50
0,5,1,5,legacy,2707.50,14392.50,22327.50
0,5,2,5,legacy,2717.50,14357.50,22497.50
0,5,2,5,legacy,2717.50,14357.50,22497.50
0,5,3,5,legacy,2692.50,14297.50,22647.50
0,5,3,5,legacy,2692.50,14297.50,22647.50
1,0,1,5,legacy,2672.50,13942.50,19747.50
1,0,1,5,legacy,2672.50,13942.50,19747.50
1,0,2,5,legacy,2657.50,13942.50,19947.50
1,0,2,5,legacy,2657.50,13942.50,19947.50
1,0,3,5,legacy,2512.50,13622.50,18542.50
1,0,3,5,legacy,2512.50,13622.50,18542.50
1,1,1,5,legacy,2662.50,14172.50,21542.50
1,1,1,5,legacy,2662.50,14172.50,21542.50
1,1,2,5,legacy,2697.50,14197.50,21752.50
1,1,2,5,legacy,2697.50,14197.50,21752.50
1,1,3,5,legacy,2602.50,14052.50,21307.50
1,1,3,5,legacy,2602.50,14052.50,21307.50
1,2,1,5,legacy,2712.50,14417.50,23087.50
1,2,1,5,legacy,2712.50,14417.50,23087.50
1,2,2,5,legacy,2737.50,14392.50,22752.50
1,2,2,5,legacy,2737.50,14392.50,22752.50
1,2,3,5,legacy,2732.50,14462.50,23222.50
1,2,3,5,legacy,2732.50,14462.50,23222.50
1,3,1,5,legacy,2697.50,14387.50,22642.50
1,3,1,5,legacy,2697.50,14387.50,22642.50
1,3,2,5,legacy,2752.50,14427.50,22887.50
1,3,2,5,legacy,2752.50,14427.50,22887.50
1,3,3,5,legacy,2702.50,14337.50,22782.50
1,3,3,5,legacy,2702.50,14337.50,22782.50
1,4,1,5,legacy,2692.50,14352.50,22727.50
1,4,1,5,legacy,2692.50,14352.50,22727.50
1,4,2,5,legacy,2697.50,14422.50,23107.50
1,4,2,5,legacy,2697.50,14422.50,23107.50
1,4,3,5,legacy,2712.50,14372.50,23202.50
1,4,3,5,legacy,2712.50,14372.50,23202.50
1,5,1,5,legacy,2702.50,14332.50,22117.50
1,5,1,5,legacy,2702.50,14332.50,22117.50
1,5,2,5,legacy,2702.50,14352.50,22177.50
1,5,2,5,legacy,2702.50,14352.50,22177.50
1,5,3,5,legacy,2677.50,14232.50,22077.50
1,5,3,5,legacy,2677.50,14232.50,22077.50
0,0,1,15,legacy,2257.50,12742.50,15942.50
0,0,1,15,legacy,2257.50,12742.50,15942.50
0,0,2,15,legacy,2062.50,12157.50,15687.50
0,0,2,15,legacy,2062.50,12157.50,15687.50
0,0,3,15,legacy,912.50,7857.50,13262.50
0,0,3,15,legacy,912.50,7857.50,13262.50
0,1,1,15,legacy,2387.50,13492.50,18142.50
0,1,1,15,legacy,2387.50,13492.50,18142.50
0,1,2,15,legacy,2072.50,12972.50,16657.50
0,1,2,15,legacy,2072.50,12972.50,16657.50
0,1,3,15,legacy,972.50,8712.50,13902.50
0,1,3,15,legacy,972.50,8712.50,13902.50
0,2,1,15,legacy,2627.50,14247.50,21837.50
0,2,1,15,legacy,2627.50,14247.50,21837.50
0,2,2,15,legacy,2522.50,14117.50,21252.50
0,2,2,15,legacy,2522.50,14117.50,21252.50
0,2,3,15,legacy,2377.50,13612.50,19427.50
0,2,3,15,legacy,2377.50,13612.50,19427.50
0,3,1,15,legacy,2742.50,14532.50,23782.50
0,3,1,15,legacy,2742.50,14532.50,23782.50
0,3,2,15,legacy,2637.50,14367.50,22757.50
0,3,2,15,legacy,2637.50,14367.50,22757.50
0,3,3,15,legacy,2672.50,14437.50,22857.50
0,3,3,15,legacy,2672.50,14437.50,22857.50
0,4,1,15,legacy,2642.50,14387.50,22727.50
0,4,1,15,legacy,2642.50,14387.50,22727.50
0,4,2,15,legacy,2742.50,14547.50,23842.50
0,4,2,15,legacy,2742.50,14547.50,23842.50
0,4,3,15,legacy,2697.50,14377.50,23592.50
0,4,3,15,legacy,2697.50,14377.50,23592.50
0,5,1,15,legacy,2687.50,14282.50,22267.50
