mode,param_kind,combo,nPedca,P95_us,P95_vs_default_pct,P95_vs_edcaonly_pct,P99_us,P99_vs_default_pct,P99_vs_edcaonly_pct,pedca_loss_pct
mono-DS,default,c0_q02_s01,5,3677.5,0.00,3.08,5852.5,0.00,0.86,0.08
mono-DS,default,c0_q02_s01,15,3637.5,0.00,1.96,5922.5,0.00,2.07,0.06
mono-DS,default,c0_q02_s01,30,3882.5,0.00,8.83,6357.5,0.00,9.56,0.12
mono-DS,best,c0_q01_s03,5,3712.5,0.95,4.06,5352.5,-8.54,-7.76,0.02
mono-DS,best,c0_q02_s03,15,3672.5,0.96,2.94,5617.5,-5.15,-3.19,0.05
mono-DS,best,c1_q05_s01,30,3557.5,-8.37,-0.28,5852.5,-7.94,0.86,0.05
dual-DS,default,c0_q02_s01,5,3627.5,0.00,1.68,5392.5,0.00,-7.07,0.03
dual-DS,default,c0_q02_s01,15,3677.5,0.00,3.08,5462.5,0.00,-5.86,0.03
dual-DS,default,c0_q02_s01,30,4152.5,0.00,16.40,6382.5,0.00,10.00,0.13
dual-DS,best,c0_q00_s03,5,2137.5,-41.08,-40.08,3642.5,-32.45,-37.23,0.00
dual-DS,best,c1_q01_s03,15,3727.5,1.36,4.48,5142.5,-5.86,-11.37,0.04
dual-DS,best,c0_q04_s01,30,3642.5,-12.28,2.10,5897.5,-7.60,1.64,0.04
