rank,CWds,QSRC,PSRC,pedca_ontime_10ms_pct,pedca_P50_us,pedca_P95_us,pedca_P99_us,pedca_loss_pct,legacy_loss_pct,legacy_P99_us
1,0,2,1,99.86,767.5,3819.2,5745.8,0.06,0.16,6250.0
2,1,2,1,99.86,769.2,3832.5,5769.2,0.07,0.17,6275.0
3,0,2,2,99.82,784.2,3927.5,5812.5,0.09,0.18,6257.5
4,1,3,1,99.90,754.2,3730.8,5840.8,0.04,0.16,5900.0
5,0,3,2,99.92,752.5,3745.8,5852.5,0.02,0.14,5970.0
6,1,2,2,99.79,795.8,4010.8,5882.5,0.10,0.17,6375.0
7,0,4,1,99.90,745.8,3634.2,5907.5,0.03,0.13,5822.5
8,1,3,2,99.93,754.2,3769.2,5907.5,0.02,0.16,5957.5
9,0,3,1,99.91,754.2,3754.2,5910.8,0.03,0.14,5975.0
10,0,4,2,99.91,747.5,3702.5,5985.8,0.01,0.14,5805.0
11,0,3,3,99.91,755.8,3794.2,5994.2,0.02,0.14,5962.5
12,1,4,1,99.90,745.8,3644.2,6012.5,0.03,0.13,5787.5
13,1,3,3,99.93,755.8,3835.8,6050.8,0.01,0.16,5950.0
14,1,4,2,99.91,747.5,3660.8,6057.5,0.01,0.14,5765.0
15,0,5,1,99.87,740.8,3645.8,6059.2,0.03,0.13,5800.0
16,0,4,3,99.90,749.2,3719.2,6095.8,0.01,0.13,5807.5
17,1,4,3,99.91,747.5,3684.2,6095.8,0.00,0.14,5780.0
18,1,5,1,99.87,745.8,3660.8,6095.8,0.03,0.12,5825.0
19,0,2,3,99.67,817.5,4124.2,6120.8,0.18,0.18,6387.5
20,1,5,3,99.87,747.5,3662.5,6154.2,0.00,0.13,5807.5
21,1,5,2,99.88,749.2,3664.2,6185.8,0.01,0.12,5815.0
22,0,5,3,99.88,747.5,3667.5,6205.8,0.01,0.12,5777.5
23,0,5,2,99.87,744.2,3669.2,6207.5,0.01,0.13,5787.5
24,1,2,3,99.54,822.5,4292.5,6302.5,0.26,0.18,6335.0
25,0,1,1,99.58,854.2,4140.8,6634.2,0.19,0.20,7060.0
26,1,1,1,99.48,902.5,4262.5,6887.5,0.24,0.23,7107.5
27,0,1,2,98.27,1085.8,5015.8,7419.2,0.88,0.28,7522.5
28,1,1,2,97.89,1162.5,5190.8,7624.2,1.09,0.28,7445.0
29,0,1,3,97.30,1230.8,5364.2,7704.2,1.48,0.31,7762.5
30,1,1,3,97.15,1304.2,5409.2,7774.2,1.61,0.35,7712.5
31,1,0,3,96.84,1439.2,5245.8,8760.8,1.46,1.82,10335.0
32,0,0,3,96.79,1397.5,5295.8,8799.2,1.36,1.71,10182.5
33,1,0,2,96.65,1369.2,5495.8,9077.5,1.44,1.27,9822.5
34,0,0,2,96.84,1330.8,5407.5,9100.8,1.35,1.15,9732.5
35,0,0,1,97.35,1252.5,5525.8,9240.8,1.07,0.51,8620.0
36,1,0,1,97.35,1252.5,5525.8,9240.8,1.07,0.51,8620.0
