bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
215.0,220.0,217.5,7.249266e-06,3.624633e-05,1
440.0,445.0,442.5,7.249266e-06,3.624633e-05,1
450.0,455.0,452.5,4.3495596e-05,0.00021747798,6
460.0,465.0,462.5,0.00097865091,0.0048932546,135
465.0,470.0,467.5,0.0016093371,0.0080466853,222
470.0,475.0,472.5,0.0019500526,0.0097502628,269
475.0,480.0,477.5,0.0019283048,0.0096415238,266
480.0,485.0,482.5,0.0021312842,0.010656421,294
485.0,490.0,487.5,0.0020080467,0.010040233,277
490.0,495.0,492.5,0.0021385335,0.010692667,295
495.0,500.0,497.5,0.0023125159,0.011562579,319
500.0,505.0,502.5,0.0023922578,0.011961289,330
505.0,510.0,507.5,0.0023777593,0.011888796,328
510.0,515.0,512.5,0.0024937475,0.012468738,344
515.0,520.0,517.5,0.0024575012,0.012287506,339
520.0,525.0,522.5,0.0024357534,0.012178767,336
525.0,530.0,527.5,0.0024575012,0.012287506,339
530.0,535.0,532.5,0.0023197651,0.011598826,320
535.0,540.0,537.5,0.0010656421,0.0053282105,147
540.0,545.0,542.5,0.00099314944,0.0049657472,137
545.0,550.0,547.5,0.0010003987,0.0050019935,138
550.0,555.0,552.5,0.00089165972,0.0044582986,123
555.0,560.0,557.5,0.00076117293,0.0038058647,105
560.0,565.0,562.5,0.00078292073,0.0039146036,108
565.0,570.0,567.5,0.00075392367,0.0037696183,104
570.0,575.0,572.5,0.00078292073,0.0039146036,108
575.0,580.0,577.5,0.00094965385,0.0047482692,131
580.0,585.0,582.5,0.00073942513,0.0036971257,102
585.0,590.0,587.5,0.00092790605,0.0046395302,128
590.0,595.0,592.5,0.00096415238,0.0048207619,133
595.0,600.0,597.5,0.001036645,0.0051832252,143
600.0,605.0,602.5,0.0010511436,0.0052557179,145
605.0,610.0,607.5,0.00089165972,0.0044582986,123
610.0,615.0,612.5,0.00092790605,0.0046395302,128
615.0,620.0,617.5,0.00079741926,0.0039870963,110
620.0,625.0,622.5,0.00077567146,0.0038783573,107
625.0,630.0,627.5,0.00097140165,0.0048570082,134
630.0,635.0,632.5,0.0011236362,0.0056181812,155
635.0,640.0,637.5,0.0011091377,0.0055456885,153
640.0,645.0,642.5,0.00099314944,0.0049657472,137
645.0,650.0,647.5,0.0010221465,0.0051107325,141
650.0,655.0,652.5,0.00089890899,0.0044945449,124
655.0,660.0,657.5,0.0010583928,0.0052919642,146
660.0,665.0,662.5,0.0011308855,0.0056544275,156
665.0,670.0,667.5,0.0010728914,0.0053644568,148
670.0,675.0,672.5,0.0010583928,0.0052919642,146
675.0,680.0,677.5,0.0010873899,0.0054369495,150
680.0,685.0,682.5,0.00097140165,0.0048570082,134
685.0,690.0,687.5,0.00083366559,0.004168328,115
690.0,695.0,692.5,0.00076117293,0.0038058647,105
695.0,700.0,697.5,0.00071042807,0.0035521403,98
700.0,705.0,702.5,0.00095690311,0.0047845156,132
705.0,710.0,707.5,0.00081191779,0.004059589,112
710.0,715.0,712.5,0.0007031788,0.003515894,97
715.0,720.0,717.5,0.00088441045,0.0044220523,122
720.0,725.0,722.5,0.00080466853,0.0040233426,111
725.0,730.0,727.5,0.00069592954,0.0034796477,96
730.0,735.0,732.5,0.00076117293,0.0038058647,105
735.0,740.0,737.5,0.00062343688,0.0031171844,86
740.0,745.0,742.5,0.00065243394,0.0032621697,90
745.0,750.0,747.5,0.0007684222,0.003842111,106
750.0,755.0,752.5,0.00076117293,0.0038058647,105
755.0,760.0,757.5,0.00089165972,0.0044582986,123
760.0,765.0,762.5,0.00065243394,0.0032621697,90
765.0,770.0,767.5,0.00081191779,0.004059589,112
770.0,775.0,772.5,0.00084816412,0.0042408206,117
775.0,780.0,777.5,0.00083366559,0.004168328,115
780.0,785.0,782.5,0.0010728914,0.0053644568,148
785.0,790.0,787.5,0.00085541339,0.0042770669,118
790.0,795.0,792.5,0.00081916706,0.0040958353,113
795.0,800.0,797.5,0.00084816412,0.0042408206,117
800.0,805.0,802.5,0.00084816412,0.0042408206,117
805.0,810.0,807.5,0.00081916706,0.0040958353,113
810.0,815.0,812.5,0.00092790605,0.0046395302,128
815.0,820.0,817.5,0.00089165972,0.0044582986,123
820.0,825.0,822.5,0.00098590018,0.0049295009,136
825.0,830.0,827.5,0.00094965385,0.0047482692,131
830.0,835.0,832.5,0.0011018884,0.0055094422,152
835.0,840.0,837.5,0.00097865091,0.0048932546,135
840.0,845.0,842.5,0.00097865091,0.0048932546,135
845.0,850.0,847.5,0.00075392367,0.0037696183,104
850.0,855.0,852.5,0.00094965385,0.0047482692,131
855.0,860.0,857.5,0.00088441045,0.0044220523,122
860.0,865.0,862.5,0.001007648,0.0050382399,139
865.0,870.0,867.5,0.00094240458,0.0047120229,130
870.0,875.0,872.5,0.00089890899,0.0044945449,124
875.0,880.0,877.5,0.00098590018,0.0049295009,136
880.0,885.0,882.5,0.0010003987,0.0050019935,138
885.0,890.0,887.5,0.0011018884,0.0055094422,152
890.0,895.0,892.5,0.001145384,0.0057269201,158
895.0,900.0,897.5,0.0012976186,0.0064880931,179
900.0,905.0,902.5,0.0014643517,0.0073217587,202
905.0,910.0,907.5,0.001362862,0.0068143101,188
910.0,915.0,912.5,0.0016383341,0.0081916706,226
915.0,920.0,917.5,0.0012976186,0.0064880931,179
920.0,925.0,922.5,0.0015513429,0.0077567146,214
925.0,930.0,927.5,0.0012323752,0.0061618761,170
930.0,935.0,932.5,0.0014353547,0.0071767734,198
935.0,940.0,937.5,0.0011381348,0.0056906738,157
940.0,945.0,942.5,0.0010003987,0.0050019935,138
945.0,950.0,947.5,0.0011308855,0.0056544275,156
950.0,955.0,952.5,0.0010511436,0.0052557179,145
955.0,960.0,957.5,0.0010583928,0.0052919642,146
960.0,965.0,962.5,0.00088441045,0.0044220523,122
965.0,970.0,967.5,0.00092790605,0.0046395302,128
