bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
335.0,340.0,337.5,1.2083351e-06,6.0416755e-06,1
340.0,345.0,342.5,0.011163808,0.05581904,9239
345.0,350.0,347.5,0.018712277,0.093561386,15486
350.0,355.0,352.5,0.0048309237,0.024154619,3998
355.0,360.0,357.5,0.0017665859,0.0088329295,1462
360.0,365.0,362.5,0.0012772102,0.006386051,1057
365.0,370.0,367.5,0.00085066791,0.0042533395,704
370.0,375.0,372.5,0.00087000127,0.0043500063,720
375.0,380.0,377.5,0.00048454237,0.0024227119,401
380.0,385.0,382.5,0.00028395875,0.0014197937,235
385.0,390.0,387.5,0.0004785007,0.0023925035,396
390.0,395.0,392.5,0.00054616746,0.0027308373,452
395.0,400.0,397.5,0.00060416755,0.0030208377,500
400.0,405.0,402.5,0.00075520943,0.0037760472,625
405.0,410.0,407.5,0.00086033459,0.0043016729,712
410.0,415.0,412.5,0.0008228762,0.004114381,681
415.0,420.0,417.5,0.00087604294,0.0043802147,725
420.0,425.0,422.5,0.00089054297,0.0044527148,737
425.0,430.0,427.5,0.00082408454,0.0041204227,682
430.0,435.0,432.5,0.00076850112,0.0038425056,636
435.0,440.0,437.5,0.00075279276,0.0037639638,623
440.0,445.0,442.5,0.00064887595,0.0032443797,537
445.0,450.0,447.5,0.00067787599,0.0033893799,561
450.0,455.0,452.5,0.00060295921,0.0030147961,499
455.0,460.0,457.5,0.00061745923,0.0030872962,511
460.0,465.0,462.5,0.00066941764,0.0033470882,554
465.0,470.0,467.5,0.00067304265,0.0033652132,557
470.0,475.0,472.5,0.0006645843,0.0033229215,550
475.0,480.0,477.5,0.000685126,0.00342563,567
480.0,485.0,482.5,0.00066579264,0.0033289632,551
485.0,490.0,487.5,0.00075158443,0.0037579221,622
490.0,495.0,492.5,0.00064525094,0.0032262547,534
495.0,500.0,497.5,0.00089900131,0.0044950066,744
500.0,505.0,502.5,0.0010017098,0.005008549,829
505.0,510.0,507.5,0.0010391682,0.0051958409,860
510.0,515.0,512.5,0.0010186265,0.0050931324,843
515.0,520.0,517.5,0.00087966795,0.0043983397,728
520.0,525.0,522.5,0.00091712634,0.0045856317,759
525.0,530.0,527.5,0.00087604294,0.0043802147,725
530.0,535.0,532.5,0.00083012621,0.0041506311,687
535.0,540.0,537.5,0.00093283469,0.0046641735,772
540.0,545.0,542.5,0.00088329295,0.0044164648,731
545.0,550.0,547.5,0.00084220956,0.0042110478,697
550.0,555.0,552.5,0.00086879293,0.0043439647,719
555.0,560.0,557.5,0.00092437635,0.0046218817,765
560.0,565.0,562.5,0.00099325145,0.0049662572,822
565.0,570.0,567.5,0.0010440015,0.0052200076,864
570.0,575.0,572.5,0.0013726687,0.0068633433,1136
575.0,580.0,577.5,0.0011237516,0.0056187582,930
580.0,585.0,582.5,0.0010041265,0.0050206323,831
585.0,590.0,587.5,0.0010295015,0.0051475075,852
590.0,595.0,592.5,0.0010150015,0.0050750074,840
595.0,600.0,597.5,0.00099687645,0.0049843823,825
600.0,605.0,602.5,0.00096425141,0.004821257,798
605.0,610.0,607.5,0.0007334594,0.003667297,607
