CWds,QSRC,PSRC,nPedca,delay_type,samples,P50_us,P95_us,P99_us
0,0,1,5,legacy,137117,902.50,4292.50,7072.50
0,0,1,5,legacy,137117,902.50,4292.50,7072.50
0,0,2,5,legacy,136542,922.50,4422.50,7227.50
0,0,2,5,legacy,136542,922.50,4422.50,7227.50
0,0,3,5,legacy,136858,927.50,4437.50,7197.50
0,0,3,5,legacy,136858,927.50,4437.50,7197.50
0,1,1,5,legacy,136347,757.50,3932.50,6402.50
0,1,1,5,legacy,136347,757.50,3932.50,6402.50
0,1,2,5,legacy,137392,762.50,4012.50,6512.50
0,1,2,5,legacy,137392,762.50,4012.50,6512.50
0,1,3,5,legacy,137516,757.50,3997.50,6557.50
0,1,3,5,legacy,137516,757.50,3997.50,6557.50
0,2,1,5,legacy,136345,737.50,3717.50,6102.50
0,2,1,5,legacy,136345,737.50,3717.50,6102.50
0,2,2,5,legacy,136750,737.50,3752.50,6122.50
0,2,2,5,legacy,136750,737.50,3752.50,6122.50
0,2,3,5,legacy,136935,737.50,3727.50,6127.50
0,2,3,5,legacy,136935,737.50,3727.50,6127.50
0,3,1,5,legacy,136435,732.50,3592.50,5847.50
0,3,1,5,legacy,136435,732.50,3592.50,5847.50
0,3,2,5,legacy,136717,737.50,3612.50,5852.50
0,3,2,5,legacy,136717,737.50,3612.50,5852.50
0,3,3,5,legacy,136643,732.50,3612.50,5872.50
0,3,3,5,legacy,136643,732.50,3612.50,5872.50
0,4,1,5,legacy,136277,732.50,3562.50,5772.50
0,4,1,5,legacy,136277,732.50,3562.50,5772.50
0,4,2,5,legacy,136192,727.50,3542.50,5822.50
0,4,2,5,legacy,136192,727.50,3542.50,5822.50
0,4,3,5,legacy,136162,727.50,3552.50,5822.50
0,4,3,5,legacy,136162,727.50,3552.50,5822.50
0,5,1,5,legacy,136994,727.50,3507.50,5687.50
0,5,1,5,legacy,136994,727.50,3507.50,5687.50
0,5,2,5,legacy,136795,727.50,3532.50,5762.50
0,5,2,5,legacy,136795,727.50,3532.50,5762.50
0,5,3,5,legacy,136873,727.50,3532.50,5742.50
0,5,3,5,legacy,136873,727.50,3532.50,5742.50
1,0,1,5,legacy,137117,902.50,4292.50,7072.50
1,0,1,5,legacy,137117,902.50,4292.50,7072.50
1,0,2,5,legacy,136780,922.50,4437.50,7207.50
1,0,2,5,legacy,136780,922.50,4437.50,7207.50
1,0,3,5,legacy,136619,917.50,4447.50,7167.50
1,0,3,5,legacy,136619,917.50,4447.50,7167.50
1,1,1,5,legacy,136706,752.50,3857.50,6362.50
1,1,1,5,legacy,136706,752.50,3857.50,6362.50
1,1,2,5,legacy,136365,757.50,3912.50,6397.50
1,1,2,5,legacy,136365,757.50,3912.50,6397.50
1,1,3,5,legacy,136348,757.50,3917.50,6367.50
1,1,3,5,legacy,136348,757.50,3917.50,6367.50
1,2,1,5,legacy,136620,732.50,3662.50,6047.50
1,2,1,5,legacy,136620,732.50,3662.50,6047.50
1,2,2,5,legacy,136474,727.50,3692.50,5962.50
1,2,2,5,legacy,136474,727.50,3692.50,5962.50
1,2,3,5,legacy,136194,732.50,3672.50,5992.50
1,2,3,5,legacy,136194,732.50,3672.50,5992.50
1,3,1,5,legacy,136612,732.50,3592.50,5812.50
1,3,1,5,legacy,136612,732.50,3592.50,5812.50
1,3,2,5,legacy,136686,732.50,3562.50,5802.50
1,3,2,5,legacy,136686,732.50,3562.50,5802.50
1,3,3,5,legacy,136773,732.50,3552.50,5752.50
1,3,3,5,legacy,136773,732.50,3552.50,5752.50
1,4,1,5,legacy,136883,727.50,3542.50,5792.50
1,4,1,5,legacy,136883,727.50,3542.50,5792.50
1,4,2,5,legacy,135818,722.50,3522.50,5812.50
1,4,2,5,legacy,135818,722.50,3522.50,5812.50
1,4,3,5,legacy,135775,722.50,3537.50,5812.50
1,4,3,5,legacy,135775,722.50,3537.50,5812.50
1,5,1,5,legacy,136450,727.50,3512.50,5667.50
1,5,1,5,legacy,136450,727.50,3512.50,5667.50
1,5,2,5,legacy,136529,732.50,3532.50,5687.50
1,5,2,5,legacy,136529,732.50,3532.50,5687.50
1,5,3,5,legacy,136663,732.50,3527.50,5717.50
1,5,3,5,legacy,136663,732.50,3527.50,5717.50
0,0,1,15,legacy,80826,1427.50,6917.50,10222.50
0,0,1,15,legacy,80826,1427.50,6917.50,10222.50
0,0,2,15,legacy,81096,1862.50,8767.50,12182.50
0,0,2,15,legacy,81096,1862.50,8767.50,12182.50
0,0,3,15,legacy,79494,2002.50,9442.50,12922.50
0,0,3,15,legacy,79494,2002.50,9442.50,12922.50
0,1,1,15,legacy,81665,822.50,4897.50,8137.50
0,1,1,15,legacy,81665,822.50,4897.50,8137.50
0,1,2,15,legacy,82386,947.50,5622.50,9067.50
0,1,2,15,legacy,82386,947.50,5622.50,9067.50
0,1,3,15,legacy,82382,962.50,5927.50,9542.50
0,1,3,15,legacy,82382,962.50,5927.50,9542.50
0,2,1,15,legacy,82436,762.50,4117.50,6822.50
0,2,1,15,legacy,82436,762.50,4117.50,6822.50
0,2,2,15,legacy,82363,772.50,4202.50,7167.50
0,2,2,15,legacy,82363,772.50,4202.50,7167.50
0,2,3,15,legacy,82559,772.50,4192.50,6952.50
0,2,3,15,legacy,82559,772.50,4192.50,6952.50
0,3,1,15,legacy,82677,752.50,3772.50,6257.50
0,3,1,15,legacy,82677,752.50,3772.50,6257.50
0,3,2,15,legacy,82643,752.50,3782.50,6212.50
0,3,2,15,legacy,82643,752.50,3782.50,6212.50
0,3,3,15,legacy,82521,757.50,3722.50,6172.50
0,3,3,15,legacy,82521,757.50,3722.50,6172.50
0,4,1,15,legacy,82174,742.50,3607.50,5967.50
0,4,1,15,legacy,82174,742.50,3607.50,5967.50
0,4,2,15,legacy,82752,742.50,3622.50,6012.50
0,4,2,15,legacy,82752,742.50,3622.50,6012.50
0,4,3,15,legacy,82432,747.50,3707.50,6042.50
0,4,3,15,legacy,82432,747.50,3707.50,6042.50
0,5,1,15,legacy,82256,742.50,3627.50,5867.50
0,5,1,15,legacy,82256,742.50,3627.50,5867.50
0,5,2,15,legacy,82083,737.50,3587.50,5877.50
0,5,2,15,legacy,82083,737.50,3587.50,5877.50
0,5,3,15,legacy,82314,737.50,3572.50,5947.50
0,5,3,15,legacy,82314,737.50,3572.50,5947.50
1,0,1,15,legacy,80826,1427.50,6917.50,10222.50
1,0,1,15,legacy,80826,1427.50,6917.50,10222.50
1,0,2,15,legacy,80896,1797.50,8627.50,12182.50
