rank,CWds,QSRC,PSRC,pedca_ontime_10ms_pct,pedca_P50_us,pedca_P95_us,pedca_P99_us,pedca_loss_pct,legacy_loss_pct,legacy_P99_us
1,0,2,2,99.84,752.5,3379.2,5180.8,0.09,0.17,6167.5
2,0,2,3,99.83,754.2,3424.2,5185.8,0.08,0.20,6250.0
3,0,3,2,99.89,735.8,3549.2,5364.2,0.05,0.13,5945.0
4,0,2,1,99.83,745.8,3347.5,5404.2,0.09,0.14,6077.5
5,0,3,1,99.86,734.2,3529.2,5405.8,0.08,0.13,5895.0
6,0,3,3,99.89,740.8,3639.2,5469.2,0.03,0.15,5990.0
7,1,2,3,99.89,760.8,3509.2,5599.2,0.02,0.17,6135.0
8,1,3,2,99.90,747.5,3632.5,5600.8,0.03,0.14,5912.5
9,1,3,1,99.87,740.8,3594.2,5617.5,0.06,0.14,5832.5
10,1,3,3,99.90,747.5,3620.8,5640.8,0.02,0.13,5920.0
11,1,2,1,99.84,754.2,3454.2,5644.2,0.08,0.14,6047.5
12,1,2,2,99.86,760.8,3510.8,5665.8,0.05,0.16,6097.5
13,0,4,1,99.86,740.8,3640.8,5759.2,0.08,0.14,5802.5
14,0,4,3,99.91,735.8,3607.5,5762.5,0.03,0.13,5770.0
15,0,4,2,99.90,739.2,3644.2,5820.8,0.04,0.14,5890.0
16,1,4,1,99.86,739.2,3617.5,5844.2,0.06,0.12,5800.0
17,1,4,2,99.90,740.8,3669.2,5894.2,0.02,0.12,5812.5
18,1,4,3,99.90,740.8,3659.2,5915.8,0.01,0.13,5815.0
19,0,5,2,99.88,735.8,3610.8,5952.5,0.04,0.13,5797.5
20,1,5,1,99.87,732.5,3595.8,5954.2,0.05,0.13,5780.0
21,0,5,1,99.87,737.5,3629.2,5984.2,0.06,0.13,5782.5
22,0,5,3,99.89,739.2,3629.2,6012.5,0.04,0.14,5867.5
23,1,5,2,99.89,737.5,3562.5,6014.2,0.03,0.12,5772.5
24,1,5,3,99.90,737.5,3624.2,6090.8,0.01,0.12,5755.0
25,0,1,3,99.63,810.8,3222.5,6109.2,0.20,0.24,7020.0
26,0,1,2,99.67,790.8,3202.5,6315.8,0.17,0.24,6915.0
27,0,1,1,99.72,770.8,3317.5,6342.5,0.17,0.20,6627.5
28,1,1,1,99.75,779.2,3494.2,6390.8,0.12,0.19,6460.0
29,1,1,2,99.73,807.5,3575.8,6534.2,0.10,0.20,6652.5
30,1,1,3,99.71,822.5,3625.8,6659.2,0.07,0.21,6707.5
31,0,0,1,99.41,1102.5,4655.8,7734.2,0.24,0.26,7235.0
32,1,0,1,99.41,1102.5,4655.8,7734.2,0.24,0.26,7235.0
33,0,0,3,98.14,1214.2,4915.8,8400.8,0.92,0.42,7857.5
34,0,0,2,98.55,1180.8,4995.8,8432.5,0.67,0.36,7697.5
35,1,0,2,98.65,1177.5,5149.2,8520.8,0.51,0.37,7530.0
36,1,0,3,98.20,1259.2,5515.8,8885.8,0.55,0.39,7735.0
