bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
220.0,225.0,222.5,1.2204275e-06,6.1021376e-06,1
305.0,310.0,307.5,1.2204275e-06,6.1021376e-06,1
340.0,345.0,342.5,0.011451271,0.057256357,9383
345.0,350.0,347.5,0.019056976,0.095284878,15615
350.0,355.0,352.5,0.004975683,0.024878415,4077
355.0,360.0,357.5,0.0017269049,0.0086345247,1415
360.0,365.0,362.5,0.0011630674,0.0058153371,953
365.0,370.0,367.5,0.00082378857,0.0041189429,675
370.0,375.0,372.5,0.00083599285,0.0041799642,685
375.0,380.0,377.5,0.00050769785,0.0025384892,416
380.0,385.0,382.5,0.00026483277,0.0013241639,217
385.0,390.0,387.5,0.00047230545,0.0023615272,387
390.0,395.0,392.5,0.00052844511,0.0026422256,433
395.0,400.0,397.5,0.00061997718,0.0030998859,508
400.0,405.0,402.5,0.00069686411,0.0034843206,571
405.0,410.0,407.5,0.00077497147,0.0038748574,635
410.0,415.0,412.5,0.00080304131,0.0040152065,658
415.0,420.0,417.5,0.00085674012,0.0042837006,702
420.0,425.0,422.5,0.00087992824,0.0043996412,721
425.0,430.0,427.5,0.00082622943,0.0041311471,677
430.0,435.0,432.5,0.00083965413,0.0041982707,688
435.0,440.0,437.5,0.00075300378,0.0037650189,617
440.0,445.0,442.5,0.00059800948,0.0029900474,490
445.0,450.0,447.5,0.00070052539,0.003502627,574
450.0,455.0,452.5,0.00067977813,0.0033988906,557
455.0,460.0,457.5,0.000665133,0.003325665,545
460.0,465.0,462.5,0.00065170829,0.0032585415,534
465.0,470.0,467.5,0.00062363846,0.0031181923,511
470.0,475.0,472.5,0.00062485889,0.0031242944,512
475.0,480.0,477.5,0.00065659,0.00328295,538
480.0,485.0,482.5,0.0006919824,0.003459912,567
485.0,490.0,487.5,0.00072615437,0.0036307719,595
490.0,495.0,492.5,0.00064194487,0.0032097244,526
495.0,500.0,497.5,0.00092996577,0.0046498288,762
500.0,505.0,502.5,0.00097268073,0.0048634037,797
505.0,510.0,507.5,0.00099220757,0.0049610379,813
510.0,515.0,512.5,0.00094583132,0.0047291566,775
515.0,520.0,517.5,0.00093850876,0.0046925438,769
520.0,525.0,522.5,0.00086650354,0.0043325177,710
525.0,530.0,527.5,0.00094827218,0.0047413609,777
530.0,535.0,532.5,0.0009360679,0.0046803395,767
535.0,540.0,537.5,0.00086406268,0.0043203134,708
540.0,545.0,542.5,0.00081768644,0.0040884322,670
545.0,550.0,547.5,0.00076764891,0.0038382445,629
550.0,555.0,552.5,0.00085918097,0.0042959049,704
555.0,560.0,557.5,0.0009360679,0.0046803395,767
560.0,565.0,562.5,0.001001971,0.005009855,821
565.0,570.0,567.5,0.001010514,0.0050525699,828
570.0,575.0,572.5,0.0011581857,0.0057909286,949
575.0,580.0,577.5,0.0011581857,0.0057909286,949
580.0,585.0,582.5,0.0010898418,0.0054492089,893
585.0,590.0,587.5,0.0010263795,0.0051318977,841
590.0,595.0,592.5,0.0011008256,0.0055041281,902
595.0,600.0,597.5,0.0010532289,0.0052661447,863
600.0,605.0,602.5,0.0010935031,0.0054675153,896
605.0,610.0,607.5,0.00077863276,0.0038931638,638
610.0,615.0,612.5,0.00087626696,0.0043813348,718
615.0,620.0,617.5,0.0008115843,0.0040579215,665
620.0,625.0,622.5,0.00077375104,0.0038687552,634
625.0,630.0,627.5,0.00080304131,0.0040152065,658
630.0,635.0,632.5,0.00072493394,0.0036246697,594
635.0,640.0,637.5,0.00083599285,0.0041799642,685
640.0,645.0,642.5,0.00078595532,0.0039297766,644
645.0,650.0,647.5,0.00089701422,0.0044850711,735
650.0,655.0,652.5,0.00093240662,0.0046620331,764
655.0,660.0,657.5,0.00092508406,0.0046254203,758
660.0,665.0,662.5,0.00097756244,0.0048878122,801
665.0,670.0,667.5,0.00088358952,0.0044179476,724
670.0,675.0,672.5,0.00083355199,0.00416776,683
675.0,680.0,677.5,0.00088236909,0.0044118455,723
680.0,685.0,682.5,0.0010044118,0.0050220592,823
685.0,690.0,687.5,0.0010227183,0.0051135913,838
690.0,695.0,692.5,0.00095681517,0.0047840759,784
695.0,700.0,697.5,0.0010666536,0.0053332682,874
700.0,705.0,702.5,0.00096657859,0.004832893,792
705.0,710.0,707.5,0.00088114867,0.0044057433,722
710.0,715.0,712.5,0.00085063798,0.0042531899,697
715.0,720.0,717.5,0.00076154677,0.0038077338,624
720.0,725.0,722.5,0.0007054071,0.0035270355,578
725.0,730.0,727.5,0.00062485889,0.0031242944,512
730.0,735.0,732.5,0.00067611684,0.0033805842,554
735.0,740.0,737.5,0.0006919824,0.003459912,567
740.0,745.0,742.5,0.00069686411,0.0034843206,571
745.0,750.0,747.5,0.00080304131,0.0040152065,658
750.0,755.0,752.5,0.00080426173,0.0040213087,659
755.0,760.0,757.5,0.00087504653,0.0043752326,717
760.0,765.0,762.5,0.0009800033,0.0049000165,803
765.0,770.0,767.5,0.0009360679,0.0046803395,767
770.0,775.0,772.5,0.00093484748,0.0046742374,766
775.0,780.0,777.5,0.0010349225,0.0051746127,848
780.0,785.0,782.5,0.0018086736,0.0090433679,1482
785.0,790.0,787.5,0.0011801534,0.005900767,967
790.0,795.0,792.5,0.00049305272,0.0024652636,404
795.0,800.0,797.5,0.00043081091,0.0021540546,353
800.0,805.0,802.5,0.00022821995,0.0011410997,187
805.0,810.0,807.5,0.00026727363,0.0013363681,219
810.0,815.0,812.5,0.00012204275,0.00061021376,100
815.0,820.0,817.5,0.00014767173,0.00073835865,121
820.0,825.0,822.5,0.0001818437,0.0009092185,149
825.0,830.0,827.5,0.00018794584,0.00093972919,154
830.0,835.0,832.5,0.00030998859,0.0015499429,254
835.0,840.0,837.5,0.0002929026,0.001464513,240
840.0,845.0,842.5,0.00037223039,0.001861152,305
845.0,850.0,847.5,0.00037833253,0.0018916626,310
850.0,855.0,852.5,0.00036124654,0.0018062327,296
855.0,860.0,857.5,0.00037345082,0.0018672541,306
860.0,865.0,862.5,0.00039785937,0.0019892969,326
865.0,870.0,867.5,0.00040030023,0.0020015011,328
870.0,875.0,872.5,0.00034904227,0.0017452113,286
875.0,880.0,877.5,0.00038931638,0.0019465819,319
880.0,885.0,882.5,0.00034049928,0.0017024964,279
885.0,890.0,887.5,0.00035880569,0.0017940284,294
890.0,895.0,892.5,0.00032585415,0.0016292707,267
895.0,900.0,897.5,0.00034416056,0.0017208028,282
900.0,905.0,902.5,0.00028558004,0.0014279002,234
905.0,910.0,907.5,0.00033317671,0.0016658836,273
910.0,915.0,912.5,0.00032463372,0.0016231686,266
915.0,920.0,917.5,0.00035636483,0.0017818242,292
920.0,925.0,922.5,0.0003014456,0.001507228,247
925.0,930.0,927.5,0.00030388645,0.0015194323,249
930.0,935.0,932.5,0.00039053681,0.001952684,320
935.0,940.0,937.5,0.00041128407,0.0020564204,337
940.0,945.0,942.5,0.00047596673,0.0023798337,390
