CWds,QSRC,PSRC,nPedca,delay_type,samples,P50_us,P95_us,P99_us
0,0,1,5,legacy,137417,787.50,3887.50,6367.50
0,0,1,5,legacy,137417,787.50,3887.50,6367.50
0,0,2,5,legacy,136360,792.50,4012.50,6577.50
0,0,2,5,legacy,136360,792.50,4012.50,6577.50
0,0,3,5,legacy,136327,802.50,4052.50,6572.50
0,0,3,5,legacy,136327,802.50,4052.50,6572.50
0,1,1,5,legacy,136139,747.50,3672.50,5992.50
0,1,1,5,legacy,136139,747.50,3672.50,5992.50
0,1,2,5,legacy,135258,742.50,3712.50,6207.50
0,1,2,5,legacy,135258,742.50,3712.50,6207.50
0,1,3,5,legacy,136148,752.50,3747.50,6132.50
0,1,3,5,legacy,136148,752.50,3747.50,6132.50
0,2,1,5,legacy,136049,722.50,3567.50,5847.50
0,2,1,5,legacy,136049,722.50,3567.50,5847.50
0,2,2,5,legacy,136348,722.50,3592.50,5832.50
0,2,2,5,legacy,136348,722.50,3592.50,5832.50
0,2,3,5,legacy,135672,717.50,3582.50,5932.50
0,2,3,5,legacy,135672,717.50,3582.50,5932.50
0,3,1,5,legacy,136345,722.50,3547.50,5707.50
0,3,1,5,legacy,136345,722.50,3547.50,5707.50
0,3,2,5,legacy,136515,727.50,3602.50,5887.50
0,3,2,5,legacy,136515,727.50,3602.50,5887.50
0,3,3,5,legacy,136089,732.50,3572.50,5777.50
0,3,3,5,legacy,136089,732.50,3572.50,5777.50
0,4,1,5,legacy,136019,722.50,3492.50,5687.50
0,4,1,5,legacy,136019,722.50,3492.50,5687.50
0,4,2,5,legacy,136192,717.50,3507.50,5777.50
0,4,2,5,legacy,136192,717.50,3507.50,5777.50
0,4,3,5,legacy,136402,717.50,3472.50,5707.50
0,4,3,5,legacy,136402,717.50,3472.50,5707.50
0,5,1,5,legacy,136520,727.50,3512.50,5772.50
0,5,1,5,legacy,136520,727.50,3512.50,5772.50
0,5,2,5,legacy,136234,722.50,3467.50,5602.50
0,5,2,5,legacy,136234,722.50,3467.50,5602.50
0,5,3,5,legacy,136067,722.50,3502.50,5662.50
0,5,3,5,legacy,136067,722.50,3502.50,5662.50
1,0,1,5,legacy,137417,787.50,3887.50,6367.50
1,0,1,5,legacy,137417,787.50,3887.50,6367.50
1,0,2,5,legacy,136393,792.50,3957.50,6407.50
1,0,2,5,legacy,136393,792.50,3957.50,6407.50
1,0,3,5,legacy,136547,807.50,4037.50,6602.50
1,0,3,5,legacy,136547,807.50,4037.50,6602.50
1,1,1,5,legacy,136395,742.50,3672.50,6017.50
1,1,1,5,legacy,136395,742.50,3672.50,6017.50
1,1,2,5,legacy,136950,747.50,3772.50,6142.50
1,1,2,5,legacy,136950,747.50,3772.50,6142.50
1,1,3,5,legacy,135903,742.50,3757.50,6137.50
1,1,3,5,legacy,135903,742.50,3757.50,6137.50
1,2,1,5,legacy,136154,732.50,3612.50,5902.50
1,2,1,5,legacy,136154,732.50,3612.50,5902.50
1,2,2,5,legacy,136031,717.50,3567.50,5872.50
1,2,2,5,legacy,136031,717.50,3567.50,5872.50
1,2,3,5,legacy,136812,732.50,3617.50,5917.50
1,2,3,5,legacy,136812,732.50,3617.50,5917.50
1,3,1,5,legacy,137040,732.50,3542.50,5692.50
1,3,1,5,legacy,137040,732.50,3542.50,5692.50
1,3,2,5,legacy,136992,727.50,3557.50,5712.50
1,3,2,5,legacy,136992,727.50,3557.50,5712.50
1,3,3,5,legacy,135939,732.50,3567.50,5752.50
