CWds,QSRC,PSRC,nPedca,delay_type,P50_us,P95_us,P99_us
0,0,1,5,legacy,1842.50,10297.50,14792.50
0,0,1,5,legacy,1842.50,10297.50,14792.50
0,0,2,5,legacy,1957.50,10967.50,15332.50
0,0,2,5,legacy,1957.50,10967.50,15332.50
0,0,3,5,legacy,1907.50,10727.50,15217.50
0,0,3,5,legacy,1907.50,10727.50,15217.50
0,1,1,5,legacy,1847.50,10277.50,14452.50
0,1,1,5,legacy,1847.50,10277.50,14452.50
0,1,2,5,legacy,1897.50,10462.50,14792.50
0,1,2,5,legacy,1897.50,10462.50,14792.50
0,1,3,5,legacy,1917.50,10702.50,15012.50
0,1,3,5,legacy,1917.50,10702.50,15012.50
0,2,1,5,legacy,1817.50,10082.50,14292.50
0,2,1,5,legacy,1817.50,10082.50,14292.50
0,2,2,5,legacy,1847.50,10232.50,14542.50
0,2,2,5,legacy,1847.50,10232.50,14542.50
0,2,3,5,legacy,1852.50,10257.50,14537.50
0,2,3,5,legacy,1852.50,10257.50,14537.50
0,3,1,5,legacy,1812.50,9947.50,14242.50
0,3,1,5,legacy,1812.50,9947.50,14242.50
0,3,2,5,legacy,1782.50,9912.50,14177.50
0,3,2,5,legacy,1782.50,9912.50,14177.50
0,3,3,5,legacy,1757.50,9757.50,14092.50
0,3,3,5,legacy,1757.50,9757.50,14092.50
0,4,1,5,legacy,1782.50,9742.50,13997.50
0,4,1,5,legacy,1782.50,9742.50,13997.50
0,4,2,5,legacy,1802.50,9932.50,14232.50
0,4,2,5,legacy,1802.50,9932.50,14232.50
0,4,3,5,legacy,1787.50,9912.50,14222.50
0,4,3,5,legacy,1787.50,9912.50,14222.50
0,5,1,5,legacy,1787.50,9767.50,14067.50
0,5,1,5,legacy,1787.50,9767.50,14067.50
0,5,2,5,legacy,1782.50,9832.50,14157.50
0,5,2,5,legacy,1782.50,9832.50,14157.50
0,5,3,5,legacy,1762.50,9742.50,14077.50
0,5,3,5,legacy,1762.50,9742.50,14077.50
1,0,1,5,legacy,1842.50,10297.50,14792.50
1,0,1,5,legacy,1842.50,10297.50,14792.50
1,0,2,5,legacy,1952.50,10992.50,15382.50
1,0,2,5,legacy,1952.50,10992.50,15382.50
1,0,3,5,legacy,1977.50,11167.50,15582.50
1,0,3,5,legacy,1977.50,11167.50,15582.50
1,1,1,5,legacy,1827.50,10107.50,14422.50
1,1,1,5,legacy,1827.50,10107.50,14422.50
1,1,2,5,legacy,1872.50,10452.50,14722.50
1,1,2,5,legacy,1872.50,10452.50,14722.50
1,1,3,5,legacy,1907.50,10607.50,15087.50
1,1,3,5,legacy,1907.50,10607.50,15087.50
1,2,1,5,legacy,1807.50,9902.50,14167.50
1,2,1,5,legacy,1807.50,9902.50,14167.50
1,2,2,5,legacy,1837.50,10207.50,14587.50
1,2,2,5,legacy,1837.50,10207.50,14587.50
1,2,3,5,legacy,1852.50,10337.50,14697.50
1,2,3,5,legacy,1852.50,10337.50,14697.50
1,3,1,5,legacy,1757.50,9707.50,13932.50
1,3,1,5,legacy,1757.50,9707.50,13932.50
1,3,2,5,legacy,1802.50,10062.50,14372.50
1,3,2,5,legacy,1802.50,10062.50,14372.50
1,3,3,5,legacy,1852.50,10167.50,14472.50
1,3,3,5,legacy,1852.50,10167.50,14472.50
1,4,1,5,legacy,1772.50,9732.50,13957.50
1,4,1,5,legacy,1772.50,9732.50,13957.50
1,4,2,5,legacy,1782.50,9767.50,14107.50
1,4,2,5,legacy,1782.50,9767.50,14107.50
1,4,3,5,legacy,1792.50,9982.50,14247.50
1,4,3,5,legacy,1792.50,9982.50,14247.50
1,5,1,5,legacy,1767.50,9787.50,14082.50
1,5,1,5,legacy,1767.50,9787.50,14082.50
1,5,2,5,legacy,1777.50,9842.50,14127.50
1,5,2,5,legacy,1777.50,9842.50,14127.50
1,5,3,5,legacy,1762.50,9797.50,14092.50
1,5,3,5,legacy,1762.50,9797.50,14092.50
0,0,1,15,legacy,2057.50,11567.50,15887.50
0,0,1,15,legacy,2057.50,11567.50,15887.50
0,0,2,15,legacy,2097.50,11872.50,16322.50
0,0,2,15,legacy,2097.50,11872.50,16322.50
0,0,3,15,legacy,2177.50,12047.50,16557.50
0,0,3,15,legacy,2177.50,12047.50,16557.50
0,1,1,15,legacy,1947.50,10682.50,15002.50
0,1,1,15,legacy,1947.50,10682.50,15002.50
0,1,2,15,legacy,2067.50,11312.50,15677.50
0,1,2,15,legacy,2067.50,11312.50,15677.50
0,1,3,15,legacy,2117.50,11552.50,15932.50
0,1,3,15,legacy,2117.50,11552.50,15932.50
0,2,1,15,legacy,2032.50,11132.50,15352.50
0,2,1,15,legacy,2032.50,11132.50,15352.50
0,2,2,15,legacy,2027.50,11237.50,15652.50
0,2,2,15,legacy,2027.50,11237.50,15652.50
0,2,3,15,legacy,1992.50,11202.50,15667.50
0,2,3,15,legacy,1992.50,11202.50,15667.50
0,3,1,15,legacy,1857.50,10487.50,14877.50
0,3,1,15,legacy,1857.50,10487.50,14877.50
0,3,2,15,legacy,1952.50,10902.50,15317.50
0,3,2,15,legacy,1952.50,10902.50,15317.50
0,3,3,15,legacy,1952.50,11082.50,15597.50
0,3,3,15,legacy,1952.50,11082.50,15597.50
0,4,1,15,legacy,1857.50,10422.50,14902.50
0,4,1,15,legacy,1857.50,10422.50,14902.50
0,4,2,15,legacy,1917.50,10812.50,15207.50
0,4,2,15,legacy,1917.50,10812.50,15207.50
0,4,3,15,legacy,1987.50,11177.50,15592.50
0,4,3,15,legacy,1987.50,11177.50,15592.50
0,5,1,15,legacy,1877.50,10527.50,14952.50
0,5,1,15,legacy,1877.50,10527.50,14952.50
0,5,2,15,legacy,1882.50,10707.50,15162.50
0,5,2,15,legacy,1882.50,10707.50,15162.50
0,5,3,15,legacy,1872.50,10607.50,15037.50
0,5,3,15,legacy,1872.50,10607.50,15037.50
1,0,1,15,legacy,2057.50,11567.50,15887.50
1,0,1,15,legacy,2057.50,11567.50,15887.50
1,0,2,15,legacy,2192.50,12327.50,16797.50
1,0,2,15,legacy,2192.50,12327.50,16797.50
1,0,3,15,legacy,2367.50,12932.50,17502.50
1,0,3,15,legacy,2367.50,12932.50,17502.50
1,1,1,15,legacy,2027.50,11022.50,15327.50
1,1,1,15,legacy,2027.50,11022.50,15327.50
1,1,2,15,legacy,2212.50,11992.50,16292.50
1,1,2,15,legacy,2212.50,11992.50,16292.50
1,1,3,15,legacy,2267.50,12357.50,16707.50
1,1,3,15,legacy,2267.50,12357.50,16707.50
1,2,1,15,legacy,1917.50,10702.50,15087.50
1,2,1,15,legacy,1917.50,10702.50,15087.50
1,2,2,15,legacy,1987.50,11302.50,15832.50
1,2,2,15,legacy,1987.50,11302.50,15832.50
1,2,3,15,legacy,2102.50,11917.50,16357.50
1,2,3,15,legacy,2102.50,11917.50,16357.50
1,3,1,15,legacy,1882.50,10552.50,14912.50
1,3,1,15,legacy,1882.50,10552.50,14912.50
1,3,2,15,legacy,1942.50,11087.50,15562.50
1,3,2,15,legacy,1942.50,11087.50,15562.50
1,3,3,15,legacy,2032.50,11492.50,15997.50
1,3,3,15,legacy,2032.50,11492.50,15997.50
1,4,1,15,legacy,1867.50,10487.50,14862.50
1,4,1,15,legacy,1867.50,10487.50,14862.50
1,4,2,15,legacy,1877.50,10792.50,15347.50
1,4,2,15,legacy,1877.50,10792.50,15347.50
1,4,3,15,legacy,1917.50,11122.50,15782.50
1,4,3,15,legacy,1917.50,11122.50,15782.50
1,5,1,15,legacy,1862.50,10347.50,14757.50
1,5,1,15,legacy,1862.50,10347.50,14757.50
1,5,2,15,legacy,1892.50,10877.50,15372.50
1,5,2,15,legacy,1892.50,10877.50,15372.50
1,5,3,15,legacy,1937.50,11077.50,15642.50
1,5,3,15,legacy,1937.50,11077.50,15642.50
0,0,1,5,pedca,1422.50,6977.50,12782.50
0,0,1,5,pedca,1422.50,6977.50,12782.50
0,0,2,5,pedca,1472.50,5382.50,12517.50
0,0,2,5,pedca,1472.50,5382.50,12517.50
0,0,3,5,pedca,1482.50,4787.50,11997.50
0,0,3,5,pedca,1482.50,4787.50,11997.50
0,1,1,5,pedca,1712.50,6527.50,12417.50
0,1,1,5,pedca,1712.50,6527.50,12417.50
0,1,2,5,pedca,1762.50,4777.50,11617.50
0,1,2,5,pedca,1762.50,4777.50,11617.50
0,1,3,5,pedca,1782.50,4822.50,12047.50
0,1,3,5,pedca,1782.50,4822.50,12047.50
0,2,1,5,pedca,1542.50,6427.50,12532.50
0,2,1,5,pedca,1542.50,6427.50,12532.50
0,2,2,5,pedca,1477.50,4722.50,11447.50
0,2,2,5,pedca,1477.50,4722.50,11447.50
0,2,3,5,pedca,1457.50,4472.50,10857.50
0,2,3,5,pedca,1457.50,4472.50,10857.50
0,3,1,5,pedca,1432.50,6247.50,11602.50
0,3,1,5,pedca,1432.50,6247.50,11602.50
0,3,2,5,pedca,1407.50,5142.50,10172.50
0,3,2,5,pedca,1407.50,5142.50,10172.50
0,3,3,5,pedca,1367.50,4752.50,9337.50
0,3,3,5,pedca,1367.50,4752.50,9337.50
