mode,param_kind,combo,nPedca,P95_us,P95_vs_default_pct,P95_vs_edcaonly_pct,P99_us,P99_vs_default_pct,P99_vs_edcaonly_pct,pedca_loss_pct
mono-DS,default,c0_q02_s01,5,7542.5,0.00,-9.97,12247.5,0.00,-4.93,6.46
mono-DS,default,c0_q02_s01,15,7902.5,0.00,-5.67,12627.5,0.00,-1.98,7.35
mono-DS,default,c0_q02_s01,30,7957.5,0.00,-5.01,12527.5,0.00,-2.76,7.51
mono-DS,best,c0_q01_s03,5,6802.5,-9.81,-18.80,12012.5,-1.92,-6.75,4.97
mono-DS,best,c0_q04_s01,15,7432.5,-5.95,-11.28,12267.5,-2.85,-4.77,6.14
mono-DS,best,c1_q00_s02,30,7192.5,-9.61,-14.15,12187.5,-2.71,-5.39,4.12
dual-DS,default,c0_q02_s01,5,4762.5,0.00,-43.15,10982.5,0.00,-14.75,4.36
dual-DS,default,c0_q02_s01,15,6527.5,0.00,-22.08,12752.5,0.00,-1.01,6.45
dual-DS,default,c0_q02_s01,30,8472.5,0.00,1.13,14222.5,0.00,10.40,9.27
dual-DS,best,c0_q02_s03,5,4097.5,-13.96,-51.09,5982.5,-45.53,-53.56,1.07
dual-DS,best,c0_q03_s03,15,5017.5,-23.13,-40.11,9837.5,-22.86,-23.64,2.64
dual-DS,best,c0_q04_s03,30,7472.5,-11.80,-10.80,12347.5,-13.18,-4.15,3.43
