rank,CWds,QSRC,PSRC,pedca_ontime_10ms_pct,pedca_P50_us,pedca_P95_us,pedca_P99_us,pedca_loss_pct,legacy_loss_pct,legacy_P99_us
1,0,3,3,95.68,1360.8,5335.8,9892.5,3.20,9.66,14290.0
2,0,4,3,97.10,1527.5,6144.2,10075.8,1.78,8.81,13967.5
3,0,4,2,96.02,1534.2,6265.8,10627.5,2.72,9.11,13860.0
4,0,3,2,94.87,1340.8,5435.8,10657.5,3.77,9.30,14022.5
5,0,2,3,93.68,1440.8,5374.2,10765.8,4.77,10.97,14775.0
6,0,4,1,94.36,1482.5,6409.2,11309.2,4.10,8.17,13375.0
7,0,2,2,93.24,1490.8,5577.5,11452.5,5.05,10.71,14407.5
8,0,5,3,96.41,1644.2,7745.8,11549.2,1.40,8.11,13535.0
9,0,5,2,95.99,1625.8,7655.8,11575.8,1.98,8.41,13670.0
10,0,5,1,94.64,1564.2,7362.5,11652.5,3.49,8.05,13397.5
11,1,0,3,94.71,1455.8,5477.5,11767.5,3.34,9.46,15345.0
12,0,3,1,92.98,1325.8,5980.8,11855.8,5.24,8.69,13677.5
13,1,1,3,94.85,1440.8,5545.8,11887.5,3.24,8.03,14312.5
14,0,1,3,90.67,1869.2,6124.2,12265.8,7.20,15.21,15387.5
15,0,0,3,91.86,1635.8,6127.5,12385.8,5.87,12.05,15707.5
16,1,1,2,93.33,1499.2,6337.5,12485.8,4.41,8.00,13997.5
17,0,2,1,91.07,1540.8,6587.5,12652.5,6.69,9.74,14020.0
18,0,1,2,90.24,1784.2,6587.5,12707.5,7.39,12.55,14797.5
19,1,0,2,93.44,1477.5,6245.8,12762.5,4.23,9.41,15072.5
20,1,1,1,92.23,1520.8,6942.5,12827.5,5.31,8.18,13757.5
21,0,1,1,90.40,1632.5,6977.5,12857.5,7.07,9.97,14107.5
22,0,0,2,91.62,1539.2,6369.2,13024.2,5.95,9.87,14995.0
23,0,0,1,91.98,1445.8,6997.5,13130.8,5.48,8.39,14390.0
24,1,0,1,91.98,1445.8,6997.5,13130.8,5.48,8.39,14390.0
25,1,2,1,92.69,1404.2,6899.2,13147.5,4.85,7.66,13507.5
26,1,2,3,95.36,1269.2,6019.2,13444.2,2.39,8.23,13975.0
27,1,2,2,93.96,1335.8,6379.2,13765.8,3.62,8.42,14162.5
28,1,3,1,92.74,1360.8,7355.8,13869.2,4.56,7.34,13287.5
29,1,4,1,93.62,1469.2,7549.2,13942.5,3.70,7.49,13392.5
30,1,5,1,93.54,1514.2,8270.8,14495.8,3.34,7.98,13367.5
31,1,3,2,94.36,1349.2,7085.8,14522.5,2.90,8.16,13745.0
32,1,4,2,94.55,1495.8,7897.5,15350.8,2.37,7.74,13590.0
33,1,3,3,95.08,1329.2,7200.8,15577.5,2.00,7.79,13782.5
34,1,5,2,94.74,1547.5,8597.5,15702.5,1.77,7.63,13402.5
35,1,4,3,95.07,1497.5,8155.8,16347.5,1.56,8.23,13932.5
36,1,5,3,95.23,1517.5,8882.5,16609.2,0.92,7.73,13602.5
