bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,2.2854661e-05,0.00011427331,20
215.0,220.0,217.5,0.0001314143,0.00065707152,115
220.0,225.0,222.5,0.0001622681,0.00081134048,142
225.0,230.0,227.5,0.00012570064,0.00062850319,110
230.0,235.0,232.5,0.00011198784,0.00055993921,98
235.0,240.0,237.5,0.0001348425,0.00067421251,118
240.0,245.0,242.5,0.00012570064,0.00062850319,110
245.0,250.0,247.5,0.00011770151,0.00058850753,103
250.0,255.0,252.5,0.00012341517,0.00061707586,108
255.0,260.0,257.5,0.00013369977,0.00066849885,117
260.0,265.0,262.5,0.00015084077,0.00075420383,132
265.0,270.0,267.5,0.00011655877,0.00058279387,102
270.0,275.0,272.5,0.00014626983,0.00073134917,128
275.0,280.0,277.5,0.00018055183,0.00090275913,158
280.0,285.0,282.5,0.00013027157,0.00065135785,114
285.0,290.0,287.5,0.0001382707,0.00069135351,121
290.0,295.0,292.5,0.0001485553,0.0007427765,130
295.0,300.0,297.5,0.0001554117,0.00077705849,136
300.0,305.0,302.5,0.00012112971,0.00060564853,106
305.0,310.0,307.5,0.00013941344,0.00069706718,122
310.0,315.0,312.5,0.00013027157,0.00065135785,114
315.0,320.0,317.5,0.0001348425,0.00067421251,118
320.0,325.0,322.5,0.00014398437,0.00071992184,126
325.0,330.0,327.5,0.00015312623,0.00076563116,134
330.0,335.0,332.5,0.00013255704,0.00066278518,116
335.0,340.0,337.5,0.00015084077,0.00075420383,132
340.0,345.0,342.5,0.00064107325,0.0032053663,561
345.0,350.0,347.5,0.00094161205,0.0047080603,824
350.0,355.0,352.5,0.00056108194,0.0028054097,491
355.0,360.0,357.5,0.00047766243,0.0023883121,418
360.0,365.0,362.5,0.00046509236,0.0023254618,407
365.0,370.0,367.5,0.00048337609,0.0024168805,423
370.0,375.0,372.5,0.00051994355,0.0025997177,455
375.0,380.0,377.5,0.00024683034,0.0012341517,216
380.0,385.0,382.5,0.00020569195,0.0010284598,180
385.0,390.0,387.5,0.00024568761,0.0012284381,215
390.0,395.0,392.5,0.00025711494,0.0012855747,225
395.0,400.0,397.5,0.00026282861,0.001314143,230
400.0,405.0,402.5,0.00028111234,0.0014055617,246
405.0,410.0,407.5,0.00026968501,0.001348425,236
410.0,415.0,412.5,0.00028911147,0.0014455573,253
415.0,420.0,417.5,0.00028454054,0.0014227027,249
420.0,425.0,422.5,0.00031996526,0.0015998263,280
425.0,430.0,427.5,0.00030625246,0.0015312623,268
430.0,435.0,432.5,0.00022054748,0.0011027374,193
435.0,440.0,437.5,0.00022054748,0.0011027374,193
440.0,445.0,442.5,0.00021483382,0.0010741691,188
445.0,450.0,447.5,0.00021483382,0.0010741691,188
450.0,455.0,452.5,0.02703935,0.13519675,23662
455.0,460.0,457.5,0.00021711928,0.0010855964,190
460.0,465.0,462.5,0.00024340214,0.0012170107,213
465.0,470.0,467.5,0.00022968935,0.0011484467,201
470.0,475.0,472.5,0.00026397134,0.0013198567,231
475.0,480.0,477.5,0.00026625681,0.001331284,233
480.0,485.0,482.5,0.00024454488,0.0012227244,214
485.0,490.0,487.5,0.0002799696,0.001399848,245
490.0,495.0,492.5,0.00028911147,0.0014455573,253
495.0,500.0,497.5,0.00028911147,0.0014455573,253
500.0,505.0,502.5,0.0003073952,0.001536976,269
505.0,510.0,507.5,0.00032682166,0.0016341083,286
510.0,515.0,512.5,0.00029139693,0.0014569847,255
515.0,520.0,517.5,0.0002765414,0.001382707,242
520.0,525.0,522.5,0.00026168587,0.0013084294,229
525.0,530.0,527.5,0.00026625681,0.001331284,233
530.0,535.0,532.5,0.00029139693,0.0014569847,255
535.0,540.0,537.5,0.00028111234,0.0014055617,246
540.0,545.0,542.5,0.0002902542,0.001451271,254
545.0,550.0,547.5,0.00025711494,0.0012855747,225
550.0,555.0,552.5,0.00029596787,0.0014798393,259
555.0,560.0,557.5,0.00027539867,0.0013769934,241
560.0,565.0,562.5,0.00058622207,0.0029311103,513
565.0,570.0,567.5,0.00026854227,0.0013427114,235
570.0,575.0,572.5,0.00024797308,0.0012398654,217
