CWds,QSRC,PSRC,nPedca,delay_type,samples,P50_us,P95_us,P99_us
0,0,1,5,legacy,141772,1537.50,8822.50,13662.50
0,0,1,5,legacy,141772,1537.50,8822.50,13662.50
0,0,2,5,legacy,140051,1617.50,9357.50,14257.50
0,0,2,5,legacy,140051,1617.50,9357.50,14257.50
0,0,3,5,legacy,136840,1672.50,9982.50,14757.50
0,0,3,5,legacy,136840,1672.50,9982.50,14757.50
0,1,1,5,legacy,148045,1542.50,8827.50,13552.50
0,1,1,5,legacy,148045,1542.50,8827.50,13552.50
0,1,2,5,legacy,141961,1587.50,9422.50,14042.50
0,1,2,5,legacy,141961,1587.50,9422.50,14042.50
0,1,3,5,legacy,138885,1662.50,9892.50,14487.50
0,1,3,5,legacy,138885,1662.50,9892.50,14487.50
0,2,1,5,legacy,147493,1567.50,8987.50,13587.50
0,2,1,5,legacy,147493,1567.50,8987.50,13587.50
0,2,2,5,legacy,147082,1567.50,9057.50,13647.50
0,2,2,5,legacy,147082,1567.50,9057.50,13647.50
0,2,3,5,legacy,145555,1557.50,9027.50,13697.50
0,2,3,5,legacy,145555,1557.50,9027.50,13697.50
0,3,1,5,legacy,152335,1532.50,8472.50,13117.50
0,3,1,5,legacy,152335,1532.50,8472.50,13117.50
0,3,2,5,legacy,150012,1522.50,8652.50,13347.50
0,3,2,5,legacy,150012,1522.50,8652.50,13347.50
0,3,3,5,legacy,148018,1467.50,8397.50,13212.50
0,3,3,5,legacy,148018,1467.50,8397.50,13212.50
0,4,1,5,legacy,152152,1462.50,8142.50,12797.50
0,4,1,5,legacy,152152,1462.50,8142.50,12797.50
0,4,2,5,legacy,151056,1532.50,8772.50,13442.50
0,4,2,5,legacy,151056,1532.50,8772.50,13442.50
0,4,3,5,legacy,151350,1462.50,8247.50,13077.50
0,4,3,5,legacy,151350,1462.50,8247.50,13077.50
0,5,1,5,legacy,153110,1517.50,8422.50,12977.50
0,5,1,5,legacy,153110,1517.50,8422.50,12977.50
0,5,2,5,legacy,151176,1517.50,8632.50,13237.50
0,5,2,5,legacy,151176,1517.50,8632.50,13237.50
0,5,3,5,legacy,152224,1507.50,8407.50,12972.50
0,5,3,5,legacy,152224,1507.50,8407.50,12972.50
1,0,1,5,legacy,141772,1537.50,8822.50,13662.50
1,0,1,5,legacy,141772,1537.50,8822.50,13662.50
1,0,2,5,legacy,142937,1617.50,9367.50,14247.50
1,0,2,5,legacy,142937,1617.50,9367.50,14247.50
1,0,3,5,legacy,139100,1622.50,9632.50,14567.50
1,0,3,5,legacy,139100,1622.50,9632.50,14567.50
1,1,1,5,legacy,150144,1582.50,9067.50,13597.50
1,1,1,5,legacy,150144,1582.50,9067.50,13597.50
1,1,2,5,legacy,148307,1502.50,8472.50,13182.50
1,1,2,5,legacy,148307,1502.50,8472.50,13182.50
1,1,3,5,legacy,148361,1552.50,8832.50,13722.50
1,1,3,5,legacy,148361,1552.50,8832.50,13722.50
1,2,1,5,legacy,150950,1522.50,8577.50,13162.50
1,2,1,5,legacy,150950,1522.50,8577.50,13162.50
1,2,2,5,legacy,150582,1537.50,8947.50,13712.50
1,2,2,5,legacy,150582,1537.50,8947.50,13712.50
1,2,3,5,legacy,152480,1537.50,8847.50,13427.50
1,2,3,5,legacy,152480,1537.50,8847.50,13427.50
1,3,1,5,legacy,149327,1477.50,8352.50,13017.50
1,3,1,5,legacy,149327,1477.50,8352.50,13017.50
1,3,2,5,legacy,148391,1482.50,8557.50,13252.50
1,3,2,5,legacy,148391,1482.50,8557.50,13252.50
1,3,3,5,legacy,148804,1497.50,8557.50,13232.50
1,3,3,5,legacy,148804,1497.50,8557.50,13232.50
1,4,1,5,legacy,151911,1557.50,8682.50,13207.50
1,4,1,5,legacy,151911,1557.50,8682.50,13207.50
1,4,2,5,legacy,151565,1542.50,8682.50,13337.50
1,4,2,5,legacy,151565,1542.50,8682.50,13337.50
1,4,3,5,legacy,149163,1547.50,8837.50,13457.50
1,4,3,5,legacy,149163,1547.50,8837.50,13457.50
1,5,1,5,legacy,154248,1507.50,8522.50,13182.50
1,5,1,5,legacy,154248,1507.50,8522.50,13182.50
1,5,2,5,legacy,151115,1467.50,8207.50,12897.50
1,5,2,5,legacy,151115,1467.50,8207.50,12897.50
1,5,3,5,legacy,150324,1492.50,8402.50,13132.50
1,5,3,5,legacy,150324,1492.50,8402.50,13132.50
0,0,1,15,legacy,81351,1707.50,10192.50,15117.50
0,0,1,15,legacy,81351,1707.50,10192.50,15117.50
0,0,2,15,legacy,73373,1787.50,10872.50,15732.50
0,0,2,15,legacy,73373,1787.50,10872.50,15732.50
0,0,3,15,legacy,72959,1912.50,11772.50,16657.50
0,0,3,15,legacy,72959,1912.50,11772.50,16657.50
0,1,1,15,legacy,80131,1672.50,10017.50,14662.50
0,1,1,15,legacy,80131,1672.50,10017.50,14662.50
0,1,2,15,legacy,75870,1822.50,11012.50,15552.50
0,1,2,15,legacy,75870,1822.50,11012.50,15552.50
0,1,3,15,legacy,69030,1972.50,11682.50,16287.50
0,1,3,15,legacy,69030,1972.50,11682.50,16287.50
0,2,1,15,legacy,83749,1677.50,9867.50,14452.50
0,2,1,15,legacy,83749,1677.50,9867.50,14452.50
0,2,2,15,legacy,83675,1717.50,10422.50,15167.50
0,2,2,15,legacy,83675,1717.50,10422.50,15167.50
