rank,CWds,QSRC,PSRC,pedca_ontime_10ms_pct,pedca_P50_us,pedca_P95_us,pedca_P99_us,pedca_loss_pct,legacy_loss_pct,legacy_P99_us
1,0,1,2,85.15,1754.2,9054.2,13272.5,11.53,11.97,13532.5
2,0,1,3,84.92,1775.8,8985.8,13312.5,11.84,13.17,13532.5
3,0,2,1,85.85,1740.8,9077.5,13367.5,10.76,11.27,13530.0
4,0,3,1,86.47,1645.8,9002.5,13379.2,10.23,11.13,13562.5
5,0,2,2,85.87,1724.2,8982.5,13382.5,10.82,11.60,13522.5
6,0,1,1,85.69,1709.2,9087.5,13405.8,10.95,11.56,13480.0
7,0,2,3,85.74,1705.8,8987.5,13409.2,10.90,12.34,13647.5
8,0,4,1,86.50,1682.5,8959.2,13414.2,10.21,11.16,13590.0
9,0,0,3,85.15,1977.5,9167.5,13440.8,11.40,12.21,13545.0
10,0,5,1,86.32,1729.2,9102.5,13497.5,10.30,11.14,13570.0
11,1,1,1,87.12,1632.5,9134.2,13547.5,9.38,10.15,13550.0
12,0,3,2,85.71,1665.8,9110.8,13590.8,10.80,12.04,13660.0
13,0,0,2,84.72,1979.2,9444.2,13627.5,11.55,11.94,13647.5
14,0,4,2,86.42,1695.8,9052.5,13644.2,10.17,11.48,13665.0
15,0,3,3,86.41,1644.2,9070.8,13665.8,10.17,11.74,13625.0
16,0,0,1,84.79,1969.2,9502.5,13692.5,11.43,11.64,13617.5
17,1,0,1,84.79,1969.2,9502.5,13692.5,11.43,11.64,13617.5
18,0,5,2,86.27,1764.2,9259.2,13750.8,10.12,11.49,13627.5
19,1,1,2,87.93,1540.8,9085.8,13800.8,8.57,10.76,13740.0
20,0,4,3,86.03,1727.5,9199.2,13824.2,10.40,11.46,13567.5
21,0,5,3,86.97,1757.5,9270.8,13899.2,9.36,11.22,13600.0
22,1,0,2,86.20,1855.8,9444.2,13952.5,9.94,10.37,13675.0
23,1,0,3,88.05,1712.5,9225.8,13964.2,8.25,9.67,13672.5
24,1,1,3,88.38,1459.2,8980.8,14099.2,8.09,9.71,13630.0
25,1,2,1,86.49,1679.2,9404.2,14259.2,9.67,10.59,13640.0
26,1,3,1,86.63,1650.8,9682.5,15034.2,9.16,10.59,13635.0
27,1,2,2,87.34,1604.2,9594.2,15174.2,8.49,10.61,13755.0
28,1,4,1,86.09,1689.2,9995.8,15537.5,9.40,10.98,13642.5
29,1,5,1,86.49,1702.5,9947.5,15595.8,9.03,10.44,13580.0
30,1,2,3,87.70,1534.2,9817.5,16375.8,7.84,10.71,13825.0
31,1,3,2,86.71,1622.5,10449.2,17117.5,8.21,10.40,13725.0
32,1,4,2,86.17,1700.8,10844.2,17975.8,8.36,10.70,13780.0
33,1,5,2,86.28,1722.5,10822.5,18199.2,8.31,10.94,13777.5
34,1,3,3,86.73,1612.5,11174.2,19154.2,7.46,10.22,13742.5
35,1,4,3,86.42,1669.2,11429.2,20104.2,7.60,10.77,13747.5
36,1,5,3,86.43,1705.8,11519.2,20550.8,7.50,11.05,13797.5
