CWds,QSRC,PSRC,nPedca,delay_type,samples,P50_us,P95_us,P99_us
0,0,1,5,legacy,152270,1477.50,8012.50,12462.50
0,0,1,5,legacy,152270,1477.50,8012.50,12462.50
0,0,2,5,legacy,149956,1537.50,8382.50,12797.50
0,0,2,5,legacy,149956,1537.50,8382.50,12797.50
0,0,3,5,legacy,147787,1517.50,8332.50,12682.50
0,0,3,5,legacy,147787,1517.50,8332.50,12682.50
0,1,1,5,legacy,151426,1487.50,8092.50,12602.50
0,1,1,5,legacy,151426,1487.50,8092.50,12602.50
0,1,2,5,legacy,151514,1487.50,8217.50,12762.50
0,1,2,5,legacy,151514,1487.50,8217.50,12762.50
0,1,3,5,legacy,148114,1452.50,8022.50,12512.50
0,1,3,5,legacy,148114,1452.50,8022.50,12512.50
0,2,1,5,legacy,154109,1507.50,8212.50,12782.50
0,2,1,5,legacy,154109,1507.50,8212.50,12782.50
0,2,2,5,legacy,153692,1462.50,8057.50,12532.50
0,2,2,5,legacy,153692,1462.50,8057.50,12532.50
0,2,3,5,legacy,151304,1527.50,8422.50,12812.50
0,2,3,5,legacy,151304,1527.50,8422.50,12812.50
0,3,1,5,legacy,154869,1457.50,8037.50,12617.50
0,3,1,5,legacy,154869,1457.50,8037.50,12617.50
0,3,2,5,legacy,155027,1492.50,8312.50,12707.50
0,3,2,5,legacy,155027,1492.50,8312.50,12707.50
0,3,3,5,legacy,157402,1472.50,8152.50,12712.50
0,3,3,5,legacy,157402,1472.50,8152.50,12712.50
0,4,1,5,legacy,157891,1467.50,8192.50,12732.50
0,4,1,5,legacy,157891,1467.50,8192.50,12732.50
0,4,2,5,legacy,153742,1472.50,8057.50,12732.50
0,4,2,5,legacy,153742,1472.50,8057.50,12732.50
0,4,3,5,legacy,153149,1442.50,7957.50,12647.50
0,4,3,5,legacy,153149,1442.50,7957.50,12647.50
0,5,1,5,legacy,158232,1492.50,8222.50,12727.50
0,5,1,5,legacy,158232,1492.50,8222.50,12727.50
0,5,2,5,legacy,152913,1462.50,8027.50,12677.50
0,5,2,5,legacy,152913,1462.50,8027.50,12677.50
0,5,3,5,legacy,152860,1487.50,8162.50,12802.50
0,5,3,5,legacy,152860,1487.50,8162.50,12802.50
1,0,1,5,legacy,152270,1477.50,8012.50,12462.50
1,0,1,5,legacy,152270,1477.50,8012.50,12462.50
1,0,2,5,legacy,153279,1502.50,8102.50,12647.50
1,0,2,5,legacy,153279,1502.50,8102.50,12647.50
1,0,3,5,legacy,150598,1537.50,8337.50,12922.50
1,0,3,5,legacy,150598,1537.50,8337.50,12922.50
1,1,1,5,legacy,153949,1517.50,8477.50,13057.50
1,1,1,5,legacy,153949,1517.50,8477.50,13057.50
1,1,2,5,legacy,154452,1507.50,8232.50,12852.50
1,1,2,5,legacy,154452,1507.50,8232.50,12852.50
1,1,3,5,legacy,152301,1467.50,8202.50,12762.50
1,1,3,5,legacy,152301,1467.50,8202.50,12762.50
1,2,1,5,legacy,153363,1502.50,8362.50,12877.50
1,2,1,5,legacy,153363,1502.50,8362.50,12877.50
1,2,2,5,legacy,152250,1482.50,8057.50,12672.50
1,2,2,5,legacy,152250,1482.50,8057.50,12672.50
1,2,3,5,legacy,149124,1502.50,8422.50,12927.50
1,2,3,5,legacy,149124,1502.50,8422.50,12927.50
1,3,1,5,legacy,153980,1477.50,8002.50,12587.50
1,3,1,5,legacy,153980,1477.50,8002.50,12587.50
1,3,2,5,legacy,153506,1527.50,8512.50,12917.50
1,3,2,5,legacy,153506,1527.50,8512.50,12917.50
1,3,3,5,legacy,153176,1522.50,8482.50,12987.50
1,3,3,5,legacy,153176,1522.50,8482.50,12987.50
1,4,1,5,legacy,155789,1487.50,8182.50,12832.50
1,4,1,5,legacy,155789,1487.50,8182.50,12832.50
1,4,2,5,legacy,151789,1477.50,8017.50,12662.50
1,4,2,5,legacy,151789,1477.50,8017.50,12662.50
1,4,3,5,legacy,151780,1497.50,8267.50,12802.50
1,4,3,5,legacy,151780,1497.50,8267.50,12802.50
1,5,1,5,legacy,156795,1487.50,8292.50,12842.50
1,5,1,5,legacy,156795,1487.50,8292.50,12842.50
1,5,2,5,legacy,154610,1497.50,8362.50,12872.50
1,5,2,5,legacy,154610,1497.50,8362.50,12872.50
1,5,3,5,legacy,154544,1447.50,7947.50,12642.50
1,5,3,5,legacy,154544,1447.50,7947.50,12642.50
0,0,1,15,legacy,85148,1502.50,8067.50,12627.50
0,0,1,15,legacy,85148,1502.50,8067.50,12627.50
0,0,2,15,legacy,84505,1492.50,8052.50,12472.50
0,0,2,15,legacy,84505,1492.50,8052.50,12472.50
0,0,3,15,legacy,85496,1522.50,8237.50,12557.50
0,0,3,15,legacy,85496,1522.50,8237.50,12557.50
0,1,1,15,legacy,85446,1507.50,8382.50,12792.50
0,1,1,15,legacy,85446,1507.50,8382.50,12792.50
0,1,2,15,legacy,88238,1532.50,8347.50,12577.50
0,1,2,15,legacy,88238,1532.50,8347.50,12577.50
0,1,3,15,legacy,85681,1562.50,8552.50,12822.50
0,1,3,15,legacy,85681,1562.50,8552.50,12822.50
0,2,1,15,legacy,94900,1542.50,8587.50,12952.50
0,2,1,15,legacy,94900,1542.50,8587.50,12952.50
0,2,2,15,legacy,86557,1517.50,8242.50,12672.50
0,2,2,15,legacy,86557,1517.50,8242.50,12672.50
0,2,3,15,legacy,89595,1522.50,8437.50,12737.50
0,2,3,15,legacy,89595,1522.50,8437.50,12737.50
0,3,1,15,legacy,90281,1477.50,8152.50,12652.50
0,3,1,15,legacy,90281,1477.50,8152.50,12652.50
0,3,2,15,legacy,89793,1492.50,8412.50,12877.50
0,3,2,15,legacy,89793,1492.50,8412.50,12877.50
0,3,3,15,legacy,91086,1507.50,8407.50,12822.50
0,3,3,15,legacy,91086,1507.50,8407.50,12822.50
0,4,1,15,legacy,93881,1462.50,8112.50,12752.50
0,4,1,15,legacy,93881,1462.50,8112.50,12752.50
0,4,2,15,legacy,91157,1527.50,8327.50,12832.50
0,4,2,15,legacy,91157,1527.50,8327.50,12832.50
0,4,3,15,legacy,88492,1517.50,8422.50,12942.50
0,4,3,15,legacy,88492,1517.50,8422.50,12942.50
0,5,1,15,legacy,89004,1487.50,8172.50,12812.50
0,5,1,15,legacy,89004,1487.50,8172.50,12812.50
0,5,2,15,legacy,89698,1512.50,8322.50,12812.50
0,5,2,15,legacy,89698,1512.50,8322.50,12812.50
0,5,3,15,legacy,95161,1452.50,8132.50,12742.50
0,5,3,15,legacy,95161,1452.50,8132.50,12742.50
