bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
220.0,225.0,222.5,0.00012936046,0.0006468023,0
225.0,230.0,227.5,8.327842e-05,0.0004163921,0
230.0,235.0,232.5,8.908844e-05,0.0004454422,0
235.0,240.0,237.5,9.042928e-05,0.0004521464,0
240.0,245.0,242.5,0.0001156508,0.000578254,0
245.0,250.0,247.5,0.000107535,0.000537675,0
250.0,255.0,252.5,9.432996e-05,0.0004716498,0
255.0,260.0,257.5,0.00010596918,0.0005298459,0
260.0,265.0,262.5,0.00011794708,0.0005897354,0
265.0,270.0,267.5,6.705696e-05,0.0003352848,0
270.0,275.0,272.5,8.39399e-05,0.0004196995,0
275.0,280.0,277.5,0.0001072262,0.000536131,0
280.0,285.0,282.5,7.68862e-05,0.000384431,0
285.0,290.0,287.5,0.00010831768,0.0005415884,0
290.0,295.0,292.5,0.0001165994,0.000582997,0
295.0,300.0,297.5,0.0001080716,0.000540358,0
300.0,305.0,302.5,9.636868e-05,0.0004818434,0
305.0,310.0,307.5,6.531438e-05,0.0003265719,0
310.0,315.0,312.5,6.643984e-05,0.0003321992,0
315.0,320.0,317.5,0.000108301,0.000541505,0
320.0,325.0,322.5,9.249978e-05,0.0004624989,0
325.0,330.0,327.5,8.625916e-05,0.0004312958,0
330.0,335.0,332.5,0.0003646986,0.001823493,0
335.0,340.0,337.5,9.647616e-05,0.0004823808,0
340.0,345.0,342.5,0.0001302394,0.000651197,0
345.0,350.0,347.5,0.0011119518,0.005559759,0
350.0,355.0,352.5,0.0027747266,0.013873633,0
355.0,360.0,357.5,0.0015926884,0.007963442,0
360.0,365.0,362.5,0.0009513466,0.004756733,0
365.0,370.0,367.5,0.0008404968,0.004202484,0
370.0,375.0,372.5,0.000799451,0.003997255,0
375.0,380.0,377.5,0.0008946784,0.004473392,0
380.0,385.0,382.5,0.000588682,0.00294341,0
385.0,390.0,387.5,0.0004474792,0.002237396,0
390.0,395.0,392.5,0.0004229458,0.002114729,0
395.0,400.0,397.5,0.0003283598,0.001641799,0
400.0,405.0,402.5,0.0004073706,0.002036853,0
405.0,410.0,407.5,0.000434409,0.002172045,0
410.0,415.0,412.5,0.000419771,0.002098855,0
415.0,420.0,417.5,0.0004249846,0.002124923,0
420.0,425.0,422.5,0.0004215838,0.002107919,0
425.0,430.0,427.5,0.0004282854,0.002141427,0
430.0,435.0,432.5,0.000471467,0.002357335,0
435.0,440.0,437.5,0.0004205934,0.002102967,0
440.0,445.0,442.5,0.0005219368,0.002609684,0
445.0,450.0,447.5,0.0003853248,0.001926624,0
450.0,455.0,452.5,0.0003201238,0.001600619,0
455.0,460.0,457.5,0.0004206164,0.002103082,0
460.0,465.0,462.5,0.015252356,0.07626178,0
465.0,470.0,467.5,0.0003760984,0.001880492,0
470.0,475.0,472.5,0.00035697468,0.0017848734,0
475.0,480.0,477.5,0.00034283984,0.0017141992,0
480.0,485.0,482.5,0.0003772836,0.001886418,0
485.0,490.0,487.5,0.0003475254,0.001737627,0
490.0,495.0,492.5,0.0003946726,0.001973363,0
495.0,500.0,497.5,0.00034307364,0.0017153682,0
500.0,505.0,502.5,0.0004205374,0.002102687,0
505.0,510.0,507.5,0.0004447872,0.002223936,0
510.0,515.0,512.5,0.0003630616,0.001815308,0
515.0,520.0,517.5,0.000410591,0.002052955,0
520.0,525.0,522.5,0.0003462234,0.001731117,0
525.0,530.0,527.5,0.0003737534,0.001868767,0
530.0,535.0,532.5,0.000383334,0.00191667,0
535.0,540.0,537.5,0.0003933246,0.001966623,0
540.0,545.0,542.5,0.000359106,0.00179553,0
545.0,550.0,547.5,0.000400887,0.002004435,0
550.0,555.0,552.5,0.0003888428,0.001944214,0
555.0,560.0,557.5,0.0003912726,0.001956363,0
560.0,565.0,562.5,0.0003856626,0.001928313,0
565.0,570.0,567.5,0.0004214359,0.0021071795,0
570.0,575.0,572.5,0.002491544,0.01245772,0
575.0,580.0,577.5,0.0004159426,0.002079713,0
580.0,585.0,582.5,0.0004062634,0.002031317,0
585.0,590.0,587.5,0.00026131068,0.0013065534,0
590.0,595.0,592.5,0.0006834902,0.003417451,0
595.0,600.0,597.5,0.0003056322,0.001528161,0
600.0,605.0,602.5,0.0004989358,0.002494679,0
605.0,610.0,607.5,0.0004680308,0.002340154,0
610.0,615.0,612.5,0.000382765,0.001913825,0
615.0,620.0,617.5,0.0004000994,0.002000497,0
620.0,625.0,622.5,0.0003794878,0.001897439,0
625.0,630.0,627.5,0.0003901656,0.001950828,0
630.0,635.0,632.5,0.00034347198,0.0017173599,0
635.0,640.0,637.5,0.000389394,0.00194697,0
640.0,645.0,642.5,0.00034625564,0.0017312782,0
645.0,650.0,647.5,0.0003471904,0.001735952,0
650.0,655.0,652.5,0.00029507972,0.0014753986,0
655.0,660.0,657.5,0.0003839956,0.001919978,0
660.0,665.0,662.5,0.00029962756,0.0014981378,0
665.0,670.0,667.5,0.0003701302,0.001850651,0
670.0,675.0,672.5,0.0003718636,0.001859318,0
675.0,680.0,677.5,0.0003109066,0.001554533,0
680.0,685.0,682.5,0.000323136,0.00161568,0
685.0,690.0,687.5,0.0003413354,0.001706677,0
690.0,695.0,692.5,0.00030477778,0.0015238889,0
695.0,700.0,697.5,0.00032842812,0.0016421406,0
700.0,705.0,702.5,0.0006385512,0.003192756,0
705.0,710.0,707.5,0.0003354136,0.001677068,0
710.0,715.0,712.5,0.000386443,0.001932215,0
715.0,720.0,717.5,0.000312962,0.00156481,0
720.0,725.0,722.5,0.00032911578,0.0016455789,0
725.0,730.0,727.5,0.00034686044,0.0017343022,0
730.0,735.0,732.5,0.000351899,0.001759495,0
735.0,740.0,737.5,0.0003697476,0.001848738,0
740.0,745.0,742.5,0.0015245946,0.007622973,0
745.0,750.0,747.5,0.0003535102,0.001767551,0
750.0,755.0,752.5,0.00033035116,0.0016517558,0
755.0,760.0,757.5,0.00025955578,0.0012977789,0
760.0,765.0,762.5,0.00028534876,0.0014267438,0
765.0,770.0,767.5,0.0003362596,0.001681298,0
770.0,775.0,772.5,0.0003258966,0.001629483,0
775.0,780.0,777.5,0.0003633858,0.001816929,0
780.0,785.0,782.5,0.00036109,0.00180545,0
785.0,790.0,787.5,0.0003286044,0.001643022,0
790.0,795.0,792.5,0.0003357612,0.001678806,0
795.0,800.0,797.5,0.0005009982,0.002504991,0
800.0,805.0,802.5,0.00024353008,0.0012176504,0
805.0,810.0,807.5,0.00018813954,0.0009406977,0
810.0,815.0,812.5,0.0002815518,0.001407759,0
815.0,820.0,817.5,0.00017853926,0.0008926963,0
820.0,825.0,822.5,0.00018105588,0.0009052794,0
825.0,830.0,827.5,0.00017710122,0.0008855061,0
