CWds,QSRC,PSRC,nPedca,delay_type,P50_us,P95_us,P99_us
0,0,1,5,legacy,2777.50,27752.50,43797.50
0,0,1,5,legacy,2777.50,27752.50,43797.50
0,0,2,5,legacy,2827.50,27017.50,42842.50
0,0,2,5,legacy,2827.50,27017.50,42842.50
0,0,3,5,legacy,2797.50,26747.50,41812.50
0,0,3,5,legacy,2797.50,26747.50,41812.50
0,1,1,5,legacy,2922.50,29642.50,46867.50
0,1,1,5,legacy,2922.50,29642.50,46867.50
0,1,2,5,legacy,2947.50,30387.50,47592.50
0,1,2,5,legacy,2947.50,30387.50,47592.50
0,1,3,5,legacy,2942.50,30142.50,47487.50
0,1,3,5,legacy,2942.50,30142.50,47487.50
0,2,1,5,legacy,2757.50,28442.50,45747.50
0,2,1,5,legacy,2757.50,28442.50,45747.50
0,2,2,5,legacy,2802.50,28797.50,45262.50
0,2,2,5,legacy,2802.50,28797.50,45262.50
0,2,3,5,legacy,2902.50,29677.50,46987.50
0,2,3,5,legacy,2902.50,29677.50,46987.50
0,3,1,5,legacy,2692.50,28527.50,45732.50
0,3,1,5,legacy,2692.50,28527.50,45732.50
0,3,2,5,legacy,2797.50,29102.50,46602.50
0,3,2,5,legacy,2797.50,29102.50,46602.50
0,3,3,5,legacy,2682.50,28257.50,45767.50
0,3,3,5,legacy,2682.50,28257.50,45767.50
0,4,1,5,legacy,2727.50,28742.50,46572.50
0,4,1,5,legacy,2727.50,28742.50,46572.50
0,4,2,5,legacy,2687.50,27767.50,45312.50
0,4,2,5,legacy,2687.50,27767.50,45312.50
0,4,3,5,legacy,2827.50,29377.50,47212.50
0,4,3,5,legacy,2827.50,29377.50,47212.50
0,5,1,5,legacy,2822.50,29587.50,47202.50
0,5,1,5,legacy,2822.50,29587.50,47202.50
0,5,2,5,legacy,2802.50,29412.50,46907.50
0,5,2,5,legacy,2802.50,29412.50,46907.50
0,5,3,5,legacy,2767.50,29252.50,46692.50
0,5,3,5,legacy,2767.50,29252.50,46692.50
1,0,1,5,legacy,2777.50,27752.50,43797.50
1,0,1,5,legacy,2777.50,27752.50,43797.50
1,0,2,5,legacy,2772.50,26757.50,42587.50
1,0,2,5,legacy,2772.50,26757.50,42587.50
1,0,3,5,legacy,2832.50,26502.50,41042.50
1,0,3,5,legacy,2832.50,26502.50,41042.50
1,1,1,5,legacy,2862.50,28632.50,44982.50
1,1,1,5,legacy,2862.50,28632.50,44982.50
1,1,2,5,legacy,2862.50,29592.50,47127.50
1,1,2,5,legacy,2862.50,29592.50,47127.50
1,1,3,5,legacy,2862.50,29137.50,46227.50
1,1,3,5,legacy,2862.50,29137.50,46227.50
1,2,1,5,legacy,2882.50,29782.50,46622.50
1,2,1,5,legacy,2882.50,29782.50,46622.50
1,2,2,5,legacy,2852.50,29057.50,45987.50
1,2,2,5,legacy,2852.50,29057.50,45987.50
1,2,3,5,legacy,2902.50,28972.50,45822.50
1,2,3,5,legacy,2902.50,28972.50,45822.50
1,3,1,5,legacy,2677.50,28392.50,45892.50
1,3,1,5,legacy,2677.50,28392.50,45892.50
1,3,2,5,legacy,2587.50,27612.50,45702.50
1,3,2,5,legacy,2587.50,27612.50,45702.50
1,3,3,5,legacy,2667.50,28002.50,45117.50
1,3,3,5,legacy,2667.50,28002.50,45117.50
1,4,1,5,legacy,2707.50,28382.50,45932.50
1,4,1,5,legacy,2707.50,28382.50,45932.50
1,4,2,5,legacy,2652.50,27847.50,45432.50
1,4,2,5,legacy,2652.50,27847.50,45432.50
1,4,3,5,legacy,2757.50,28357.50,45732.50
1,4,3,5,legacy,2757.50,28357.50,45732.50
1,5,1,5,legacy,2822.50,29597.50,47307.50
1,5,1,5,legacy,2822.50,29597.50,47307.50
1,5,2,5,legacy,2767.50,28617.50,45632.50
1,5,2,5,legacy,2767.50,28617.50,45632.50
1,5,3,5,legacy,2782.50,29197.50,46422.50
1,5,3,5,legacy,2782.50,29197.50,46422.50
0,0,1,15,legacy,2737.50,24292.50,37277.50
0,0,1,15,legacy,2737.50,24292.50,37277.50
0,0,2,15,legacy,2842.50,25022.50,38232.50
