rank,CWds,QSRC,PSRC,pedca_ontime_10ms_pct,pedca_P50_us,pedca_P95_us,pedca_P99_us,pedca_loss_pct,legacy_loss_pct,legacy_P99_us
1,0,3,3,92.43,2494.2,8575.8,11737.5,5.21,17.42,15140.0
2,0,2,3,91.20,2299.2,7484.2,11775.8,6.70,19.85,15505.0
3,0,3,2,91.21,2417.5,8555.8,12127.5,6.34,17.26,14945.0
4,0,1,3,88.35,1765.8,7164.2,12345.8,8.98,20.48,15797.5
5,0,2,2,89.15,2244.2,7767.5,12554.2,8.35,19.12,15252.5
6,0,4,2,90.88,2530.8,9737.5,12649.2,4.93,16.15,14722.5
7,0,4,3,90.94,2684.2,9985.8,12795.8,4.19,17.07,14947.5
8,0,4,1,88.49,2337.5,9582.5,12810.8,7.68,16.60,14355.0
9,0,3,1,88.16,2309.2,8785.8,12900.8,8.95,16.36,14565.0
10,0,0,3,89.26,1482.5,7264.2,12984.2,7.78,19.15,16160.0
11,0,1,2,87.75,1714.2,7675.8,13135.8,9.25,19.26,15492.5
12,0,2,1,86.83,2117.5,8434.2,13180.8,10.13,16.98,14722.5
13,1,0,3,92.69,1362.5,7537.5,13464.2,4.07,15.51,15942.5
14,0,5,1,86.89,2434.2,10597.5,13582.5,7.12,15.84,14357.5
15,0,1,1,85.27,1625.8,8855.8,13599.2,11.22,17.71,14842.5
16,0,0,2,88.49,1450.8,8002.5,13640.8,8.12,17.15,15780.0
17,0,5,2,88.35,2675.8,10989.2,13884.2,4.36,16.40,14567.5
18,1,0,2,90.28,1392.5,8390.8,14035.8,6.09,16.24,15782.5
19,0,5,3,89.03,2777.5,11177.5,14139.2,2.99,17.38,14820.0
20,0,0,1,86.48,1432.5,9382.5,14319.2,9.44,16.98,15427.5
21,1,0,1,86.48,1432.5,9382.5,14319.2,9.44,16.98,15427.5
22,1,1,1,87.36,1629.2,9877.5,14629.2,8.13,13.79,14532.5
23,1,1,2,90.60,1594.2,9390.8,14907.5,5.17,13.15,14732.5
24,1,2,1,88.36,1955.8,9814.2,14962.5,7.15,13.67,14415.0
25,1,1,3,92.02,1570.8,9195.8,15062.5,3.81,12.43,14835.0
26,1,3,1,88.08,2117.5,10085.8,15555.8,7.17,14.57,14350.0
27,1,4,1,88.08,2140.8,10547.5,15755.8,6.32,12.25,14107.5
28,1,2,2,90.76,1925.8,9809.2,16015.8,4.66,14.32,14780.0
29,1,5,1,87.25,2212.5,11252.5,16474.2,5.74,13.84,14165.0
30,1,2,3,91.53,1950.8,10102.5,16865.8,3.41,13.77,14805.0
31,1,3,2,90.42,2125.8,10425.8,16934.2,4.22,15.05,14612.5
32,1,4,2,89.74,2225.8,11147.5,17557.5,3.56,14.00,14440.0
33,1,3,3,91.70,2112.5,10614.2,17900.8,2.61,14.22,14665.0
34,1,5,2,88.14,2309.2,12100.8,18687.5,3.24,14.62,14375.0
35,1,4,3,89.47,2320.8,11877.5,19705.8,2.64,14.65,14670.0
36,1,5,3,88.21,2384.2,12724.2,20612.5,2.05,15.53,14532.5
