bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,2.9459246e-05,0.00014729623,25
215.0,220.0,217.5,0.00010016144,0.00050080718,85
220.0,225.0,222.5,9.5447957e-05,0.00047723979,81
225.0,230.0,227.5,8.1307519e-05,0.0004065376,69
230.0,235.0,232.5,0.00011194514,0.00055972568,95
235.0,240.0,237.5,0.00012726394,0.00063631972,108
240.0,245.0,242.5,8.7199368e-05,0.00043599684,74
245.0,250.0,247.5,8.3664259e-05,0.00041832129,71
250.0,255.0,252.5,8.9556108e-05,0.00044778054,76
255.0,260.0,257.5,0.00011430187,0.00057150937,97
260.0,265.0,262.5,0.00010841003,0.00054205013,92
265.0,270.0,267.5,0.0001249072,0.00062453602,106
270.0,275.0,272.5,0.0001095884,0.00054794198,93
275.0,280.0,277.5,0.00011076677,0.00055383383,94
280.0,285.0,282.5,8.3664259e-05,0.00041832129,71
285.0,290.0,287.5,9.3091218e-05,0.00046545609,79
290.0,295.0,292.5,9.8983067e-05,0.00049491533,84
295.0,300.0,297.5,0.00010605329,0.00053026643,90
300.0,305.0,302.5,9.0734478e-05,0.00045367239,77
305.0,310.0,307.5,0.00012137209,0.00060686047,103
310.0,315.0,312.5,0.00012255046,0.00061275232,104
315.0,320.0,317.5,0.00011194514,0.00055972568,95
320.0,325.0,322.5,0.00035468932,0.0017734466,301
325.0,330.0,327.5,9.3091218e-05,0.00046545609,79
330.0,335.0,332.5,9.3091218e-05,0.00046545609,79
335.0,340.0,337.5,0.00011783698,0.00058918492,100
340.0,345.0,342.5,0.00052673132,0.0026336566,447
345.0,350.0,347.5,0.00078361595,0.0039180797,665
350.0,355.0,352.5,0.00063867645,0.0031933823,542
355.0,360.0,357.5,0.00059625514,0.0029812757,506
360.0,365.0,362.5,0.0006681357,0.0033406785,567
365.0,370.0,367.5,0.0006174658,0.003087329,524
370.0,375.0,372.5,0.00065399526,0.0032699763,555
375.0,380.0,377.5,0.00032994356,0.0016497178,280
380.0,385.0,382.5,0.00025334952,0.0012667476,215
385.0,390.0,387.5,0.00022389027,0.0011194514,190
390.0,395.0,392.5,0.00022389027,0.0011194514,190
395.0,400.0,397.5,0.00026866832,0.0013433416,228
400.0,405.0,402.5,0.00029577083,0.0014788542,251
405.0,410.0,407.5,0.0002462793,0.0012313965,209
410.0,415.0,412.5,0.00027456017,0.0013728009,233
415.0,420.0,417.5,0.0002733818,0.001366909,232
420.0,425.0,422.5,0.00030755453,0.0015377726,261
425.0,430.0,427.5,0.00034290562,0.0017145281,291
430.0,435.0,432.5,0.00024863604,0.0012431802,211
435.0,440.0,437.5,0.00024274419,0.0012137209,206
440.0,445.0,442.5,0.00022742538,0.0011371269,193
445.0,450.0,447.5,0.00021917679,0.001095884,186
450.0,455.0,452.5,0.017617808,0.088089038,14951
455.0,460.0,457.5,0.00020385798,0.0010192899,173
460.0,465.0,462.5,0.00020857146,0.0010428573,177
465.0,470.0,467.5,0.00025099278,0.0012549639,213
470.0,475.0,472.5,0.00023213886,0.0011606943,197
475.0,480.0,477.5,0.00026277648,0.0013138824,223
480.0,485.0,482.5,0.00027927365,0.0013963683,237
485.0,490.0,487.5,0.00023803071,0.0011901535,202
490.0,495.0,492.5,0.00025688463,0.0012844231,218
495.0,500.0,497.5,0.00023920908,0.0011960454,203
500.0,505.0,502.5,0.00026041974,0.0013020987,221
505.0,510.0,507.5,0.000258063,0.001290315,219
510.0,515.0,512.5,0.00026277648,0.0013138824,223
515.0,520.0,517.5,0.00028987898,0.0014493949,246
520.0,525.0,522.5,0.00026631158,0.0013315579,226
525.0,530.0,527.5,0.00028163039,0.001408152,239
530.0,535.0,532.5,0.00025924137,0.0012962068,220
535.0,540.0,537.5,0.00024745767,0.0012372883,210
540.0,545.0,542.5,0.0002733818,0.001366909,232
545.0,550.0,547.5,0.00026748995,0.0013374498,227
550.0,555.0,552.5,0.00028987898,0.0014493949,246
555.0,560.0,557.5,0.00025217115,0.0012608557,214
560.0,565.0,562.5,0.0033406785,0.016703393,2835
565.0,570.0,567.5,0.0002969492,0.001484746,252
570.0,575.0,572.5,0.00024510093,0.0012255046,208
575.0,580.0,577.5,0.00020974983,0.0010487492,178
580.0,585.0,582.5,0.0002969492,0.001484746,252
585.0,590.0,587.5,0.00022860375,0.0011430187,194
590.0,595.0,592.5,0.000258063,0.001290315,219
595.0,600.0,597.5,0.00022389027,0.0011194514,190
600.0,605.0,602.5,0.00024156582,0.0012078291,205
605.0,610.0,607.5,0.00024863604,0.0012431802,211
610.0,615.0,612.5,0.00020739309,0.0010369655,176
615.0,620.0,617.5,0.00021917679,0.001095884,186
620.0,625.0,622.5,0.00034408399,0.00172042,292
625.0,630.0,627.5,0.00022742538,0.0011371269,193
630.0,635.0,632.5,0.00027220343,0.0013610172,231
635.0,640.0,637.5,0.00021328494,0.0010664247,181
640.0,645.0,642.5,0.00025217115,0.0012608557,214
645.0,650.0,647.5,0.00021564168,0.0010782084,183
650.0,655.0,652.5,0.00022035516,0.0011017758,187
655.0,660.0,657.5,0.00021917679,0.001095884,186
660.0,665.0,662.5,0.0002344956,0.001172478,199
665.0,670.0,667.5,0.00090380967,0.0045190483,767
670.0,675.0,672.5,0.0021646654,0.010823327,1837
675.0,680.0,677.5,0.00022506864,0.0011253432,191
680.0,685.0,682.5,0.00021682005,0.0010841003,184
685.0,690.0,687.5,0.00019089591,0.00095447957,162
690.0,695.0,692.5,0.00020621472,0.0010310736,175
695.0,700.0,697.5,0.00018971754,0.00094858772,161
700.0,705.0,702.5,0.00020857146,0.0010428573,177
705.0,710.0,707.5,0.00018618244,0.00093091218,158
710.0,715.0,712.5,0.0002344956,0.001172478,199
715.0,720.0,717.5,0.00020385798,0.0010192899,173
720.0,725.0,722.5,0.00021564168,0.0010782084,183
725.0,730.0,727.5,0.00022035516,0.0011017758,187
730.0,735.0,732.5,0.00020739309,0.0010369655,176
735.0,740.0,737.5,0.00022978212,0.0011489106,195
740.0,745.0,742.5,0.00023096049,0.0011548024,196
745.0,750.0,747.5,0.00020503635,0.0010251818,174
750.0,755.0,752.5,0.00022742538,0.0011371269,193
755.0,760.0,757.5,0.00020267961,0.0010133981,172
760.0,765.0,762.5,0.00025099278,0.0012549639,213
765.0,770.0,767.5,0.00023213886,0.0011606943,197
770.0,775.0,772.5,0.00023920908,0.0011960454,203
775.0,780.0,777.5,0.00044660217,0.0022330109,379
780.0,785.0,782.5,0.00094623098,0.0047311549,803
785.0,790.0,787.5,0.000258063,0.001290315,219
790.0,795.0,792.5,0.00014965297,0.00074826485,127
795.0,800.0,797.5,0.00020621472,0.0010310736,175
800.0,805.0,802.5,0.00016850689,0.00084253444,143
805.0,810.0,807.5,0.00019560939,0.00097804697,166
810.0,815.0,812.5,0.00019560939,0.00097804697,166
815.0,820.0,817.5,0.00016732852,0.00083664259,142
820.0,825.0,822.5,0.00018146896,0.00090734478,154
825.0,830.0,827.5,0.00020503635,0.0010251818,174
830.0,835.0,832.5,0.0001991445,0.00099572252,169
835.0,840.0,837.5,0.00018146896,0.00090734478,154
840.0,845.0,842.5,0.00021210657,0.0010605329,180
845.0,850.0,847.5,0.00020739309,0.0010369655,176
850.0,855.0,852.5,0.00018971754,0.00094858772,161
855.0,860.0,857.5,0.00020503635,0.0010251818,174
860.0,865.0,862.5,0.0001838257,0.00091912848,156
865.0,870.0,867.5,0.00020267961,0.0010133981,172
870.0,875.0,872.5,0.00016850689,0.00084253444,143
875.0,880.0,877.5,0.00015200971,0.00076004855,129
880.0,885.0,882.5,0.00016732852,0.00083664259,142
885.0,890.0,887.5,0.00024156582,0.0012078291,205
890.0,895.0,892.5,0.00051259088,0.0025629544,435
895.0,900.0,897.5,0.0002227119,0.0011135595,189
900.0,905.0,902.5,0.00014258275,0.00071291376,121
905.0,910.0,907.5,0.00015672319,0.00078361595,133
910.0,915.0,912.5,0.00018618244,0.00093091218,158
915.0,920.0,917.5,0.0001838257,0.00091912848,156
920.0,925.0,922.5,0.00019325265,0.00096626327,164
925.0,930.0,927.5,0.00015554482,0.0007777241,132
930.0,935.0,932.5,0.00016968526,0.00084842629,144
935.0,940.0,937.5,0.00019678776,0.00098393882,167
940.0,945.0,942.5,0.00018146896,0.00090734478,154
945.0,950.0,947.5,0.00016850689,0.00084253444,143
950.0,955.0,952.5,0.00018971754,0.00094858772,161
955.0,960.0,957.5,0.00015200971,0.00076004855,129
960.0,965.0,962.5,0.00018029059,0.00090145293,153
965.0,970.0,967.5,0.00015790156,0.00078950779,134
970.0,975.0,972.5,0.00017086363,0.00085431814,145
975.0,980.0,977.5,0.00017557711,0.00087788553,149
980.0,985.0,982.5,0.00028163039,0.001408152,239
985.0,990.0,987.5,0.00016732852,0.00083664259,142
990.0,995.0,992.5,0.0001838257,0.00091912848,156
995.0,1000.0,997.5,0.00037354324,0.0018677162,317
1000.0,1005.0,1002.5,0.00018971754,0.00094858772,161
1005.0,1010.0,1007.5,0.00019207428,0.00096037142,163
1010.0,1015.0,1012.5,0.00014729623,0.00073648115,125
1015.0,1020.0,1017.5,0.00023096049,0.0011548024,196
1020.0,1025.0,1022.5,0.00022153353,0.0011076677,188
1025.0,1030.0,1027.5,0.00015436645,0.00077183225,131
1030.0,1035.0,1032.5,0.00024038745,0.0012019372,204
1035.0,1040.0,1037.5,0.00015790156,0.00078950779,134
1040.0,1045.0,1042.5,0.00019796613,0.00098983067,168
1045.0,1050.0,1047.5,0.00016850689,0.00084253444,143
1050.0,1055.0,1052.5,0.00021328494,0.0010664247,181
1055.0,1060.0,1057.5,0.00016143667,0.00080718334,137
1060.0,1065.0,1062.5,0.00020150124,0.0010075062,171
1065.0,1070.0,1067.5,0.00028752224,0.0014376112,244
1070.0,1075.0,1072.5,0.000172042,0.00086020999,146
1075.0,1080.0,1077.5,0.00026159811,0.0013079905,222
1080.0,1085.0,1082.5,0.00016261504,0.00081307519,138
1085.0,1090.0,1087.5,0.00019325265,0.00096626327,164
1090.0,1095.0,1092.5,0.00023803071,0.0011901535,202
1095.0,1100.0,1097.5,0.00018853917,0.00094269587,160
1100.0,1105.0,1102.5,0.00025570626,0.0012785313,217
1105.0,1110.0,1107.5,0.00022860375,0.0011430187,194
1110.0,1115.0,1112.5,0.000258063,0.001290315,219
1115.0,1120.0,1117.5,0.00029105735,0.0014552868,247
1120.0,1125.0,1122.5,0.00020385798,0.0010192899,173
1125.0,1130.0,1127.5,0.0002851655,0.0014258275,242
1130.0,1135.0,1132.5,0.00018853917,0.00094269587,160
1135.0,1140.0,1137.5,0.00030284105,0.0015142052,257
1140.0,1145.0,1142.5,0.00020503635,0.0010251818,174
1145.0,1150.0,1147.5,0.00027220343,0.0013610172,231
1150.0,1155.0,1152.5,0.00023213886,0.0011606943,197
1155.0,1160.0,1157.5,0.00026748995,0.0013374498,227
1160.0,1165.0,1162.5,0.00029459246,0.0014729623,250
1165.0,1170.0,1167.5,0.00019443102,0.00097215512,165
1170.0,1175.0,1172.5,0.00020974983,0.0010487492,178
1175.0,1180.0,1177.5,0.00019678776,0.00098393882,167
1180.0,1185.0,1182.5,0.00022153353,0.0011076677,188
1185.0,1190.0,1187.5,0.00025099278,0.0012549639,213
1190.0,1195.0,1192.5,0.00016732852,0.00083664259,142
1195.0,1200.0,1197.5,0.00020032287,0.0010016144,170
1200.0,1205.0,1202.5,0.00021917679,0.001095884,186
1205.0,1210.0,1207.5,0.00020032287,0.0010016144,170
1210.0,1215.0,1212.5,0.00023331723,0.0011665861,198
1215.0,1220.0,1217.5,0.00027456017,0.0013728009,233
1220.0,1225.0,1222.5,0.00021799842,0.0010899921,185
1225.0,1230.0,1227.5,0.00022978212,0.0011489106,195
1230.0,1235.0,1232.5,0.00022506864,0.0011253432,191
1235.0,1240.0,1237.5,0.00021799842,0.0010899921,185
1240.0,1245.0,1242.5,0.00021564168,0.0010782084,183
1245.0,1250.0,1247.5,0.00022035516,0.0011017758,187
1250.0,1255.0,1252.5,0.00022153353,0.0011076677,188
1255.0,1260.0,1257.5,0.00023803071,0.0011901535,202
1260.0,1265.0,1262.5,0.00022153353,0.0011076677,188
1265.0,1270.0,1267.5,0.00018736081,0.00093680403,159
1270.0,1275.0,1272.5,0.00022389027,0.0011194514,190
1275.0,1280.0,1277.5,0.00021799842,0.0010899921,185
