CWds,QSRC,PSRC,nPedca,delay_type,samples,P50_us,P95_us,P99_us
0,0,1,5,legacy,134447,2312.50,11152.50,14752.50
0,0,1,5,legacy,134447,2312.50,11152.50,14752.50
0,0,2,5,legacy,132164,2282.50,11177.50,14867.50
0,0,2,5,legacy,132164,2282.50,11177.50,14867.50
0,0,3,5,legacy,129920,2397.50,11397.50,15097.50
0,0,3,5,legacy,129920,2397.50,11397.50,15097.50
0,1,1,5,legacy,140561,2142.50,10632.50,14272.50
0,1,1,5,legacy,140561,2142.50,10632.50,14272.50
0,1,2,5,legacy,132776,2322.50,11127.50,14647.50
0,1,2,5,legacy,132776,2322.50,11127.50,14647.50
0,1,3,5,legacy,131911,2422.50,11182.50,14837.50
0,1,3,5,legacy,131911,2422.50,11182.50,14837.50
0,2,1,5,legacy,137598,2112.50,10667.50,14232.50
0,2,1,5,legacy,137598,2112.50,10667.50,14232.50
0,2,2,5,legacy,133671,2187.50,10802.50,14467.50
0,2,2,5,legacy,133671,2187.50,10802.50,14467.50
0,2,3,5,legacy,131191,2262.50,11007.50,14602.50
0,2,3,5,legacy,131191,2262.50,11007.50,14602.50
0,3,1,5,legacy,138770,2142.50,10602.50,14112.50
0,3,1,5,legacy,138770,2142.50,10602.50,14112.50
0,3,2,5,legacy,138684,2122.50,10667.50,14197.50
0,3,2,5,legacy,138684,2122.50,10667.50,14197.50
0,3,3,5,legacy,136778,2117.50,10607.50,14272.50
0,3,3,5,legacy,136778,2117.50,10607.50,14272.50
0,4,1,5,legacy,140936,2007.50,10267.50,13862.50
0,4,1,5,legacy,140936,2007.50,10267.50,13862.50
0,4,2,5,legacy,137344,2062.50,10477.50,14102.50
0,4,2,5,legacy,137344,2062.50,10477.50,14102.50
0,4,3,5,legacy,137301,2097.50,10627.50,14172.50
0,4,3,5,legacy,137301,2097.50,10627.50,14172.50
0,5,1,5,legacy,140022,2042.50,10347.50,13862.50
0,5,1,5,legacy,140022,2042.50,10347.50,13862.50
0,5,2,5,legacy,137944,2027.50,10417.50,13907.50
0,5,2,5,legacy,137944,2027.50,10417.50,13907.50
0,5,3,5,legacy,137414,2092.50,10587.50,14152.50
0,5,3,5,legacy,137414,2092.50,10587.50,14152.50
1,0,1,5,legacy,134447,2312.50,11152.50,14752.50
1,0,1,5,legacy,134447,2312.50,11152.50,14752.50
1,0,2,5,legacy,131005,2372.50,11422.50,15092.50
1,0,2,5,legacy,131005,2372.50,11422.50,15092.50
1,0,3,5,legacy,128262,2442.50,11512.50,15272.50
1,0,3,5,legacy,128262,2442.50,11512.50,15272.50
1,1,1,5,legacy,137929,2202.50,10732.50,14202.50
1,1,1,5,legacy,137929,2202.50,10732.50,14202.50
1,1,2,5,legacy,131525,2342.50,11212.50,14917.50
1,1,2,5,legacy,131525,2342.50,11212.50,14917.50
1,1,3,5,legacy,129890,2357.50,11257.50,14927.50
1,1,3,5,legacy,129890,2357.50,11257.50,14927.50
1,2,1,5,legacy,137174,2192.50,10792.50,14302.50
1,2,1,5,legacy,137174,2192.50,10792.50,14302.50
1,2,2,5,legacy,133137,2237.50,10942.50,14517.50
1,2,2,5,legacy,133137,2237.50,10942.50,14517.50
1,2,3,5,legacy,132186,2287.50,10997.50,14622.50
1,2,3,5,legacy,132186,2287.50,10997.50,14622.50
1,3,1,5,legacy,139547,2142.50,10617.50,14107.50
1,3,1,5,legacy,139547,2142.50,10617.50,14107.50
1,3,2,5,legacy,136824,2152.50,10682.50,14167.50
1,3,2,5,legacy,136824,2152.50,10682.50,14167.50
1,3,3,5,legacy,136514,2142.50,10697.50,14237.50
1,3,3,5,legacy,136514,2142.50,10697.50,14237.50
1,4,1,5,legacy,142469,2012.50,10292.50,13847.50
1,4,1,5,legacy,142469,2012.50,10292.50,13847.50
1,4,2,5,legacy,139181,2092.50,10577.50,14032.50
1,4,2,5,legacy,139181,2092.50,10577.50,14032.50
1,4,3,5,legacy,137578,2157.50,10587.50,14102.50
1,4,3,5,legacy,137578,2157.50,10587.50,14102.50
1,5,1,5,legacy,139694,2047.50,10397.50,13897.50
1,5,1,5,legacy,139694,2047.50,10397.50,13897.50
1,5,2,5,legacy,138915,2072.50,10482.50,14022.50
1,5,2,5,legacy,138915,2072.50,10482.50,14022.50
1,5,3,5,legacy,137921,2102.50,10572.50,14077.50
1,5,3,5,legacy,137921,2102.50,10572.50,14077.50
0,0,1,15,legacy,70454,2602.50,12217.50,16102.50
0,0,1,15,legacy,70454,2602.50,12217.50,16102.50
0,0,2,15,legacy,68392,2942.50,12852.50,16782.50
0,0,2,15,legacy,68392,2942.50,12852.50,16782.50
0,0,3,15,legacy,63347,3092.50,13347.50,17357.50
0,0,3,15,legacy,63347,3092.50,13347.50,17357.50
0,1,1,15,legacy,74965,2512.50,11727.50,15457.50
0,1,1,15,legacy,74965,2512.50,11727.50,15457.50
0,1,2,15,legacy,72694,2777.50,12252.50,16002.50
0,1,2,15,legacy,72694,2777.50,12252.50,16002.50
0,1,3,15,legacy,65170,3137.50,13067.50,16812.50
0,1,3,15,legacy,65170,3137.50,13067.50,16812.50
0,2,1,15,legacy,76117,2432.50,11547.50,15242.50
0,2,1,15,legacy,76117,2432.50,11547.50,15242.50
0,2,2,15,legacy,70274,2732.50,12172.50,15892.50
0,2,2,15,legacy,70274,2732.50,12172.50,15892.50
0,2,3,15,legacy,69327,2892.50,12472.50,16397.50
0,2,3,15,legacy,69327,2892.50,12472.50,16397.50
0,3,1,15,legacy,79612,2367.50,11332.50,14992.50
0,3,1,15,legacy,79612,2367.50,11332.50,14992.50
0,3,2,15,legacy,72092,2667.50,12097.50,15807.50
0,3,2,15,legacy,72092,2667.50,12097.50,15807.50
0,3,3,15,legacy,71133,2742.50,12297.50,15992.50
0,3,3,15,legacy,71133,2742.50,12297.50,15992.50
0,4,1,15,legacy,77591,2247.50,11087.50,14687.50
0,4,1,15,legacy,77591,2247.50,11087.50,14687.50
0,4,2,15,legacy,72899,2542.50,11787.50,15457.50
0,4,2,15,legacy,72899,2542.50,11787.50,15457.50
0,4,3,15,legacy,71771,2552.50,11897.50,15637.50
0,4,3,15,legacy,71771,2552.50,11897.50,15637.50
0,5,1,15,legacy,76529,2267.50,11162.50,14767.50
0,5,1,15,legacy,76529,2267.50,11162.50,14767.50
0,5,2,15,legacy,73043,2467.50,11577.50,15192.50
0,5,2,15,legacy,73043,2467.50,11577.50,15192.50
0,5,3,15,legacy,73716,2502.50,11717.50,15437.50
0,5,3,15,legacy,73716,2502.50,11717.50,15437.50
1,0,1,15,legacy,70454,2602.50,12217.50,16102.50
1,0,1,15,legacy,70454,2602.50,12217.50,16102.50
1,0,2,15,legacy,67370,3017.50,13072.50,16962.50
1,0,2,15,legacy,67370,3017.50,13072.50,16962.50
1,0,3,15,legacy,62363,3182.50,13437.50,17432.50
1,0,3,15,legacy,62363,3182.50,13437.50,17432.50
1,1,1,15,legacy,76600,2602.50,11727.50,15287.50
1,1,1,15,legacy,76600,2602.50,11727.50,15287.50
1,1,2,15,legacy,69958,2927.50,12637.50,16422.50
1,1,2,15,legacy,69958,2927.50,12637.50,16422.50
1,1,3,15,legacy,65909,3042.50,12917.50,16802.50
1,1,3,15,legacy,65909,3042.50,12917.50,16802.50
1,2,1,15,legacy,75240,2452.50,11527.50,15182.50
1,2,1,15,legacy,75240,2452.50,11527.50,15182.50
1,2,2,15,legacy,70432,2707.50,12037.50,15772.50
1,2,2,15,legacy,70432,2707.50,12037.50,15772.50
1,2,3,15,legacy,68247,2822.50,12542.50,16337.50
1,2,3,15,legacy,68247,2822.50,12542.50,16337.50
1,3,1,15,legacy,76435,2312.50,11302.50,14922.50
1,3,1,15,legacy,76435,2312.50,11302.50,14922.50
1,3,2,15,legacy,74468,2622.50,12012.50,15622.50
1,3,2,15,legacy,74468,2622.50,12012.50,15622.50
1,3,3,15,legacy,69432,2667.50,12257.50,16002.50
1,3,3,15,legacy,69432,2667.50,12257.50,16002.50
1,4,1,15,legacy,79020,2287.50,11052.50,14712.50
1,4,1,15,legacy,79020,2287.50,11052.50,14712.50
1,4,2,15,legacy,76730,2452.50,11627.50,15297.50
1,4,2,15,legacy,76730,2452.50,11627.50,15297.50
1,4,3,15,legacy,70872,2647.50,12022.50,15702.50
1,4,3,15,legacy,70872,2647.50,12022.50,15702.50
1,5,1,15,legacy,76774,2307.50,11072.50,14792.50
1,5,1,15,legacy,76774,2307.50,11072.50,14792.50
1,5,2,15,legacy,74999,2347.50,11327.50,15077.50
1,5,2,15,legacy,74999,2347.50,11327.50,15077.50
1,5,3,15,legacy,73694,2457.50,11687.50,15432.50
1,5,3,15,legacy,73694,2457.50,11687.50,15432.50
0,0,1,5,pedca,37483,1212.50,7292.50,12487.50
0,0,1,5,pedca,37483,1212.50,7292.50,12487.50
0,0,2,5,pedca,39719,1212.50,4167.50,10832.50
0,0,2,5,pedca,39719,1212.50,4167.50,10832.50
0,0,3,5,pedca,40964,1197.50,3227.50,8357.50
0,0,3,5,pedca,40964,1197.50,3227.50,8357.50
0,1,1,5,pedca,33994,1477.50,6762.50,11722.50
0,1,1,5,pedca,33994,1477.50,6762.50,11722.50
0,1,2,5,pedca,39359,1547.50,4787.50,10417.50
0,1,2,5,pedca,39359,1547.50,4787.50,10417.50
0,1,3,5,pedca,39867,1562.50,4417.50,8507.50
0,1,3,5,pedca,39867,1562.50,4417.50,8507.50
0,2,1,5,pedca,36854,1942.50,7017.50,11702.50
0,2,1,5,pedca,36854,1942.50,7017.50,11702.50
0,2,2,5,pedca,39794,1952.50,6327.50,9967.50
0,2,2,5,pedca,39794,1952.50,6327.50,9967.50
0,2,3,5,pedca,41227,1992.50,6162.50,8312.50
0,2,3,5,pedca,41227,1992.50,6162.50,8312.50
0,3,1,5,pedca,35798,2112.50,8107.50,11492.50
0,3,1,5,pedca,35798,2112.50,8107.50,11492.50
0,3,2,5,pedca,35916,2087.50,7652.50,10072.50
0,3,2,5,pedca,35916,2087.50,7652.50,10072.50
0,3,3,5,pedca,37900,2127.50,7772.50,9892.50
0,3,3,5,pedca,37900,2127.50,7772.50,9892.50
0,4,1,5,pedca,35521,2057.50,9117.50,11932.50
0,4,1,5,pedca,35521,2057.50,9117.50,11932.50
0,4,2,5,pedca,38240,2122.50,8957.50,11427.50
0,4,2,5,pedca,38240,2122.50,8957.50,11427.50
0,4,3,5,pedca,37747,2212.50,9017.50,11432.50
0,4,3,5,pedca,37747,2212.50,9017.50,11432.50
0,5,1,5,pedca,36017,2227.50,10152.50,13077.50
0,5,1,5,pedca,36017,2227.50,10152.50,13077.50
0,5,2,5,pedca,38088,2287.50,10347.50,13172.50
