CWds,QSRC,PSRC,nPedca,delay_type,samples,P50_us,P95_us,P99_us
0,0,1,5,legacy,145247,1562.50,8817.50,12592.50
0,0,1,5,legacy,145247,1562.50,8817.50,12592.50
0,0,2,5,legacy,142838,1527.50,8767.50,12522.50
0,0,2,5,legacy,142838,1527.50,8767.50,12522.50
0,0,3,5,legacy,139876,1612.50,9067.50,12692.50
0,0,3,5,legacy,139876,1612.50,9067.50,12692.50
0,1,1,5,legacy,145532,1542.50,8852.50,12572.50
0,1,1,5,legacy,145532,1542.50,8852.50,12572.50
0,1,2,5,legacy,145325,1552.50,8857.50,12587.50
0,1,2,5,legacy,145325,1552.50,8857.50,12587.50
0,1,3,5,legacy,141777,1502.50,8742.50,12447.50
0,1,3,5,legacy,141777,1502.50,8742.50,12447.50
0,2,1,5,legacy,145613,1582.50,9007.50,12787.50
0,2,1,5,legacy,145613,1582.50,9007.50,12787.50
0,2,2,5,legacy,147105,1497.50,8702.50,12477.50
0,2,2,5,legacy,147105,1497.50,8702.50,12477.50
0,2,3,5,legacy,147953,1472.50,8627.50,12377.50
0,2,3,5,legacy,147953,1472.50,8627.50,12377.50
0,3,1,5,legacy,148815,1497.50,8712.50,12417.50
0,3,1,5,legacy,148815,1497.50,8712.50,12417.50
0,3,2,5,legacy,150059,1512.50,8752.50,12427.50
0,3,2,5,legacy,150059,1512.50,8752.50,12427.50
0,3,3,5,legacy,149700,1492.50,8737.50,12527.50
0,3,3,5,legacy,149700,1492.50,8737.50,12527.50
0,4,1,5,legacy,149858,1547.50,8942.50,12667.50
0,4,1,5,legacy,149858,1547.50,8942.50,12667.50
0,4,2,5,legacy,147859,1532.50,8997.50,12677.50
0,4,2,5,legacy,147859,1532.50,8997.50,12677.50
0,4,3,5,legacy,146776,1577.50,9062.50,12702.50
0,4,3,5,legacy,146776,1577.50,9062.50,12702.50
0,5,1,5,legacy,151076,1517.50,8697.50,12442.50
0,5,1,5,legacy,151076,1517.50,8697.50,12442.50
0,5,2,5,legacy,146468,1567.50,9007.50,12742.50
0,5,2,5,legacy,146468,1567.50,9007.50,12742.50
0,5,3,5,legacy,146772,1567.50,8982.50,12632.50
0,5,3,5,legacy,146772,1567.50,8982.50,12632.50
1,0,1,5,legacy,145247,1562.50,8817.50,12592.50
1,0,1,5,legacy,145247,1562.50,8817.50,12592.50
1,0,2,5,legacy,141427,1582.50,8957.50,12632.50
1,0,2,5,legacy,141427,1582.50,8957.50,12632.50
1,0,3,5,legacy,141561,1522.50,8722.50,12462.50
1,0,3,5,legacy,141561,1522.50,8722.50,12462.50
1,1,1,5,legacy,149587,1527.50,8867.50,12652.50
1,1,1,5,legacy,149587,1527.50,8867.50,12652.50
1,1,2,5,legacy,145420,1582.50,8912.50,12642.50
1,1,2,5,legacy,145420,1582.50,8912.50,12642.50
1,1,3,5,legacy,142692,1562.50,8947.50,12607.50
1,1,3,5,legacy,142692,1562.50,8947.50,12607.50
1,2,1,5,legacy,148492,1597.50,9182.50,12767.50
1,2,1,5,legacy,148492,1597.50,9182.50,12767.50
1,2,2,5,legacy,147153,1542.50,8807.50,12482.50
1,2,2,5,legacy,147153,1542.50,8807.50,12482.50
1,2,3,5,legacy,143031,1557.50,9022.50,12792.50
1,2,3,5,legacy,143031,1557.50,9022.50,12792.50
1,3,1,5,legacy,145833,1522.50,8757.50,12522.50
1,3,1,5,legacy,145833,1522.50,8757.50,12522.50
1,3,2,5,legacy,145503,1532.50,8822.50,12507.50
1,3,2,5,legacy,145503,1532.50,8822.50,12507.50
1,3,3,5,legacy,144199,1502.50,8662.50,12457.50
1,3,3,5,legacy,144199,1502.50,8662.50,12457.50
1,4,1,5,legacy,150456,1567.50,8947.50,12677.50
1,4,1,5,legacy,150456,1567.50,8947.50,12677.50
1,4,2,5,legacy,147603,1517.50,8862.50,12602.50
1,4,2,5,legacy,147603,1517.50,8862.50,12602.50
1,4,3,5,legacy,142770,1527.50,8767.50,12512.50
1,4,3,5,legacy,142770,1527.50,8767.50,12512.50
1,5,1,5,legacy,149008,1542.50,8852.50,12537.50
1,5,1,5,legacy,149008,1542.50,8852.50,12537.50
1,5,2,5,legacy,143190,1567.50,9047.50,12682.50
1,5,2,5,legacy,143190,1567.50,9047.50,12682.50
1,5,3,5,legacy,145748,1587.50,8957.50,12667.50
1,5,3,5,legacy,145748,1587.50,8957.50,12667.50
0,0,1,15,legacy,88244,1562.50,8792.50,12462.50
0,0,1,15,legacy,88244,1562.50,8792.50,12462.50
0,0,2,15,legacy,83156,1522.50,8697.50,12522.50
0,0,2,15,legacy,83156,1522.50,8697.50,12522.50
0,0,3,15,legacy,74606,1512.50,8552.50,12207.50
0,0,3,15,legacy,74606,1512.50,8552.50,12207.50
0,1,1,15,legacy,85753,1622.50,9027.50,12647.50
0,1,1,15,legacy,85753,1622.50,9027.50,12647.50
0,1,2,15,legacy,83121,1612.50,9102.50,12582.50
0,1,2,15,legacy,83121,1612.50,9102.50,12582.50
0,1,3,15,legacy,81282,1607.50,9112.50,12602.50
0,1,3,15,legacy,81282,1607.50,9112.50,12602.50
0,2,1,15,legacy,83229,1562.50,8982.50,12637.50
0,2,1,15,legacy,83229,1562.50,8982.50,12637.50
0,2,2,15,legacy,82769,1537.50,8967.50,12707.50
0,2,2,15,legacy,82769,1537.50,8967.50,12707.50
0,2,3,15,legacy,82756,1577.50,9077.50,12682.50
0,2,3,15,legacy,82756,1577.50,9077.50,12682.50
0,3,1,15,legacy,90644,1557.50,8992.50,12642.50
0,3,1,15,legacy,90644,1557.50,8992.50,12642.50
0,3,2,15,legacy,84019,1592.50,9082.50,12962.50
0,3,2,15,legacy,84019,1592.50,9082.50,12962.50
0,3,3,15,legacy,83993,1627.50,9217.50,12797.50
0,3,3,15,legacy,83993,1627.50,9217.50,12797.50
0,4,1,15,legacy,92014,1587.50,9147.50,12777.50
0,4,1,15,legacy,92014,1587.50,9147.50,12777.50
0,4,2,15,legacy,87506,1607.50,9082.50,12712.50
0,4,2,15,legacy,87506,1607.50,9082.50,12712.50
0,4,3,15,legacy,86351,1507.50,8772.50,12522.50
0,4,3,15,legacy,86351,1507.50,8772.50,12522.50
0,5,1,15,legacy,87730,1607.50,9197.50,12912.50
0,5,1,15,legacy,87730,1607.50,9197.50,12912.50
0,5,2,15,legacy,91368,1652.50,9292.50,12947.50
0,5,2,15,legacy,91368,1652.50,9292.50,12947.50
0,5,3,15,legacy,84077,1592.50,9172.50,12762.50
0,5,3,15,legacy,84077,1592.50,9172.50,12762.50
1,0,1,15,legacy,88244,1562.50,8792.50,12462.50
1,0,1,15,legacy,88244,1562.50,8792.50,12462.50
1,0,2,15,legacy,83438,1502.50,8397.50,12142.50
1,0,2,15,legacy,83438,1502.50,8397.50,12142.50
1,0,3,15,legacy,78401,1482.50,8462.50,12147.50
1,0,3,15,legacy,78401,1482.50,8462.50,12147.50
1,1,1,15,legacy,86938,1477.50,8407.50,12107.50
1,1,1,15,legacy,86938,1477.50,8407.50,12107.50
1,1,2,15,legacy,79011,1542.50,8912.50,12627.50
1,1,2,15,legacy,79011,1542.50,8912.50,12627.50
1,1,3,15,legacy,79229,1462.50,8552.50,12247.50
1,1,3,15,legacy,79229,1462.50,8552.50,12247.50
1,2,1,15,legacy,87309,1522.50,8777.50,12522.50
1,2,1,15,legacy,87309,1522.50,8777.50,12522.50
1,2,2,15,legacy,85976,1537.50,8752.50,12497.50
1,2,2,15,legacy,85976,1537.50,8752.50,12497.50
1,2,3,15,legacy,87869,1562.50,8882.50,12527.50
1,2,3,15,legacy,87869,1562.50,8882.50,12527.50
1,3,1,15,legacy,80411,1547.50,8982.50,12797.50
1,3,1,15,legacy,80411,1547.50,8982.50,12797.50
1,3,2,15,legacy,83970,1562.50,9092.50,12902.50
1,3,2,15,legacy,83970,1562.50,9092.50,12902.50
1,3,3,15,legacy,85189,1467.50,8652.50,12372.50
1,3,3,15,legacy,85189,1467.50,8652.50,12372.50
1,4,1,15,legacy,84998,1517.50,8922.50,12657.50
1,4,1,15,legacy,84998,1517.50,8922.50,12657.50
1,4,2,15,legacy,84028,1537.50,8837.50,12517.50
1,4,2,15,legacy,84028,1537.50,8837.50,12517.50
1,4,3,15,legacy,83127,1457.50,8562.50,12432.50
1,4,3,15,legacy,83127,1457.50,8562.50,12432.50
1,5,1,15,legacy,87006,1607.50,9002.50,12672.50
1,5,1,15,legacy,87006,1607.50,9002.50,12672.50
1,5,2,15,legacy,83441,1502.50,8692.50,12427.50
1,5,2,15,legacy,83441,1502.50,8692.50,12427.50
1,5,3,15,legacy,83145,1557.50,9012.50,12782.50
1,5,3,15,legacy,83145,1557.50,9012.50,12782.50
0,0,1,5,pedca,31887,1602.50,8527.50,12527.50
0,0,1,5,pedca,31887,1602.50,8527.50,12527.50
0,0,2,5,pedca,32990,1552.50,8607.50,12637.50
0,0,2,5,pedca,32990,1552.50,8607.50,12637.50
0,0,3,5,pedca,34053,1577.50,8377.50,12437.50
0,0,3,5,pedca,34053,1577.50,8377.50,12437.50
0,1,1,5,pedca,32843,1442.50,8527.50,12207.50
0,1,1,5,pedca,32843,1442.50,8527.50,12207.50
0,1,2,5,pedca,32308,1432.50,8212.50,11977.50
0,1,2,5,pedca,32308,1432.50,8212.50,11977.50
0,1,3,5,pedca,34794,1412.50,8007.50,12147.50
0,1,3,5,pedca,34794,1412.50,8007.50,12147.50
0,2,1,5,pedca,32489,1537.50,8337.50,12112.50
0,2,1,5,pedca,32489,1537.50,8337.50,12112.50
0,2,2,5,pedca,31427,1522.50,8082.50,12102.50
0,2,2,5,pedca,31427,1522.50,8082.50,12102.50
0,2,3,5,pedca,30163,1457.50,7487.50,11772.50
0,2,3,5,pedca,30163,1457.50,7487.50,11772.50
0,3,1,5,pedca,30584,1537.50,8127.50,11972.50
0,3,1,5,pedca,30584,1537.50,8127.50,11972.50
0,3,2,5,pedca,28389,1547.50,8167.50,12032.50
0,3,2,5,pedca,28389,1547.50,8167.50,12032.50
0,3,3,5,pedca,28392,1592.50,8262.50,12137.50
0,3,3,5,pedca,28392,1592.50,8262.50,12137.50
0,4,1,5,pedca,28673,1527.50,8667.50,12332.50
