model,nPedca,config,param,P50_us,P95_us,P99_us,loss_pct
lightload,5,EDCA-only,--,732.5,3567.5,5802.5,0.14
lightload,5,mono-DS default,c0_q02_s01,747.5,3677.5,5852.5,0.08
lightload,5,mono-DS best,c0_q01_s03,762.5,3712.5,5352.5,0.02
lightload,5,dual-DS default,c0_q02_s01,757.5,3627.5,5392.5,0.03
lightload,5,dual-DS best,c0_q00_s03,907.5,2137.5,3642.5,0.00
lightload,15,EDCA-only,--,732.5,3567.5,5802.5,0.14
lightload,15,mono-DS default,c0_q02_s01,727.5,3637.5,5922.5,0.06
lightload,15,mono-DS best,c0_q02_s03,747.5,3672.5,5617.5,0.05
lightload,15,dual-DS default,c0_q02_s01,757.5,3677.5,5462.5,0.03
lightload,15,dual-DS best,c1_q01_s03,912.5,3727.5,5142.5,0.04
lightload,30,EDCA-only,--,732.5,3567.5,5802.5,0.14
lightload,30,mono-DS default,c0_q02_s01,752.5,3882.5,6357.5,0.12
lightload,30,mono-DS best,c1_q05_s01,732.5,3557.5,5852.5,0.05
lightload,30,dual-DS default,c0_q02_s01,787.5,4152.5,6382.5,0.13
lightload,30,dual-DS best,c0_q04_s01,742.5,3642.5,5897.5,0.04
MMPP,5,EDCA-only,--,1822.5,10142.5,13747.5,12.47
MMPP,5,mono-DS default,c0_q02_s01,1827.5,9932.5,13887.5,11.95
MMPP,5,mono-DS best,c1_q01_s01,1747.5,9972.5,13602.5,13.01
MMPP,5,dual-DS default,c0_q02_s01,1787.5,7047.5,11892.5,5.94
MMPP,5,dual-DS best,c1_q01_s03,1497.5,4307.5,6827.5,1.59
MMPP,15,EDCA-only,--,1822.5,10142.5,13747.5,12.47
MMPP,15,mono-DS default,c0_q02_s01,1847.5,10142.5,13942.5,12.23
MMPP,15,mono-DS best,c1_q01_s01,1792.5,10037.5,13657.5,13.32
MMPP,15,dual-DS default,c0_q02_s01,2037.5,8892.5,13852.5,9.66
MMPP,15,dual-DS best,c1_q03_s03,2577.5,9127.5,12202.5,3.81
MMPP,30,EDCA-only,--,1822.5,10142.5,13747.5,12.47
MMPP,30,mono-DS default,c0_q02_s01,1922.5,10257.5,13952.5,14.31
MMPP,30,mono-DS best,c0_q01_s02,1872.5,10132.5,13627.5,15.61
MMPP,30,dual-DS default,c0_q02_s01,2327.5,10637.5,15357.5,14.29
MMPP,30,dual-DS best,c0_q04_s01,2462.5,10767.5,14597.5,9.70
onoff,5,EDCA-only,--,1742.5,9377.5,13522.5,10.89
onoff,5,mono-DS default,c0_q02_s01,1662.5,8912.5,13362.5,9.63
onoff,5,mono-DS best,c0_q01_s02,1642.5,8452.5,12937.5,9.17
onoff,5,dual-DS default,c0_q02_s01,1512.5,5887.5,12012.5,5.89
onoff,5,dual-DS best,c1_q02_s03,1357.5,4167.5,6612.5,1.23
onoff,15,EDCA-only,--,1742.5,9377.5,13522.5,10.89
onoff,15,mono-DS default,c0_q02_s01,1712.5,9182.5,13582.5,10.32
onoff,15,mono-DS best,c1_q03_s01,1662.5,9187.5,13547.5,9.96
onoff,15,dual-DS default,c0_q02_s01,1632.5,8097.5,13752.5,9.15
onoff,15,dual-DS best,c1_q04_s03,1882.5,7512.5,11242.5,1.90
onoff,30,EDCA-only,--,1742.5,9377.5,13522.5,10.89
onoff,30,mono-DS default,c0_q02_s01,1752.5,9377.5,13632.5,11.64
onoff,30,mono-DS best,c0_q01_s03,1822.5,9372.5,13257.5,13.60
onoff,30,dual-DS default,c0_q02_s01,1832.5,10232.5,15452.5,14.26
onoff,30,dual-DS best,c0_q04_s01,1897.5,9022.5,14387.5,8.59
poisson,5,EDCA-only,--,1912.5,9952.5,13387.5,12.55
poisson,5,mono-DS default,c0_q02_s01,1812.5,9552.5,13277.5,11.16
poisson,5,mono-DS best,c0_q01_s01,1742.5,9712.5,13152.5,11.84
poisson,5,dual-DS default,c0_q02_s01,1942.5,7017.5,11702.5,5.50
poisson,5,dual-DS best,c1_q01_s03,1577.5,4412.5,7322.5,1.36
poisson,15,EDCA-only,--,1912.5,9952.5,13387.5,12.55
poisson,15,mono-DS default,c0_q02_s01,1987.5,10017.5,13587.5,14.28
poisson,15,mono-DS best,c1_q01_s01,1862.5,9917.5,13412.5,13.35
poisson,15,dual-DS default,c0_q02_s01,2177.5,8617.5,13367.5,9.99
poisson,15,dual-DS best,c1_q03_s03,2572.5,8822.5,11672.5,3.08
poisson,30,EDCA-only,--,1912.5,9952.5,13387.5,12.55
poisson,30,mono-DS default,c0_q02_s01,2007.5,9992.5,13497.5,13.71
poisson,30,mono-DS best,c0_q01_s02,1962.5,9992.5,13312.5,15.85
poisson,30,dual-DS default,c0_q02_s01,2477.5,10517.5,15047.5,15.29
poisson,30,dual-DS best,c0_q04_s01,2617.5,10627.5,14287.5,11.07
