sta_id,ds_cts_end_us,gap_us,backoff_slots,outcome
0,131348,108,8,RTS_COLLISION
0,877054,34,0,SUCCESS
0,895453,70,4,SUCCESS
0,917039,52,2,SUCCESS
0,941219,117,9,SUCCESS
0,949594,70,4,SUCCESS
0,961106,108,8,RTS_COLLISION
0,999599,81,5,SUCCESS
0,1.00998e+06,54,2,SUCCESS
0,1.02715e+06,61,3,SUCCESS
0,1.05116e+06,54,2,SUCCESS
0,1.06544e+06,63,3,SUCCESS
0,1.06826e+06,2010,220,TIMING_EXPIRED
0,1.09762e+06,79,5,SUCCESS
0,1.1211e+06,81,5,SUCCESS
0,1.12619e+06,99,7,SUCCESS
0,1.13317e+06,60,3,SUCCESS
0,1.16262e+06,72,4,SUCCESS
0,1.18545e+06,2395,262,TIMING_EXPIRED
0,1.22221e+06,61,3,SUCCESS
0,1.23129e+06,99,7,RTS_COLLISION
0,1.26046e+06,54,2,SUCCESS
0,1.27603e+06,54,2,SUCCESS
0,1.28582e+06,117,9,SUCCESS
0,1.30748e+06,90,6,SUCCESS
0,1.33851e+06,63,3,SUCCESS
0,1.36695e+06,81,5,SUCCESS
0,1.38554e+06,81,5,SUCCESS
0,1.40522e+06,72,4,SUCCESS
0,1.4171e+06,980,105,TIMING_EXPIRED
0,1.45048e+06,54,2,SUCCESS
0,1.47005e+06,97,7,SUCCESS
0,1.50096e+06,562,59,TIMING_EXPIRED
0,1.5293e+06,72,4,SUCCESS
0,1.5347e+06,70,4,SUCCESS
0,1.54306e+06,43,1,SUCCESS
0,1.55934e+06,54,2,SUCCESS
0,1.56704e+06,63,3,SUCCESS
0,1.582e+06,81,5,SUCCESS
0,1.59099e+06,90,6,SUCCESS
0,1.60243e+06,54,2,SUCCESS
0,1.62919e+06,72,4,SUCCESS
0,1.65392e+06,108,8,SUCCESS
0,1.66327e+06,63,3,SUCCESS
0,1.67202e+06,99,7,RTS_COLLISION
0,1.7427e+06,34,0,SUCCESS
0,1.76704e+06,81,5,SUCCESS
0,1.788e+06,1021,110,TIMING_EXPIRED
0,1.80521e+06,43,1,SUCCESS
0,1.82245e+06,2326,255,TIMING_EXPIRED
0,1.84558e+06,88,6,SUCCESS
