sta_id,ds_cts_end_us,gap_us,backoff_slots,outcome
0,895434,105,8,SUCCESS
0,922302,97,7,SUCCESS
0,932426,96,7,RTS_COLLISION
0,968943,96,7,SUCCESS
0,996864,60,3,SUCCESS
0,1.02881e+06,78,5,SUCCESS
0,1.05726e+06,87,6,SUCCESS
0,1.06869e+06,96,7,SUCCESS
0,1.10362e+06,105,8,SUCCESS
0,1.11931e+06,60,3,SUCCESS
0,1.14346e+06,87,6,SUCCESS
0,1.15595e+06,52,2,SUCCESS
0,1.16374e+06,766,81,TIMING_EXPIRED
0,1.20971e+06,42,1,SUCCESS
0,1.22337e+06,96,7,SUCCESS
0,1.23709e+06,72,4,SUCCESS
0,1.25127e+06,69,4,SUCCESS
0,1.25516e+06,3519,387,TIMING_EXPIRED
0,1.27641e+06,105,8,SUCCESS
0,1.2931e+06,60,3,SUCCESS
0,1.31237e+06,42,1,SUCCESS
0,1.32418e+06,60,3,SUCCESS
0,1.35131e+06,34,0,SUCCESS
0,1.37225e+06,87,6,RTS_COLLISION
0,1.38691e+06,43,1,SUCCESS
0,1.39795e+06,69,4,SUCCESS
0,1.42279e+06,96,7,SUCCESS
0,1.4345e+06,69,4,SUCCESS
0,1.44857e+06,69,4,RTS_COLLISION
0,1.46936e+06,69,4,SUCCESS
0,1.50492e+06,42,1,SUCCESS
0,1.51572e+06,43,1,SUCCESS
0,1.52463e+06,96,7,RTS_COLLISION
0,1.54263e+06,42,1,SUCCESS
0,1.56399e+06,78,5,SUCCESS
0,1.5764e+06,34,0,SUCCESS
0,1.58704e+06,43,1,SUCCESS
0,1.6033e+06,79,5,SUCCESS
0,1.60893e+06,42,1,SUCCESS
0,1.61635e+06,79,5,SUCCESS
0,1.62433e+06,42,1,SUCCESS
0,1.63209e+06,69,4,SUCCESS
0,1.64985e+06,70,4,SUCCESS
0,1.67611e+06,87,6,RTS_COLLISION
0,1.69172e+06,96,7,SUCCESS
0,1.69773e+06,42,1,SUCCESS
0,1.70753e+06,105,8,RTS_COLLISION
0,1.74088e+06,87,6,SUCCESS
0,1.75634e+06,88,6,SUCCESS
0,1.77952e+06,88,6,SUCCESS
0,1.7952e+06,52,2,SUCCESS
0,1.83307e+06,105,8,RTS_COLLISION
0,1.84276e+06,96,7,SUCCESS
0,1.85094e+06,78,5,SUCCESS
0,1.85609e+06,78,5,SUCCESS
0,1.87533e+06,97,7,SUCCESS
0,1.88448e+06,757,80,TIMING_EXPIRED
0,1.90774e+06,51,2,SUCCESS
0,1.91557e+06,79,5,SUCCESS
0,1.94291e+06,51,2,SUCCESS
0,1.96408e+06,42,1,SUCCESS
0,1.96696e+06,42,1,SUCCESS
0,1.9815e+06,60,3,SUCCESS
0,1.99212e+06,97,7,SUCCESS
0,2.01975e+06,96,7,SUCCESS
0,2.02951e+06,105,8,SUCCESS
0,2.04224e+06,79,5,SUCCESS
0,2.08234e+06,78,5,SUCCESS
0,2.09035e+06,61,3,SUCCESS
0,2.09809e+06,87,6,SUCCESS
0,2.11748e+06,42,1,SUCCESS
0,2.1328e+06,96,7,SUCCESS
0,2.17026e+06,60,3,SUCCESS
0,2.2202e+06,43,1,SUCCESS
0,2.22851e+06,61,3,SUCCESS
0,2.25068e+06,96,7,SUCCESS
0,2.26642e+06,87,6,SUCCESS
0,2.28908e+06,69,4,SUCCESS
0,2.33263e+06,529,55,TIMING_EXPIRED
0,2.36739e+06,96,7,SUCCESS
0,2.3806e+06,87,6,SUCCESS
0,2.39892e+06,69,4,SUCCESS
0,2.40938e+06,538,56,TIMING_EXPIRED
0,2.43516e+06,69,4,SUCCESS
0,2.44909e+06,79,5,SUCCESS
0,2.46202e+06,87,6,RTS_COLLISION
0,2.48176e+06,60,3,SUCCESS
0,2.4888e+06,61,3,SUCCESS
0,2.49922e+06,52,2,SUCCESS
0,2.51426e+06,60,3,SUCCESS
0,2.52618e+06,529,55,TIMING_EXPIRED
0,2.54737e+06,42,1,SUCCESS
0,2.56507e+06,51,2,SUCCESS
0,2.58334e+06,60,3,SUCCESS
0,2.5956e+06,42,1,SUCCESS
0,2.61859e+06,51,2,SUCCESS
0,2.62743e+06,52,2,SUCCESS
0,2.6345e+06,42,1,SUCCESS
0,2.64921e+06,78,5,SUCCESS
0,2.66107e+06,766,81,TIMING_EXPIRED
0,2.73142e+06,81,5,SUCCESS
0,2.73741e+06,51,2,SUCCESS
0,2.75215e+06,70,4,SUCCESS
0,2.77143e+06,88,6,SUCCESS
0,2.78122e+06,2031,222,TIMING_EXPIRED
0,2.80152e+06,60,3,SUCCESS
0,2.81406e+06,87,6,SUCCESS
0,2.82726e+06,105,8,SUCCESS
0,2.85841e+06,51,2,SUCCESS
0,2.86588e+06,51,2,SUCCESS
0,2.87741e+06,42,1,SUCCESS
0,2.89124e+06,4072,449,TIMING_EXPIRED
0,2.92891e+06,60,3,SUCCESS
0,2.94194e+06,69,4,SUCCESS
0,2.95394e+06,79,5,SUCCESS
0,2.96505e+06,34,0,SUCCESS
0,2.99358e+06,42,1,SUCCESS
0,3.0232e+06,52,2,SUCCESS
0,3.03208e+06,757,80,TIMING_EXPIRED
0,3.04828e+06,52,2,SUCCESS
0,3.06614e+06,612,64,TIMING_EXPIRED
0,3.08912e+06,88,6,SUCCESS
0,3.10295e+06,69,4,SUCCESS
0,3.11619e+06,87,6,SUCCESS
0,3.12754e+06,69,4,SUCCESS
0,3.13687e+06,87,6,SUCCESS
0,3.15003e+06,60,3,SUCCESS
0,3.16302e+06,60,3,SUCCESS
0,3.17745e+06,105,8,SUCCESS
0,3.18478e+06,79,5,SUCCESS
0,3.19545e+06,52,2,SUCCESS
0,3.2142e+06,51,2,SUCCESS
0,3.2228e+06,3464,381,TIMING_EXPIRED
0,3.25207e+06,61,3,SUCCESS
0,3.26716e+06,87,6,SUCCESS
0,3.27565e+06,42,1,SUCCESS
0,3.29993e+06,34,0,SUCCESS
0,3.31441e+06,78,5,SUCCESS
0,3.33145e+06,78,5,SUCCESS
0,3.3387e+06,105,8,SUCCESS
0,3.34304e+06,51,2,SUCCESS
0,3.36873e+06,52,2,SUCCESS
0,3.38051e+06,70,4,SUCCESS
0,3.39588e+06,61,3,SUCCESS
0,3.40237e+06,105,8,SUCCESS
0,3.41e+06,52,2,SUCCESS
0,3.42653e+06,42,1,SUCCESS
0,3.4383e+06,51,2,SUCCESS
0,3.45941e+06,61,3,SUCCESS
0,3.48213e+06,88,6,SUCCESS
0,3.50185e+06,43,1,SUCCESS
0,3.53167e+06,70,4,SUCCESS
0,3.54612e+06,88,6,SUCCESS
0,3.56448e+06,5190,573,TIMING_EXPIRED
0,3.58634e+06,60,3,SUCCESS
0,3.60776e+06,78,5,SUCCESS
0,3.62366e+06,61,3,SUCCESS
0,3.64041e+06,87,6,RTS_COLLISION
0,3.65721e+06,78,5,SUCCESS
0,3.66541e+06,96,7,SUCCESS
0,3.67289e+06,87,6,SUCCESS
0,3.68064e+06,538,56,TIMING_EXPIRED
0,3.72135e+06,78,5,SUCCESS
0,3.73944e+06,88,6,SUCCESS
0,3.74938e+06,42,1,SUCCESS
0,3.76096e+06,34,0,SUCCESS
0,3.76911e+06,69,4,SUCCESS
0,3.79139e+06,61,3,SUCCESS
0,3.80241e+06,52,2,SUCCESS
0,3.81283e+06,96,7,SUCCESS
0,3.84076e+06,51,2,SUCCESS
0,3.85276e+06,42,1,SUCCESS
0,3.86478e+06,42,1,SUCCESS
0,3.87762e+06,43,1,SUCCESS
0,3.90808e+06,87,6,SUCCESS
0,3.93077e+06,51,2,SUCCESS
0,3.94168e+06,96,7,SUCCESS
0,3.95881e+06,766,81,TIMING_EXPIRED
0,3.98749e+06,70,4,SUCCESS
0,4.00111e+06,636,67,TIMING_EXPIRED
0,4.04162e+06,60,3,SUCCESS
0,4.0619e+06,42,1,SUCCESS
0,4.09296e+06,60,3,RTS_COLLISION
0,4.10774e+06,51,2,SUCCESS
0,4.1174e+06,105,8,RTS_COLLISION
0,4.16953e+06,51,2,SUCCESS
0,4.1747e+06,529,55,TIMING_EXPIRED
0,4.19349e+06,51,2,SUCCESS
0,4.22602e+06,60,3,SUCCESS
0,4.25783e+06,538,56,TIMING_EXPIRED
0,4.271e+06,51,2,SUCCESS
0,4.28718e+06,88,6,SUCCESS
0,4.30775e+06,43,1,SUCCESS
0,4.32954e+06,60,3,SUCCESS
0,4.34409e+06,42,1,SUCCESS
0,4.3697e+06,60,3,RTS_COLLISION
0,4.40702e+06,505,52,TIMING_EXPIRED
0,4.45916e+06,96,7,RTS_COLLISION
0,4.4829e+06,42,1,SUCCESS
0,4.49859e+06,87,6,SUCCESS
0,4.50833e+06,88,6,SUCCESS
0,4.52157e+06,42,1,SUCCESS
0,4.53243e+06,97,7,SUCCESS
0,4.55951e+06,42,1,SUCCESS
0,4.56844e+06,43,1,SUCCESS
0,4.59296e+06,43,1,SUCCESS
0,4.60111e+06,81,5,SUCCESS
0,4.60836e+06,78,5,SUCCESS
0,4.62515e+06,88,6,SUCCESS
0,4.64032e+06,60,3,SUCCESS
0,4.65092e+06,79,5,SUCCESS
0,4.66074e+06,69,4,SUCCESS
0,4.67674e+06,70,4,SUCCESS
0,4.71443e+06,51,2,SUCCESS
0,4.72692e+06,43,1,SUCCESS
0,4.73457e+06,60,3,SUCCESS
0,4.75002e+06,96,7,SUCCESS
0,4.76061e+06,87,6,SUCCESS
0,4.78543e+06,69,4,SUCCESS
0,4.81018e+06,1073,115,TIMING_EXPIRED
0,4.83525e+06,78,5,SUCCESS
0,4.84019e+06,105,8,SUCCESS
0,4.85043e+06,52,2,SUCCESS
0,4.85919e+06,79,5,SUCCESS
0,4.86979e+06,78,5,SUCCESS
0,4.88953e+06,70,4,SUCCESS
0,4.89405e+06,105,8,SUCCESS
0,4.90445e+06,60,3,SUCCESS
0,4.91573e+06,43,1,SUCCESS
0,4.92697e+06,52,2,SUCCESS
0,4.94526e+06,170,15,SUCCESS
0,4.96536e+06,79,5,SUCCESS
0,4.97723e+06,51,2,SUCCESS
0,5.00459e+06,96,7,SUCCESS
0,5.0298e+06,97,7,SUCCESS
0,5.0437e+06,52,2,SUCCESS
0,5.0597e+06,42,1,SUCCESS
0,5.06537e+06,78,5,SUCCESS
0,5.08328e+06,78,5,SUCCESS
0,5.09283e+06,43,1,SUCCESS
0,5.10944e+06,78,5,SUCCESS
0,5.13346e+06,78,5,SUCCESS
0,5.14397e+06,63,3,SUCCESS
0,5.17607e+06,69,4,SUCCESS
0,5.1923e+06,78,5,SUCCESS
0,5.20797e+06,60,3,SUCCESS
0,5.2462e+06,87,6,SUCCESS
0,5.26698e+06,42,1,SUCCESS
0,5.27598e+06,60,3,SUCCESS
0,5.29368e+06,79,5,SUCCESS
0,5.32934e+06,1286,139,TIMING_EXPIRED
0,5.36162e+06,42,1,SUCCESS
